sex,age,stu,school,video_name,total_avg,total_std,total_var,total_max,total_min,total_q25,total_q50,total_q75,red_avg,red_std,red_var,red_max,red_min,red_q25,red_q50,red_q75,green_avg,green_std,green_var,green_max,green_min,green_q25,green_q50,green_q75,brown_avg,brown_std,brown_var,brown_max,brown_min,brown_q25,brown_q50,brown_q75
0,5,0,TPH_Ruifang,0_5_0_C0217,49069.1783,2072.0528,4293402.7132,52796,45798,46926.5,48978.5,51112.0,22311.1467,2016.6741,4066974.3418,25410,18410,20582.75,22868.5,23844.75,12535.9133,1245.6465,1551635.1692,14479,9869,12010.0,12639.5,13458.5,14222.1183,958.4134,918556.161,16215,12003,13884.75,14272.5,14861.0
0,5,0,TPH_Ruifang,0_5_0_C0226,58458.33,1852.8245,3432958.5544,62769,55514,57212.25,57908.0,59381.5,29702.4033,1926.2157,3710307.0307,33167,26234,27879.5,29639.5,31383.25,10606.0717,1141.5326,1303096.7032,12373,8123,9765.25,10888.5,11186.75,18149.855,553.4591,306316.984,19847,16800,17734.75,18167.5,18576.75
0,5,0,TPH_Ruifang,0_5_0_C0227,67150.105,1109.8953,1231867.4806,69962,65259,66351.75,66962.5,67681.25,30201.08,1030.4096,1061743.9636,32845,27892,29553.75,30017.0,30949.0,13021.5867,1058.3123,1120024.9492,15535,11083,12341.0,13028.5,13711.0,23927.4383,1456.2283,2120600.7329,27291,20804,22769.0,23927.0,25068.0
0,6,0,TPH_Ruifang,0_6_0_C0198,69708.7383,4363.4442,19039645.5732,75853,60706,66405.0,70373.5,73735.5,29754.6333,2666.2413,7108842.4056,34135,23791,27765.75,30021.5,32015.25,17333.2483,2286.5021,5228091.8833,21583,12643,16193.0,17440.5,18751.25,22620.8567,1586.6858,2517571.7795,25468,19208,21310.0,22843.0,23977.75
0,6,0,TPH_Ruifang,0_6_0_C0205,61403.4283,2224.1241,4946728.1815,65592,57679,59772.0,60889.0,63653.25,31197.8533,770.6828,593951.9452,32676,29265,30790.0,31272.5,31794.0,9973.8683,1461.7348,2136668.691,12943,7784,8935.0,9859.5,10922.25,20231.7067,2034.1425,4137735.8873,23653,16539,18647.0,20105.0,22225.25
0,6,0,TPH_Ruifang,0_6_0_C0206,56753.7417,1192.8121,1422800.7483,59268,54332,55810.25,56592.0,57690.5,24168.885,2397.2188,5746658.0351,29024,20107,22563.25,24297.5,25876.0,12612.3667,1439.9309,2073400.9089,14824,9625,11900.5,12928.5,13715.5,19972.49,1516.1152,2298605.2266,22485,16447,19278.25,20173.0,21267.0
0,6,0,TPH_Ruifang,0_6_0_C0208,56706.5483,1439.9935,2073581.2543,59366,53741,55489.5,56782.0,57942.0,27256.6667,1287.4159,1657439.5956,30475,24717,26250.0,27282.0,28172.0,11567.0467,1725.653,2977878.1212,14246,8509,10015.0,11451.5,13162.5,17882.835,1451.98,2108245.8478,20814,14816,16800.5,17642.0,19122.25
0,6,1,TPH_Ruifang,0_6_1_C0209,54041.905,2941.7775,8654054.856,60112,46656,52219.0,53826.0,55473.25,27126.3333,2054.9171,4222684.2656,30988,21492,25781.75,26955.0,28714.0,11491.6683,629.606,396403.715,12411,10133,10975.75,11678.5,12019.75,15423.9033,1224.798,1500130.2373,18288,13231,14383.75,15136.0,16228.25
1,3,0,TPH_Ruifang,1_3_0_C0068,49912.0483,7949.0201,63186919.9293,66273,39830,42112.75,48876.5,56399.25,18159.465,3220.5303,10371815.4988,25080,14086,15633.5,16874.0,21081.75,15237.3767,3434.4423,11795393.6715,23568,11212,11915.0,14219.5,18030.5,16515.2067,2064.6964,4262971.1706,19733,12715,14426.0,17421.0,18198.0
1,3,0,TPH_Ruifang,1_3_0_C0070,51752.725,6722.6317,45193776.4394,64896,41880,45743.0,51665.0,54558.25,26718.895,5144.1555,26462336.0673,37959,20390,22789.5,24745.0,29513.5,9588.0717,1843.4861,3398440.9965,13325,7176,8230.0,8930.5,10866.0,15445.7583,2361.182,5575180.4766,21157,9043,14321.5,15041.5,16391.75
1,3,0,TPH_Ruifang,1_3_0_C0071,51611.4383,1672.725,2798008.8429,55643,48853,50222.25,51206.0,52944.75,26960.335,3139.8849,9858876.9528,34071,21481,24520.75,25880.0,29211.75,9372.0567,4557.6133,20771838.9868,15533,575,5092.5,9937.0,13201.0,15279.0467,2148.9807,4618117.8578,18757,10439,13626.0,15157.5,17399.25
1,3,0,TPH_Ruifang,1_3_0_C0072,53479.12,1540.249,2372366.9856,55962,50211,52188.75,53961.0,54685.25,26835.1533,1538.1419,2365880.5498,31427,24307,25891.5,26352.0,27397.25,9968.815,1298.8969,1687133.2008,11973,7552,9120.25,9936.0,11205.5,16675.1517,813.8896,662416.2153,18007,14513,16397.5,16906.0,17257.25
1,3,0,TPH_Ruifang,1_3_0_C0079,58934.64,1392.0735,1937868.6071,61457,55897,57963.25,58986.0,60029.5,25602.4167,1644.7348,2705152.4331,28344,22749,24310.0,25650.0,27251.75,16145.2283,1844.4613,3402037.6595,19590,13373,14565.5,15536.5,18013.5,17186.995,1415.4811,2003586.8183,19506,14217,16253.25,17583.5,18147.0
1,3,0,TPH_Ruifang,1_3_0_C0080,59807.99,3960.0835,15682261.6866,66641,53481,55922.25,60292.0,62577.75,30664.0417,2968.3186,8810915.2299,36019,25509,28331.75,30408.0,32980.75,10766.7167,2051.6984,4209466.2897,13754,6989,8955.0,11208.5,12572.75,18377.2317,612.0576,374614.518,19656,16993,17909.5,18320.5,18918.5
