no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,48062,21211,11953,14898
2,48284,21078,11975,15231
3,48442,21004,12148,15290
4,48222,21121,12188,14913
5,48059,21028,12286,14745
6,48144,21068,12367,14709
7,48269,21132,12325,14812
8,48417,21386,12300,14731
9,48434,21355,12382,14697
10,48481,21135,12409,14937
11,48852,21381,12506,14965
12,48696,21264,12666,14766
13,48513,21324,12761,14428
14,48879,21536,12721,14622
15,48951,21596,12775,14580
16,48951,21557,12741,14653
17,48699,21420,12834,14445
18,49049,21303,12869,14877
19,48979,21301,12942,14736
20,49134,21401,13123,14610
21,49433,21187,13130,15116
22,49140,21404,13178,14558
23,49071,21454,13199,14418
24,49420,21400,13245,14775
25,49366,21648,13302,14416
26,49411,21485,13423,14503
27,48912,21567,13392,13953
28,49428,21567,13428,14433
29,49740,21589,13565,14586
30,50052,21863,13707,14482
31,49885,21944,13730,14211
32,49911,21750,13701,14460
33,49856,21977,13935,13944
34,50276,22002,13896,14378
35,50265,21809,13932,14524
36,50124,21990,13883,14251
37,50165,21979,14007,14179
38,49972,22049,14088,13835
39,49793,21846,14113,13834
40,49846,22077,14156,13613
41,49933,22291,14232,13410
42,50534,22335,14310,13889
43,50613,22343,14408,13862
44,50256,22149,14429,13678
45,50564,21998,14492,14074
46,50582,22118,14499,13965
47,50493,22124,14556,13813
48,50339,22247,14529,13563
49,50648,22373,14658,13617
50,50317,22304,14627,13386
51,50538,22370,14644,13524
52,50767,22263,14800,13704
53,51036,22424,14870,13742
54,51041,22360,15019,13662
55,51144,22388,15143,13613
56,50790,22439,15155,13196
57,51152,22557,15130,13465
58,51067,22556,15117,13394
59,51153,22630,15097,13426
60,51613,22718,15088,13807
61,51500,22543,15097,13860
62,51486,22849,15261,13376
63,51345,22748,15267,13330
64,51784,22517,15339,13928
65,52019,22759,15348,13912
66,52181,23041,15482,13658
67,51931,23223,15402,13306
68,52259,23015,15506,13738
69,52467,23217,15503,13747
70,52451,23108,15693,13650
71,52018,23065,15574,13379
72,52733,22907,15643,14183
73,52919,22991,15760,14168
