no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,61141,29223,13943,17975
2,61473,29692,14049,17732
3,61468,29423,13975,18070
4,61713,29533,14039,18141
5,61542,29611,14022,17909
6,61730,29465,14165,18100
7,61565,29333,14261,17971
8,61785,29417,14268,18100
9,61932,29721,14209,18002
10,61900,29767,14254,17879
11,62124,29910,14294,17920
12,62001,29930,14275,17796
13,62227,29606,14438,18183
14,62198,29919,14311,17968
15,62367,30105,14395,17867
16,62427,30058,14423,17946
17,62406,29982,14541,17883
18,62548,29977,14584,17987
19,62447,30415,14584,17448
20,62493,30379,14493,17621
21,62566,30431,14568,17567
22,62646,30633,14599,17414
23,62540,30727,14737,17076
24,62554,30727,14746,17081
25,62843,30945,14671,17227
26,62636,30991,14729,16916
27,62686,30900,14666,17120
28,62232,31247,14716,16269
29,62088,30881,14656,16551
30,62854,31222,14681,16951
31,62905,31219,14652,17034
32,63261,31194,14661,17406
33,63423,31671,14696,17056
34,62761,31284,14651,16826
35,63243,31118,14810,17315
36,63123,31130,14808,17185
37,63060,31207,14658,17195
38,63269,31148,14787,17334
39,62665,30940,14817,16908
40,63134,31342,14865,16927
41,63629,31321,15001,17307
42,63264,31397,14977,16890
43,62925,31393,14949,16583
44,63112,31358,14977,16777
45,63605,31297,14936,17372
46,63623,31433,14905,17285
47,63801,31548,14880,17373
48,63556,31316,14889,17351
49,63621,31444,14887,17290
50,63516,31482,15086,16948
51,63859,31371,15054,17434
52,63547,31048,15065,17434
53,63273,31491,14999,16783
54,63322,31143,15071,17108
55,64014,31270,14960,17784
56,63726,31370,15142,17214
57,64026,31537,15122,17367
58,64040,31291,15144,17605
59,63442,30911,15130,17401
60,64131,31185,15231,17715
61,64376,31092,15191,18093
62,64306,31494,15192,17620
63,64500,31034,15282,18184
64,64430,30457,15224,18749
65,64226,30939,15173,18114
66,64522,31017,15254,18251
67,64043,31266,15320,17457
68,64302,31077,15315,17910
69,64489,30917,15392,18180
70,63770,30915,15393,17462
71,64076,30881,15371,17824
72,64557,30898,15242,18417
73,64713,31177,15324,18212
74,63760,31014,15357,17389
75,64203,31067,15401,17735
76,63666,30994,15277,17395
77,64203,30689,15179,18335
78,63604,30659,15207,17738
79,64501,30652,15351,18498
80,64716,30751,15403,18562
81,64303,30478,15352,18473
82,64681,30957,15334,18390
83,64447,30611,15298,18538
84,64144,30456,15251,18437
85,63612,30635,15137,17840
86,63950,30453,15185,18312
87,64117,30279,15094,18744
88,64054,30397,15089,18568
89,63549,30449,15015,18085
90,63718,30048,14977,18693
91,63796,30700,14973,18123
92,63771,30401,15018,18352
93,63906,30305,15015,18586
94,64105,30351,14976,18778
95,63734,30764,14905,18065
96,63402,30760,14828,17814
97,63881,30902,14793,18186
98,63894,30640,14701,18553
99,63660,30310,14717,18633
100,63567,30528,14663,18376
101,63359,30764,14617,17978
102,63562,30764,14618,18180
103,63596,30699,14555,18342
104,63919,30901,14552,18466
105,63845,30719,14386,18740
106,63349,30988,14270,18091
107,63823,30449,14240,19134
108,63738,31049,14301,18388
109,63718,30445,14076,19197
110,63342,30536,13976,18830
111,63042,30707,13997,18338
112,63348,30681,13955,18712
113,63222,30555,13870,18797
114,63413,30746,13855,18812
115,63116,30751,13810,18555
116,63125,30602,13721,18802
117,62808,30468,13586,18754
118,63173,30717,13575,18881
119,62410,30639,13436,18335
120,62937,30357,13346,19234
121,62916,30664,13217,19035
122,63160,30358,13197,19605
123,62257,30147,13124,18986
124,61641,30321,13086,18234
125,61953,30320,12893,18740
126,62433,30274,12709,19450
127,61728,30341,12630,18757
128,62263,30149,12585,19529
129,61759,30216,12487,19056
130,62408,30042,12440,19926
131,61659,30156,12353,19150
132,61872,30123,12371,19378
133,61463,29942,12105,19416
134,61420,29916,12061,19443
135,61262,29730,12038,19494
136,61487,29858,11967,19662
137,60727,30006,11896,18825
138,60702,29373,11879,19450
139,61025,29166,11722,20137
140,60758,29669,11770,19319
141,60777,29556,11569,19652
142,59919,29634,11520,18765
143,60709,29317,11463,19929
144,60110,29419,11552,19139
145,60392,29234,11430,19728
146,60908,28935,11388,20585
147,60497,29059,11377,20061
148,60774,28979,11569,20226
149,60813,29109,11540,20164
150,60164,29094,11555,19515
151,60025,29087,11493,19445
152,60455,28763,11584,20108
153,60338,28760,11624,19954
154,60580,28756,11612,20212
155,60447,28636,11672,20139
156,60163,28888,11730,19545
157,60293,28757,11540,19996
158,59821,28727,11575,19519
159,60211,28889,11624,19698
160,60568,28467,11728,20373
161,60560,28274,11831,20455
162,59501,28511,11833,19157
163,59226,28458,11913,18855
164,60371,28354,12027,19990
165,60319,28750,12097,19472
166,58911,28450,12247,18214
167,60218,28076,12257,19885
168,59985,28006,12312,19667
169,59601,28574,12435,18592
170,59558,28001,12498,19059
171,60049,27561,12561,19927
172,60042,27929,12648,19465
173,59217,27899,12631,18687
174,60132,27807,12696,19629
175,59760,28338,12702,18720
176,60011,28347,12688,18976
177,60083,28201,12703,19179
178,60138,28029,12712,19397
179,60801,28225,12766,19810
180,60202,28120,12732,19350
181,60015,28291,12817,18907
182,60021,28614,12853,18554
183,59877,28247,12664,18966
184,59991,28424,12726,18841
185,60288,28790,12775,18723
186,60270,28369,12702,19199
187,60358,28397,12816,19145
188,59683,28201,12864,18618
189,60199,27850,12883,19466
190,59866,28127,12904,18835
191,59849,28535,12873,18441
192,60052,28424,12932,18696
193,60619,28250,12771,19598
194,59928,28134,12824,18970
195,60464,28240,12871,19353
196,60147,28533,12754,18860
197,59895,28603,12774,18518
198,59058,28608,12760,17690
199,59855,28399,12743,18713
200,59397,28644,12777,17976
201,59043,28669,12749,17625
202,59965,28463,12685,18817
203,59894,28568,12684,18642
204,59633,28592,12786,18255
205,59808,28459,12894,18455
206,59791,28385,12758,18648
207,60136,28649,12642,18845
208,60275,28376,12753,19146
209,59955,28576,12766,18613
210,59311,28370,12615,18326
211,58820,28518,12683,17619
212,59566,28475,12692,18399
213,59292,28564,12699,18029
214,59851,28619,12632,18600
215,59273,28538,12689,18046
216,58451,28411,12737,17303
217,59576,28641,12647,18288
218,59522,28537,12678,18307
219,59052,28619,12718,17715
220,58581,28307,12738,17536
221,59391,28646,12791,17954
222,59493,28511,12833,18149
223,59360,28515,12817,18028
224,59488,28533,12817,18138
225,59056,28528,12895,17633
226,59187,28381,12887,17919
227,58926,28392,12995,17539
228,59305,28279,12886,18140
229,59682,28365,12967,18350
230,58797,28664,12945,17188
231,59129,28283,12943,17903
232,59451,28208,13022,18221
233,59361,28404,12994,17963
234,59365,28386,13015,17964
235,59277,28751,12977,17549
236,59259,28577,13044,17638
237,59282,28335,12834,18113
238,59376,28666,12975,17735
239,59345,28467,13001,17877
240,59335,28525,12973,17837
241,59332,28673,12987,17672
242,59315,28359,12917,18039
243,59148,28291,12975,17882
244,59231,28142,12928,18161
245,58931,28392,13001,17538
246,58848,27995,13126,17727
247,59537,27953,12998,18586
248,59051,27997,12994,18060
249,58991,27960,12989,18042
250,58829,28102,12862,17865
251,58231,27824,12922,17485
252,58249,27899,13007,17343
253,58395,27785,12889,17721
254,58736,27860,12947,17929
255,59009,27942,12977,18090
256,58239,28092,12956,17191
257,58274,27918,12902,17454
258,58111,27940,12992,17179
259,58024,27576,12994,17454
260,58580,27697,12980,17903
261,58558,27820,12937,17801
262,58026,27711,12861,17454
263,58958,27813,12979,18166
264,58448,27709,13054,17685
265,58599,27901,13084,17614
266,58888,27612,13084,18192
267,58371,27428,13190,17753
268,58259,27274,13151,17834
269,58267,27071,13051,18145
270,57978,27417,13126,17435
271,58172,27194,13146,17832
272,58033,27351,13163,17519
273,58557,27314,13044,18199
274,58434,27375,13028,18031
275,58417,27529,12887,18001
276,58149,27127,12979,18043
277,57840,27440,12958,17442
278,58106,27361,12856,17889
279,58024,27176,12914,17934
280,57968,26989,12927,18052
281,57728,27151,12916,17661
282,58029,27071,12914,18044
283,57597,26914,12837,17846
284,58124,27173,12779,18172
285,57756,26924,12709,18123
286,57559,27016,12707,17836
287,57803,27013,12649,18141
288,58087,27339,12701,18047
289,57830,27241,12696,17893
290,58211,27065,12692,18454
291,57247,27317,12707,17223
292,57416,27412,12631,17373
293,57711,27543,12672,17496
294,57882,27405,12610,17867
295,57857,27438,12547,17872
296,57815,27338,12521,17956
297,57856,27550,12596,17710
298,57846,27689,12543,17614
299,57829,27493,12340,17996
300,58071,27710,12341,18020
301,57759,28017,12262,17480
302,57462,27847,12154,17461
303,57836,27763,12225,17848
304,57306,27660,12141,17505
305,57628,27551,12220,17857
306,57841,27434,12206,18201
307,57911,27745,12098,18068
308,57368,27853,12115,17400
309,57480,27983,12028,17469
310,57354,27891,11917,17546
311,57292,27893,11890,17509
312,57423,27737,11926,17760
313,57453,27518,11838,18097
314,57766,27783,11879,18104
315,57377,27829,11744,17804
316,57260,27860,11735,17665
317,57287,27942,11766,17579
318,57086,28133,11832,17121
319,57388,27935,11740,17713
320,57683,27847,11784,18052
321,57514,27900,11674,17940
322,57019,27416,11752,17851
323,57207,27872,11777,17558
324,57246,27887,11708,17651
325,57965,27809,11851,18305
326,57746,27989,11696,18061
327,57324,27986,11733,17605
328,57515,28263,11790,17462
329,57644,28216,11772,17656
330,57167,27941,11778,17448
331,57694,27841,11852,18001
332,57451,28352,11916,17183
333,57756,27780,11802,18174
334,57829,27885,11837,18107
335,58052,27841,11896,18315
336,57975,27794,11948,18233
337,57639,27921,11980,17738
338,58034,28150,11898,17986
339,58526,28073,11978,18475
340,58136,27900,12094,18142
341,57815,27819,12078,17918
342,58058,28113,12171,17774
343,57521,27766,12190,17565
344,58096,27792,12217,18087
345,58314,27845,12323,18146
346,57775,28107,12312,17356
347,58268,28163,12338,17767
348,58135,27700,12262,18173
349,57818,27986,12397,17435
350,58290,27869,12455,17966
351,57902,28042,12582,17278
352,58091,27984,12769,17338
353,58712,28012,12735,17965
354,58532,27784,12826,17922
355,57547,27842,12896,16809
356,58239,27600,12773,17866
357,58455,27646,12955,17854
358,58786,28100,12946,17740
359,58925,27846,13085,17994
360,58448,28009,13158,17281
361,58872,27869,13226,17777
362,58656,27793,13333,17530
363,58469,27826,13456,17187
364,58913,27599,13636,17678
365,59406,27865,13638,17903
366,59729,27820,13738,18171
367,59503,27813,13851,17839
368,59586,28029,13829,17728
369,59662,27862,13902,17898
370,59755,27857,14103,17795
371,59868,27878,14235,17755
372,59999,27703,14262,18034
373,59919,27974,14285,17660
374,60376,27708,14353,18315
375,60420,27719,14201,18500
376,60144,28025,14284,17835
377,59595,28160,14269,17166
378,60361,27990,14419,17952
379,59674,27736,14458,17480
380,59555,27757,14572,17226
381,59975,27747,14633,17595
382,60381,27991,14600,17790
383,59894,27914,14619,17361
384,60108,28242,14542,17324
385,60734,27829,14507,18398
386,60533,27883,14511,18139
387,60412,28191,14520,17701
388,59896,28156,14540,17200
389,60100,28298,14588,17214
390,60429,28090,14558,17781
391,60600,28118,14508,17974
392,60715,28119,14556,18040
393,60554,27999,14643,17912
394,60810,27892,14616,18302
395,60758,27962,14605,18191
396,61246,27941,14715,18590
397,61200,27943,14797,18460
398,61170,28270,14765,18135
399,61501,28329,14823,18349
400,61644,28218,14899,18527
401,61050,28285,14823,17942
402,61167,28354,14938,17875
403,61051,28453,14862,17736
404,61057,28396,14788,17873
405,60694,28266,14717,17711
406,61512,28295,14687,18530
407,61351,28791,14761,17799
408,60601,28480,14763,17358
409,60805,28560,14776,17469
410,61493,28484,14795,18214
411,61019,28739,14763,17517
412,61367,28537,14765,18065
413,61371,28405,14846,18120
414,61430,28571,14716,18143
415,61179,28558,14807,17814
416,61223,28669,14800,17754
417,61475,28464,14854,18157
418,60973,28485,14815,17673
419,61603,28720,14786,18097
420,61444,28550,14879,18015
421,61147,28723,14751,17673
422,61493,28544,14774,18175
423,61926,28523,14748,18655
424,61955,28543,14824,18588
425,62347,28553,14764,19030
426,61817,28524,14767,18526
427,61510,28521,14738,18251
428,61076,28597,14723,17756
429,61533,28683,14720,18130
430,61572,28622,14712,18238
431,61671,28659,14645,18367
432,61018,28292,14709,18017
433,61111,28784,14730,17597
434,61210,28370,14678,18162
435,60769,28645,14664,17460
436,61489,28607,14577,18305
437,61803,28619,14583,18601
438,61320,28671,14515,18134
439,60950,28487,14679,17784
440,61800,28437,14654,18709
441,60378,28692,14642,17044
442,60945,28529,14510,17906
443,60726,28628,14487,17611
444,61148,28526,14475,18147
445,60699,28479,14492,17728
446,60923,28485,14433,18005
447,61094,28338,14476,18280
448,61207,28620,14579,18008
449,61013,28497,14627,17889
450,61028,28456,14563,18009
451,60813,28440,14533,17840
452,60182,28444,14607,17131
453,60751,28254,14582,17915
454,60584,28329,14561,17694
455,61227,28215,14614,18398
456,60644,28202,14520,17922
457,60914,28280,14497,18137
458,60785,28171,14557,18057
459,60769,28194,14495,18080
460,60837,28455,14402,17980
461,60074,28267,14476,17331
462,59687,27979,14570,17138
463,60286,28036,14499,17751
464,60174,28127,14366,17681
465,60060,28101,14340,17619
466,60607,28163,14337,18107
467,59479,28042,14509,16928
468,60067,27993,14434,17640
469,60189,27757,14304,18128
470,59574,27853,14342,17379
471,60235,27693,14355,18187
472,59751,28061,14317,17373
473,59677,27503,14349,17825
474,58887,27648,14239,17000
475,58844,27277,14140,17427
476,59434,27736,14154,17544
477,60093,27513,14107,18473
478,59330,27603,14061,17666
479,58833,27687,14142,17004
480,58988,27278,14115,17595
481,58072,27441,14043,16588
482,58470,26827,14073,17570
483,58620,26961,13965,17694
484,58141,26980,13985,17176
485,58617,27068,13974,17575
486,58641,27106,13956,17579
487,58032,26996,13933,17103
488,58337,27178,13874,17285
489,58443,27008,13975,17460
490,57314,26865,13919,16530
491,57930,26797,13892,17241
492,57998,26929,13989,17080
493,58618,26932,13820,17866
494,57491,26856,13877,16758
495,57700,26683,13910,17107
496,57467,26711,13814,16942
497,57495,26743,13869,16883
498,57083,26683,13815,16585
499,56842,26630,13951,16261
500,57138,26682,13762,16694
501,57174,26705,13795,16674
502,56959,26337,13789,16833
503,57173,26765,13785,16623
504,56774,26719,13838,16217
505,56315,26508,13884,15923
506,56988,26233,13808,16947
507,57100,26419,13906,16775
508,56815,26300,14014,16501
509,56878,26258,13921,16699
510,56965,26428,13971,16566
511,56452,26503,14044,15905
512,57342,26119,13991,17232
513,56600,26165,14095,16340
514,56124,26317,13998,15809
515,56604,25913,14004,16687
516,56048,26256,14039,15753
517,56637,26194,14005,16438
518,56162,26257,14031,15874
519,55706,26540,14113,15053
520,56262,26082,13967,16213
521,56143,26050,14001,16092
522,55951,26236,13903,15812
523,56286,26267,13854,16165
524,56500,26628,13989,15883
525,56376,26616,13986,15774
526,55612,26516,13988,15108
527,55591,26462,14075,15054
528,55877,26739,14013,15125
529,56118,26515,14042,15561
530,55950,26612,14060,15278
531,55821,26561,13933,15327
532,55912,26504,14045,15363
533,55964,26735,13961,15268
534,56690,26394,13990,16306
535,56162,26868,14270,15024
536,55569,26248,14279,15042
537,56329,26720,14439,15170
538,56603,26628,14321,15654
539,55951,26682,14243,15026
540,56103,26639,14280,15184
541,56335,26962,14332,15041
542,56367,27071,14338,14958
543,56251,26840,14400,15011
544,56449,27002,14332,15115
545,57145,26739,14508,15898
546,56824,26465,14487,15872
547,56694,26625,14580,15489
548,56672,27011,14532,15129
549,56823,26390,14776,15657
550,56544,26637,14714,15193
551,56423,26392,14738,15293
552,55509,26139,14734,14636
553,56315,26256,14821,15238
554,56393,26235,14740,15418
555,56398,26380,14788,15230
556,56163,26454,14757,14952
557,56392,26368,14964,15060
558,57251,26276,14922,16053
559,56567,26340,15053,15174
560,56449,26504,15038,14907
561,56704,26215,15144,15345
562,56849,26003,15189,15657
563,56178,25886,15337,14955
564,56832,25684,15263,15885
565,56750,26061,15164,15525
566,56446,25954,15204,15288
567,56363,26311,15186,14866
568,56800,26205,15362,15233
569,55832,26290,15278,14264
570,56489,26071,15318,15100
571,56599,26243,15276,15080
572,57095,26611,15252,15232
573,57180,26263,15314,15603
574,56251,26420,15408,14423
575,56855,26808,15429,14618
576,56895,26721,15458,14716
577,57118,26891,15414,14813
578,56814,26707,15511,14596
579,56773,26843,15436,14494
580,56931,26595,15529,14807
581,56738,26355,15526,14857
582,57108,26898,15574,14636
583,57194,26580,15471,15143
584,56888,26968,15552,14368
585,57295,26640,15501,15154
586,56404,26625,15504,14275
587,56931,26592,15307,15032
588,56609,27173,15378,14058
589,56433,26859,15661,13913
590,56310,26969,15525,13816
591,56058,26793,15650,13615
592,56907,27065,15666,14176
593,57236,26902,15540,14794
594,56833,27026,15543,14264
595,56410,26957,15645,13808
596,56957,26732,15587,14638
597,56840,27225,15515,14100
598,56801,26703,15553,14545
599,57023,26514,15519,14990
600,56921,27024,15500,14397
