no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,46918,21920,10422,14576
2,46656,21745,10385,14526
3,47067,21868,10452,14747
4,46999,21953,10504,14542
5,47027,21799,10599,14629
6,47084,21944,10754,14386
7,46961,21639,10749,14573
8,47411,21492,10748,15171
9,47239,21903,10769,14567
10,47106,21975,10880,14251
11,47322,21996,10958,14368
12,47292,22220,10978,14094
13,47506,22177,11022,14307
14,47619,22115,11162,14342
15,47815,22387,11056,14372
16,47962,22241,11152,14569
17,48212,22294,11183,14735
18,47782,22268,11151,14363
19,48000,22561,11405,14034
20,48516,22757,11399,14360
21,48401,23138,11469,13794
22,48446,22725,11391,14330
23,48588,22931,11384,14273
24,48349,22802,11406,14141
25,48788,22896,11398,14494
26,49007,23263,11429,14315
27,49422,23654,11426,14342
28,49062,23481,11422,14159
29,48844,23343,11534,13967
30,49077,23171,11590,14316
31,49129,23371,11633,14125
32,49484,23213,11802,14469
33,49393,23326,11728,14339
34,49516,23547,11809,14160
35,49856,23642,11850,14364
36,49821,23763,11820,14238
37,49548,23489,11826,14233
38,49778,23633,11906,14239
39,49857,23919,11835,14103
40,49876,23842,11884,14150
41,50106,23748,11816,14542
42,50062,23932,11921,14209
43,50406,23989,12030,14387
44,50321,24088,12049,14184
45,50086,24457,11865,13764
46,50335,24518,11942,13875
47,50387,24289,11903,14195
48,50293,24191,11915,14187
49,50080,24385,11894,13801
50,50598,24344,12010,14244
51,50531,24326,12036,14169
52,50022,24295,12072,13655
53,50463,24352,12034,14077
54,50584,24352,12042,14190
55,50702,24377,11967,14358
56,50827,24969,12121,13737
57,50683,24808,12117,13758
58,51066,24788,12105,14173
59,51023,24853,12120,14050
60,51336,24773,12328,14235
61,51538,25194,12209,14135
62,51362,24871,12180,14311
63,51421,24930,12164,14327
64,51426,24821,12081,14524
65,51333,25027,12186,14120
66,51405,25089,12154,14162
67,51511,25020,12183,14308
68,51666,24770,12339,14557
69,51696,25034,12204,14458
70,51524,25284,12359,13881
71,51555,25198,12255,14102
72,51607,25134,12150,14323
73,51636,25516,12356,13764
74,51906,25538,12214,14154
75,51807,25486,12219,14102
76,51983,24890,12210,14883
77,51742,25352,12341,14049
78,52043,25349,12366,14328
79,52001,25386,12379,14236
80,51821,25088,12163,14570
81,52207,25577,12150,14480
82,52376,25842,12166,14368
83,52393,25783,12117,14493
84,52309,25351,12295,14663
85,52296,25778,12356,14162
86,52438,25586,12352,14500
87,52367,25462,12397,14508
88,52327,25720,12308,14299
89,52589,25303,12332,14954
90,52594,25477,12184,14933
91,52600,26176,12253,14171
92,52508,25982,12295,14231
93,52479,25873,12247,14359
94,52458,25716,12231,14511
95,52525,25729,12340,14456
96,52614,25543,12265,14806
97,52760,25643,12264,14853
98,52774,25496,12138,15140
99,52842,25635,12086,15121
100,52482,25719,12121,14642
101,52853,25630,12070,15153
102,52554,25632,12005,14917
103,52415,25848,12109,14458
104,52761,25692,12128,14941
105,52973,25532,12044,15397
106,52919,25639,12085,15195
107,52968,25934,11980,15054
108,53006,26192,12072,14742
109,52883,25513,12145,15225
110,52771,25505,12101,15165
111,52801,25570,12104,15127
112,52840,25723,12064,15053
113,52737,25838,11995,14904
114,53164,25490,11951,15723
115,52894,25778,11877,15239
116,52441,25821,11843,14777
117,52655,25577,11882,15196
118,52784,25679,11965,15140
119,52953,25610,11941,15402
120,52895,25725,11844,15326
121,52702,25775,11771,15156
122,52504,25686,11730,15088
123,51986,25526,11549,14911
124,52891,25804,11425,15662
125,52374,25335,11514,15525
126,52686,25244,11534,15908
127,52610,25222,11473,15915
128,52772,25572,11347,15853
129,52594,25366,11393,15835
