no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,60962,35395,10582,14985
2,60913,35373,10569,14971
3,60751,35285,10471,14995
4,60644,35279,10475,14890
5,60550,35354,10473,14723
6,60646,35534,10643,14469
7,60547,35263,10573,14711
8,60608,34780,10463,15365
9,60650,35638,10599,14413
10,60636,35540,10685,14411
11,60206,35375,10683,14148
12,60115,35135,10656,14324
13,60072,34865,10805,14402
14,59982,34834,10787,14361
15,60003,35110,10803,14090
16,60007,34992,10939,14076
17,59784,35145,10992,13647
18,59986,35017,11039,13930
19,60043,34927,11033,14083
20,59819,34952,11120,13747
21,59763,34978,11133,13652
22,59754,34736,11221,13797
23,59826,35002,11284,13540
24,59640,34560,11264,13816
25,59884,34755,11564,13565
26,59652,34675,11562,13415
27,59890,34666,11551,13673
28,59790,34543,11532,13715
29,59742,34872,11653,13217
30,59621,34681,11566,13374
31,59764,34571,11588,13605
32,59677,34279,11682,13716
33,59745,34466,11881,13398
34,59516,34587,11886,13043
35,59546,34207,11908,13431
36,59273,34155,11873,13245
37,59614,34400,11907,13307
38,59415,33997,11901,13517
39,59332,34402,11920,13010
40,59496,34553,12042,12901
41,59711,34402,12046,13263
42,59483,34266,12119,13098
43,59508,34162,12161,13185
44,59505,34086,12167,13252
45,59511,33983,12238,13290
46,59121,33968,12178,12975
47,59181,33914,12171,13096
48,59150,33826,12269,13055
49,59450,34096,12305,13049
50,59138,34097,12322,12719
51,59177,34087,12255,12835
52,59050,34314,12345,12391
53,59058,33984,12337,12737
54,58978,34331,12387,12260
55,58947,34317,12411,12219
56,58744,33848,12383,12513
57,58713,33668,12473,12572
58,58620,34036,12486,12098
59,58592,33939,12440,12213
60,58395,34153,12392,11850
61,58365,33711,12378,12276
62,58277,34040,12333,11904
63,58260,34431,12347,11482
64,58233,34349,12245,11639
65,58274,34236,12425,11613
66,58219,34283,12435,11501
67,58348,34231,12365,11752
68,58117,34108,12438,11571
69,57884,34257,12360,11267
70,57874,34015,12335,11524
71,57808,33989,12401,11418
72,57526,34305,12317,10904
73,57434,34157,12204,11073
74,57253,34159,12186,10908
75,57126,34037,12402,10687
76,57165,34182,12311,10672
77,57116,33859,12266,10991
78,56995,34513,12265,10217
79,57094,34124,12285,10685
80,57011,34176,12170,10665
81,57023,34569,12096,10358
82,56959,34003,12161,10795
83,57187,34095,12165,10927
84,56928,33872,12072,10984
85,56881,34198,12065,10618
86,56820,33843,12161,10816
87,56780,33711,11993,11076
88,56450,34107,11956,10387
89,56700,34089,11959,10652
90,56376,33938,11936,10502
91,56401,33997,11938,10466
92,56164,33936,11973,10255
93,56109,33730,11985,10394
94,56142,33769,11985,10388
95,56074,33875,11838,10361
96,55985,33531,11698,10756
97,55978,33841,11789,10348
98,55815,33695,11936,10184
99,55845,33309,11986,10550
100,55675,33578,11895,10202
101,55749,33533,11942,10274
102,55700,33602,11896,10202
103,55837,33585,11808,10444
104,55716,33299,11763,10654
105,55428,33615,11806,10007
106,55477,33861,11740,9876
107,55279,33709,11935,9635
