no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,52941,33250,3709,15982
2,53024,32921,3582,16521
3,53007,33135,3584,16288
4,52916,33474,3506,15936
5,52890,32935,3489,16466
6,52919,33138,3466,16315
7,52757,33508,3290,15959
8,52871,33479,3270,16122
9,52784,33038,3262,16484
10,52714,32921,3062,16731
11,52574,32932,3025,16617
12,52435,32950,3011,16474
13,52361,33093,2958,16310
14,52193,32558,2948,16687
15,52213,32560,2961,16692
16,52209,32562,2887,16760
17,52168,32601,2840,16727
18,52249,32522,2719,17008
19,52138,32555,2677,16906
20,52021,32588,2452,16981
21,51946,32441,2338,17167
22,51904,32127,2196,17581
23,51687,32265,2133,17289
24,51430,32300,2104,17026
25,51309,31973,2018,17318
26,51036,31908,1883,17245
27,50898,31819,1826,17253
28,50740,31848,1716,17176
29,50864,31817,1696,17351
30,50735,31691,1573,17471
31,50677,31677,1539,17461
32,50567,31698,1493,17376
33,50519,31650,1402,17467
34,50308,31407,1344,17557
35,50423,31283,1344,17796
36,50325,31300,1307,17718
37,50268,31239,1291,17738
38,50284,31271,1180,17833
39,50322,30956,1135,18231
40,50091,30940,1063,18088
41,49940,31002,1074,17864
42,49871,30820,979,18072
43,49772,31060,851,17861
44,49779,30658,835,18286
45,49666,30949,718,17999
46,49430,30895,723,17812
47,49489,30991,649,17849
48,49235,30671,654,17910
49,49211,30577,633,18001
50,49429,30437,608,18384
51,49093,30533,587,17973
52,49258,30377,597,18284
53,49147,30186,626,18335
54,49513,30372,588,18553
55,49397,30368,641,18388
56,49165,29916,603,18646
57,48956,30042,575,18339
58,48947,29835,578,18534
59,49018,29997,687,18334
60,49123,29886,711,18526
61,48970,29773,747,18450
62,48970,29706,821,18443
63,49009,29496,853,18660
64,48931,29373,862,18696
65,49197,29517,923,18757
66,49051,29481,1011,18559
67,48982,29335,1076,18571
68,48933,29564,1197,18172
69,48912,29359,1324,18229
70,49022,29432,1419,18171
71,48950,29662,1473,17815
72,49199,28980,1636,18583
73,49293,29297,1693,18303
74,49215,29399,1847,17969
75,48958,29080,1985,17893
76,48853,29538,2053,17262
77,49210,29223,2086,17901
78,49186,29309,2210,17667
79,49131,29005,2245,17881
80,49164,29208,2312,17644
81,49121,29197,2381,17543
82,49320,29226,2424,17670
83,49424,29281,2482,17661
84,49311,29084,2578,17649
