no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,53284,30285,12314,10685
2,53059,29997,12453,10609
3,53203,30398,12186,10619
4,53095,30087,12474,10534
5,53287,29931,12361,10995
6,53327,30545,12277,10505
7,53205,30310,12437,10458
8,53265,30319,12282,10664
9,53131,30455,12463,10213
10,53500,30403,12458,10639
11,53635,30396,12487,10752
12,53376,29877,12395,11104
13,53104,30110,12318,10676
14,53304,30120,12237,10947
15,53077,30390,12346,10341
16,53358,30091,12324,10943
17,53343,29780,12451,11112
18,53448,29605,12305,11538
19,53678,29624,12363,11691
20,53461,30075,12399,10987
21,53573,29824,12613,11136
22,53699,30084,12696,10919
23,53847,30242,12640,10965
24,53782,29847,12734,11201
25,53755,29931,12744,11080
26,53876,29747,12915,11214
27,53808,29727,12609,11472
28,53524,29846,12643,11035
29,53541,29474,12554,11513
30,53834,29702,12694,11438
31,53768,29511,12585,11672
32,53880,29309,12566,12005
33,53798,29702,12743,11353
34,54093,29817,12503,11773
35,53840,29512,12860,11468
36,53742,29783,12603,11356
37,53911,29733,12604,11574
38,53705,29355,12661,11689
39,53688,29552,12648,11488
40,53583,29867,12613,11103
41,53662,29640,12732,11290
42,53789,29578,12680,11531
43,53670,29253,12576,11841
44,53542,29479,12513,11550
45,53594,29384,12545,11665
46,53472,29328,12601,11543
47,53414,29717,12719,10978
48,53747,29407,12663,11677
49,53659,29397,12576,11686
50,53657,29904,12712,11041
51,53910,29691,12729,11490
52,53829,29304,12743,11782
53,53797,29554,12714,11529
54,53876,29429,12924,11523
55,54012,29508,12890,11614
56,54110,29364,12800,11946
57,53973,29945,12744,11284
58,54288,29600,12896,11792
59,54149,29445,12885,11819
60,54080,29629,13026,11425
61,54215,29614,13137,11464
62,54272,29176,13002,12094
63,54331,29213,13033,12085
64,54170,29369,12897,11904
65,54297,29002,12996,12299
66,54522,29290,12810,12422
67,54357,29395,13030,11932
68,54362,29542,12887,11933
69,54524,29030,12950,12544
70,54691,29318,12950,12423
71,54658,29136,12802,12720
72,54640,29403,12862,12375
73,54592,29304,12664,12624
74,54612,29459,12851,12302
75,54733,29277,13097,12359
76,54860,29252,12877,12731
77,54909,29412,12873,12624
78,55052,29826,12905,12321
79,54890,29512,13021,12357
80,54939,29664,13095,12180
81,55005,29271,12951,12783
82,54703,29426,12895,12382
83,54955,29963,12856,12136
84,54945,29444,13012,12489
85,54986,29290,13077,12619
86,54934,29381,13126,12427
87,55035,29753,12995,12287
88,55002,29882,12879,12241
89,54920,29651,12881,12388
90,55053,29666,12866,12521
91,55042,29929,13102,12011
92,55308,29602,13025,12681
93,55122,29302,12973,12847
94,55140,29930,12749,12461
95,55301,29650,13061,12590
96,55343,29875,13042,12426
97,55416,29836,13200,12380
98,55233,30122,12872,12239
99,55182,29522,12838,12822
100,55340,29794,13069,12477
101,55434,29907,12997,12530
102,55490,29890,12842,12758
103,55376,29605,12881,12890
104,55275,29947,12832,12496
105,55464,29568,12815,13081
106,55409,30083,12780,12546
107,55465,30210,12885,12370
108,55582,30182,12747,12653
109,55649,30099,12835,12715
110,55586,30425,12712,12449
111,55430,29943,12854,12633
112,55663,30682,12884,12097
113,55721,30229,12759,12733
114,55766,30637,12777,12352
115,55699,30581,12598,12520
116,55462,30381,12775,12306
117,55822,30646,12935,12241
118,55883,30357,12738,12788
119,55899,30033,12773,13093
120,55752,30230,12698,12824
121,55858,30542,12740,12576
122,55743,30466,12567,12710
123,55522,30028,12428,13066
124,55781,30512,12474,12795
125,55818,30399,12654,12765
126,55968,30539,12464,12965
127,55783,30623,12402,12758
128,55469,30462,12195,12812
129,55693,30260,12126,13307
130,55675,30237,12235,13203
131,56037,30338,12195,13504
132,56078,30453,12220,13405
133,56177,30833,12178,13166
134,56125,30383,12338,13404
135,56231,30444,12250,13537
136,56380,30615,12389,13376
137,56281,30375,12367,13539
138,56367,30797,12308,13262
139,56528,30421,12362,13745
140,56590,30607,12302,13681
141,56651,30811,12238,13602
142,56662,30560,12251,13851
143,56556,30775,12134,13647
144,56953,30295,12398,14260
145,56621,30742,12231,13648
146,56918,30690,12320,13908
147,56833,31078,12225,13530
148,57182,30942,12097,14143
149,56998,31350,12232,13416
150,56990,31173,12307,13510
151,57272,31039,12304,13929
152,57215,30895,12422,13898
153,57395,31408,12274,13713
154,57514,30920,12183,14411
155,57604,30959,12440,14205
156,57600,31201,12179,14220
157,57423,31320,12219,13884
158,57457,31109,12418,13930
159,57920,30919,12493,14508
160,58090,31193,12380,14517
161,58177,30749,12397,15031
162,58154,30915,12493,14746
163,58178,31636,12318,14224
164,58088,31115,12420,14553
165,58226,30896,12194,15136
166,58303,30806,12144,15353
167,58369,31284,12157,14928
168,58532,30807,12257,15468
169,58807,30800,12288,15719
170,58518,30937,12316,15265
171,58330,31012,12090,15228
172,58180,30621,12027,15532
173,58453,31339,11987,15127
174,58282,31510,12100,14672
175,58429,31407,12069,14953
176,58456,31417,12010,15029
177,58465,31310,12015,15140
178,58419,31166,11972,15281
179,58432,30988,12053,15391
180,58255,30822,11997,15436
181,58313,31510,12016,14787
182,58598,30703,12009,15886
183,58681,31162,12005,15514
184,58753,30948,11899,15906
185,58714,31065,12054,15595
186,58449,30861,11974,15614
187,58704,31271,12037,15396
188,58673,31231,11912,15530
189,58583,31132,11990,15461
190,58870,31001,12150,15719
191,58938,31109,12032,15797
192,59041,31117,12220,15704
193,58725,31249,12131,15345
194,59004,31589,12039,15376
195,58625,31359,11979,15287
196,58400,31610,11887,14903
197,58463,31798,11927,14738
198,58625,31734,11895,14996
199,58303,31550,11924,14829
200,58674,31043,11891,15740
201,58696,31507,11929,15260
202,58613,31326,12019,15268
203,58708,31299,11936,15473
204,58654,30730,12018,15906
205,58683,32006,11961,14716
206,58337,31685,12070,14582
207,58805,31387,12099,15319
208,58581,31874,12205,14502
209,58612,31806,12217,14589
210,58754,31274,12090,15390
211,59328,30183,12107,17038
212,59500,30477,12186,16837
213,59467,31199,12197,16071
214,59675,31003,12224,16448
215,59768,31197,12244,16327
216,59897,31143,12234,16520
217,59962,31335,12211,16416
218,59764,31093,12212,16459
219,59973,31279,12170,16524
220,59951,31015,12200,16736
221,59781,30982,12324,16475
222,60176,31205,12290,16681
223,60163,31725,12370,16068
224,59875,31186,12289,16400
225,60259,31418,12340,16501
226,60006,31216,12244,16546
227,60218,31052,12331,16835
228,60195,31320,12439,16436
229,60169,31081,12384,16704
230,60272,31009,12292,16971
231,60153,31358,12475,16320
232,60421,31599,12418,16404
233,60436,31691,12253,16492
234,60273,31138,12308,16827
235,60262,31263,12421,16578
236,60350,31303,12604,16443
237,60544,30943,12477,17124
238,60562,31149,12552,16861
239,60638,31537,12554,16547
240,60431,31321,12599,16511
241,60449,31209,12565,16675
242,60587,31253,12543,16791
243,60464,31421,12475,16568
244,60693,31133,12575,16985
245,60707,31550,12574,16583
246,60741,31178,12663,16900
247,60734,31389,12496,16849
248,60633,31174,12557,16902
249,60793,31533,12599,16661
250,60705,31081,12562,17062
251,60621,31760,12651,16210
252,60816,31446,12633,16737
253,61094,31493,12522,17079
254,60883,31285,12705,16893
255,60853,31629,12549,16675
256,61020,31354,12599,17067
257,61125,31440,12559,17126
258,60928,31666,12659,16603
259,61095,31871,12603,16621
260,61099,31287,12618,17194
261,61021,31325,12465,17231
262,61004,31769,12537,16698
263,60968,31835,12479,16654
264,61007,32274,12496,16237
265,61114,32054,12493,16567
266,61106,32153,12500,16453
267,60978,31761,12318,16899
268,61143,31944,12454,16745
269,61155,32232,12348,16575
270,61094,31997,12332,16765
271,61283,32072,12445,16766
272,61336,32241,12436,16659
273,61385,31969,12380,17036
274,61385,32373,12268,16744
275,61239,32217,12340,16682
276,61201,32529,12289,16383
277,61426,32633,12334,16459
278,61402,32235,12310,16857
279,61799,32047,12396,17356
280,61613,32682,12470,16461
281,61786,32600,12339,16847
282,61509,32843,12301,16365
283,61587,32891,12286,16410
284,61490,33044,12231,16215
285,61479,32881,12205,16393
286,61721,32834,12318,16569
287,61520,32700,12309,16511
288,61694,32753,12232,16709
289,61610,33069,12199,16342
290,61908,33163,12184,16561
291,61532,33404,12164,15964
292,61774,33049,12223,16502
293,61714,33185,12068,16461
294,61817,33085,12048,16684
295,61813,33377,12078,16358
296,61907,32896,12042,16969
297,61926,33982,12062,15882
298,61920,33618,12154,16148
299,61743,33926,12126,15691
300,61807,33717,12008,16082
301,61844,33888,11994,15962
302,61714,33976,11901,15837
303,61845,33671,11915,16259
304,62008,33670,11878,16460
