no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,57643,29399,12115,16129
2,57582,29219,12060,16303
3,57695,29189,12075,16431
4,57670,29243,12080,16347
5,57604,29187,11985,16432
6,57610,29477,12005,16128
7,57659,29163,12060,16436
8,57724,29492,12148,16084
9,57531,29284,12017,16230
10,57682,29377,12080,16225
11,57461,29521,12101,15839
12,57481,29496,12034,15951
13,57708,29845,12006,15857
14,57516,29264,11999,16253
15,57426,29757,11896,15773
16,57445,30055,11834,15556
17,57216,29781,11913,15522
18,57369,29602,11903,15864
19,57369,29440,11951,15978
20,57266,29715,11898,15653
21,57502,29419,11993,16090
22,57459,29713,12002,15744
23,57318,30152,12012,15154
24,57345,29866,12040,15439
25,57309,29688,11973,15648
26,57293,29693,11921,15679
27,57214,29818,11871,15525
28,57075,29764,11992,15319
29,57118,29771,11982,15365
30,57245,29801,11937,15507
31,57110,29853,12005,15252
32,57142,29929,11907,15306
33,57132,29613,11918,15601
34,57026,29505,11884,15637
35,57131,29543,11780,15808
36,56917,29562,11722,15633
37,56910,29674,11701,15535
38,56936,29610,11772,15554
39,56881,29596,11751,15534
40,56976,29920,11757,15299
41,57000,29673,11768,15559
42,56865,29796,11687,15382
43,56864,29720,11631,15513
44,56867,29605,11584,15678
45,56867,29305,11606,15956
46,56836,29263,11554,16019
47,56885,29446,11527,15912
48,56921,29293,11411,16217
49,56897,29494,11474,15929
50,56831,29397,11431,16003
51,56809,29461,11373,15975
52,56785,29388,11294,16103
53,56861,29520,11201,16140
54,56626,29481,11284,15861
55,56790,29651,11374,15765
56,56713,29734,11273,15706
57,56651,29787,11225,15639
58,56656,29756,11215,15685
59,56814,29972,11355,15487
60,56821,29892,11316,15613
61,56795,29895,11269,15631
62,56671,29953,11267,15451
63,56667,29649,11377,15641
64,56780,29714,11406,15660
65,56728,29673,11379,15676
66,56671,29948,11345,15378
67,56879,29921,11305,15653
68,56707,30266,11288,15153
69,56814,29821,11288,15705
70,56776,29943,11315,15518
71,56711,29827,11315,15569
72,56781,30280,11422,15079
73,56674,30040,11421,15213
74,56676,29974,11419,15283
75,56727,29970,11366,15391
76,56548,29985,11362,15201
77,56671,29877,11319,15475
78,56630,30108,11325,15197
79,56626,29987,11298,15341
80,56554,30067,11432,15055
81,56590,29935,11426,15229
82,56542,30232,11427,14883
83,56512,30160,11417,14935
84,56598,30022,11387,15189
85,56574,30117,11495,14962
86,56498,29983,11441,15074
87,56281,29844,11413,15024
88,56475,29836,11417,15222
89,56367,30468,11386,14513
90,56259,30054,11393,14812
91,56292,30209,11461,14622
92,56314,30524,11493,14297
93,56487,30336,11503,14648
94,56477,30042,11608,14827
95,56334,30323,11570,14441
96,56351,30136,11637,14578
97,56283,30043,11592,14648
98,56284,29812,11558,14914
99,56399,30173,11607,14619
100,56264,30041,11701,14522
101,56429,30156,11764,14509
102,56233,30041,11814,14378
103,56307,30236,11786,14285
104,56362,30035,11896,14431
105,56282,29992,11986,14304
106,56114,29790,11992,14332
107,56149,29749,12040,14360
108,56165,30204,12122,13839
109,56316,29747,12299,14270
110,56240,29924,12268,14048
111,56307,30063,12419,13825
112,56246,29799,12355,14092
113,56084,29994,12415,13675
114,55974,30115,12435,13424
115,56147,29410,12476,14261
116,56023,29809,12597,13617
117,55958,30300,12694,12964
118,56103,30010,12696,13397
119,56141,29884,12798,13459
120,56087,30056,12846,13185
121,55944,30114,12838,12992
122,55816,29493,12864,13459
123,55993,29970,12949,13074
124,56108,30211,12886,13011
125,56190,30581,12963,12646
126,56106,29994,13017,13095
127,56173,30142,13102,12929
128,56203,30007,13051,13145
129,56320,30165,13245,12910
130,56340,29822,13207,13311
131,56265,29846,13265,13154
132,56358,30493,13258,12607
133,56209,30227,13215,12767
134,56235,30175,13171,12889
135,56210,30475,13167,12568
136,56332,30208,13197,12927
137,56279,30288,13302,12689
138,56274,30586,13285,12403
139,56360,30245,13367,12748
140,56433,30475,13455,12503
141,56359,30582,13390,12387
142,56447,30837,13386,12224
143,56556,30498,13305,12753
144,56591,30664,13350,12577
145,56520,30578,13347,12595
146,56587,30886,13353,12348
147,56615,30838,13432,12345
148,56600,30889,13521,12190
149,56448,31030,13502,11916
150,56692,30917,13576,12199
151,56677,30675,13515,12487
152,56559,31088,13439,12032
153,56532,31239,13422,11871
154,56619,30859,13473,12287
155,56827,30920,13427,12480
156,56769,31069,13529,12171
157,56712,31089,13488,12135
158,56735,31251,13379,12105
159,56915,31243,13518,12154
160,56808,31462,13457,11889
161,56939,31431,13520,11988
162,56820,31102,13476,12242
163,56973,31264,13475,12234
164,56921,31328,13467,12126
165,56853,31220,13649,11984
166,56853,31524,13588,11741
167,56795,31060,13554,12181
168,56914,31285,13518,12111
169,56863,31082,13415,12366
170,56793,31349,13399,12045
171,56903,31172,13362,12369
172,56810,31130,13500,12180
173,56968,31483,13479,12006
174,56995,31834,13472,11689
175,57097,31671,13387,12039
176,57138,31727,13320,12091
177,57194,31699,13330,12165
178,57119,31864,13405,11850
179,57226,31450,13421,12355
180,57056,31287,13339,12430
181,57212,31444,13475,12293
182,57202,31556,13504,12142
183,57289,31304,13411,12574
184,57371,31133,13471,12767
185,57401,31110,13430,12861
186,57296,31459,13302,12535
187,57254,31471,13361,12422
188,57252,31260,13401,12591
189,57311,31652,13367,12292
190,57366,31465,13316,12585
191,57355,31624,13304,12427
192,57505,31387,13316,12802
193,57465,31488,13332,12645
194,57453,31579,13398,12476
195,57222,31470,13263,12489
