no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,56890,27843,7928,21119
2,56910,28110,7938,20862
3,56949,28019,7936,20994
4,56991,28323,7942,20726
5,57161,28402,7971,20788
6,56995,28148,7953,20894
7,57010,28188,7916,20906
8,57301,27939,7923,21439
9,57378,28247,7953,21178
10,57374,27934,8008,21432
11,57266,27950,7950,21366
12,57343,27935,7946,21462
13,57117,28038,7879,21200
14,57377,27847,7969,21561
15,56975,27997,7985,20993
16,57336,28083,7997,21256
17,57581,28070,7921,21590
18,57371,28179,7933,21259
19,57594,28395,7951,21248
20,57484,28245,7928,21311
21,57406,28427,7909,21070
22,57415,28435,7886,21094
23,57438,28431,7952,21055
24,57688,28541,7952,21195
25,57635,28303,7962,21370
26,57782,28849,7970,20963
27,57546,28774,7945,20827
28,57743,28283,7996,21464
29,57813,28215,7982,21616
30,57722,28454,7910,21358
31,57641,28516,7906,21219
32,57733,28493,7837,21403
33,57597,28423,7805,21369
34,57909,28693,7775,21441
35,57719,28558,7790,21371
36,57748,28448,7763,21537
37,57806,28905,7766,21135
38,57831,28577,7775,21479
39,58062,28722,7798,21542
40,57952,28985,7767,21200
41,58228,28267,7765,22196
42,58389,28822,7770,21797
43,58193,28393,7841,21959
44,58331,28684,7804,21843
45,58522,28742,7804,21976
46,58226,28910,7767,21549
47,58309,28921,7743,21645
48,58352,29110,7751,21491
49,58411,28694,7779,21938
50,58586,28907,7747,21932
51,58493,29165,7788,21540
52,58608,28841,7847,21920
53,58399,29012,7836,21551
54,58506,29081,7871,21554
55,58573,29109,7877,21587
56,58887,29032,7798,22057
57,58620,29152,7815,21653
58,59033,29104,7801,22128
59,58870,29072,7786,22012
60,58956,28926,7831,22199
61,59070,29254,7884,21932
62,59059,29244,7874,21941
63,58811,29022,7993,21796
64,59153,28945,7906,22302
65,59041,29499,7901,21641
66,59034,28994,7953,22087
67,59154,29008,7874,22272
68,59354,28884,7875,22595
69,59307,29268,7852,22187
70,59258,28820,7919,22519
71,59668,29417,7925,22326
72,59810,29430,7913,22467
73,59283,29450,7922,21911
74,59569,29226,7922,22421
75,59890,29432,8042,22416
76,59764,29345,7943,22476
77,59848,29777,7990,22081
78,59843,29450,8007,22386
79,59630,29340,8092,22198
80,59767,29528,8102,22137
81,59882,29604,8132,22146
82,60182,29719,8223,22240
83,60250,29768,8290,22192
84,60268,29747,8270,22251
85,60539,29811,8274,22454
86,60458,29811,8322,22325
87,60649,29975,8415,22259
88,60501,30139,8340,22022
