no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,54988,30064,9010,15914
2,54924,29432,9069,16423
3,55114,29226,9063,16825
4,55029,29396,9051,16582
5,55038,29408,9039,16591
6,54930,29461,9109,16360
7,55002,29350,9176,16476
8,54895,29533,9196,16166
9,54877,29158,9124,16595
10,54803,29180,9093,16530
11,54805,29343,9155,16307
12,54804,29148,9227,16429
13,54855,28912,9217,16726
14,54942,29272,9340,16330
15,55018,28967,9415,16636
16,54834,28896,9495,16443
17,54875,28715,9575,16585
18,54921,28872,9542,16507
19,54929,28571,9642,16716
20,54913,28651,9571,16691
21,54878,28575,9571,16732
22,54830,28364,9582,16884
23,54697,28571,9607,16519
24,54689,28705,9570,16414
25,54633,28204,9603,16826
26,54449,28059,9659,16731
27,54504,28466,9686,16352
28,54615,28096,9648,16871
29,54603,28002,9677,16924
30,54553,28204,9681,16668
31,54551,28206,9787,16558
32,54463,28289,9743,16431
33,54414,28226,9771,16417
34,54280,28226,9699,16355
35,54266,28281,9698,16287
36,54299,28106,9698,16495
37,54357,28151,9684,16522
38,54387,28136,9812,16439
39,54153,27903,9873,16377
40,54138,28029,9935,16174
41,54188,27446,9930,16812
42,54222,27803,9966,16453
43,54141,27827,9968,16346
44,54187,27664,9924,16599
45,54144,27921,9955,16268
46,53935,27676,9903,16356
47,54131,27277,9894,16960
48,53990,27351,9933,16706
49,54118,27915,9928,16275
50,53951,27422,9948,16581
51,54076,27588,9913,16575
52,53990,27650,9888,16452
53,54033,27569,9896,16568
54,54045,27650,9879,16516
55,54111,27548,9965,16598
56,54212,27410,9962,16840
57,54019,27550,10079,16390
58,54081,27666,10073,16342
59,53936,27451,10028,16457
60,54106,27651,10056,16399
61,54012,27536,10083,16393
62,54003,27059,10061,16883
63,54043,27149,10051,16843
64,53958,27465,10035,16458
65,54090,27393,10052,16645
66,54026,27254,10086,16686
67,54024,27625,10083,16316
68,54003,27495,10168,16340
69,54012,27512,10150,16350
70,53946,27322,10135,16489
71,54022,27179,10180,16663
72,53978,27452,10141,16385
73,54106,27322,10103,16681
74,54049,27278,10081,16690
75,53927,27014,10015,16898
76,53897,27175,9968,16754
77,53874,27383,10001,16490
78,53768,27063,10093,16612
79,53925,27118,10077,16730
80,53861,26956,10122,16783
81,53776,26806,10119,16851
82,53890,27027,10124,16739
83,53789,27250,10047,16492
84,53651,26949,10066,16636
85,53667,26764,10089,16814
86,53724,26825,10083,16816
87,53655,26582,10026,17047
88,53654,26860,10048,16746
89,53658,26752,10006,16900
90,53411,26985,10020,16406
91,53425,26604,9982,16839
92,53303,26580,10079,16644
93,53251,26122,10064,17065
94,53267,26286,10065,16916
95,53180,26419,10070,16691
96,53230,26171,10035,17024
97,53088,26523,9982,16583
98,53175,26102,9879,17194
99,52960,26191,9940,16829
100,53042,26151,9933,16958
101,52933,26170,9947,16816
102,52940,26259,9882,16799
103,52975,26116,9773,17086
104,52959,25914,9854,17191
105,52904,25953,9863,17088
106,52895,26014,9859,17022
107,52778,25896,9892,16990
108,52719,25890,9920,16909
109,52630,25816,9817,16997
110,52497,26023,9782,16692
111,52637,25671,9827,17139
112,52528,25707,9812,17009
113,52391,25403,9730,17258
114,52263,25602,9774,16887
115,52462,25435,9798,17229
116,52276,25417,9756,17103
117,52300,25641,9719,16940
118,52264,25296,9775,17193
119,52345,25607,9756,16982
120,52254,25389,9770,17095
121,52238,25452,9679,17107
122,52156,25513,9718,16925
123,52141,25538,9704,16899
124,52098,25427,9703,16968
125,52047,25550,9642,16855
126,52109,25491,9648,16970
127,52157,25456,9730,16971
128,52097,25601,9666,16830
129,52011,25227,9649,17135
130,51925,25521,9624,16780
131,51976,25368,9611,16997
132,51925,25141,9571,17213
133,51868,25386,9581,16901
134,51971,25471,9702,16798
135,51904,25243,9650,17011
136,52012,25122,9678,17212
137,51823,24610,9730,17483
138,51787,24822,9752,17213
139,51918,25003,9703,17212
140,51808,25099,9695,17014
141,51779,25047,9617,17115
142,51727,24924,9576,17227
143,51542,25015,9623,16904
144,51582,24931,9595,17056
145,51550,24929,9609,17012
146,51584,25031,9647,16906
147,51522,24819,9590,17113
148,51531,24959,9619,16953
149,51513,24807,9576,17130
150,51460,25037,9603,16820
151,51488,24748,9568,17172
152,51579,24746,9604,17229
153,51392,24760,9524,17108
154,51384,24793,9550,17041
155,51324,24307,9492,17525
156,51341,24506,9476,17359
