no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,56881,26915,8341,21625
2,56616,26477,8292,21847
3,56547,26822,8311,21414
4,56974,26414,8182,22378
5,56462,26329,8271,21862
6,56758,26453,8146,22159
7,56531,26724,8269,21538
8,56664,26440,8355,21869
9,56636,26164,8368,22104
10,56465,26358,8208,21899
11,56166,26194,8279,21693
12,56266,26201,8273,21792
13,56154,26261,8230,21663
14,56005,26144,8293,21568
15,55860,25965,8312,21583
16,55438,25851,8258,21329
17,55476,25839,8402,21235
18,55594,25718,8388,21488
19,55579,25655,8419,21505
20,55077,25602,8327,21148
21,54983,25720,8311,20952
22,55147,25579,8299,21269
23,54952,25425,8320,21207
24,54954,25522,8422,21010
25,54778,25506,8376,20896
26,54587,25545,8356,20686
27,54384,25437,8356,20591
28,54464,25144,8313,21007
29,54182,25168,8350,20664
30,54005,25178,8351,20476
31,53572,24927,8381,20264
32,53450,25002,8375,20073
33,53533,24897,8411,20225
34,53562,25016,8373,20173
35,53667,24891,8486,20290
36,53833,24921,8468,20444
37,53648,24866,8432,20350
38,53283,24865,8429,19989
39,53208,24851,8447,19910
40,52984,24756,8477,19751
41,52668,24702,8460,19506
42,52902,24450,8480,19972
43,52817,24299,8418,20100
44,52365,24266,8508,19591
45,52361,24453,8514,19394
46,52446,24177,8446,19823
47,52238,24532,8562,19144
48,52257,24226,8601,19430
49,52626,24215,8565,19846
50,52610,24102,8629,19879
51,52755,24051,8627,20077
52,51944,23942,8736,19266
53,52395,24075,8690,19630
54,52694,24210,8623,19861
55,52612,23984,8705,19923
56,52665,24024,8726,19915
57,52358,23880,8706,19772
58,52378,23708,8756,19914
59,52477,23812,8756,19909
60,52277,23802,8801,19674
61,51262,23722,8780,18760
62,52066,23578,8793,19695
63,51969,23472,8707,19790
64,51937,23742,8731,19464
65,51286,23732,8758,18796
66,51932,23683,8729,19520
67,51984,23565,8763,19656
68,51695,23638,8911,19146
69,51697,23439,8857,19401
70,51625,23368,8789,19468
71,50378,23390,8811,18177
72,51380,23399,8806,19175
73,50367,23272,8788,18307
74,50460,23271,8915,18274
75,50702,23180,8904,18618
76,51238,23172,8824,19242
77,51174,23266,8759,19149
78,50884,23228,8835,18821
79,50877,23208,8704,18965
80,50850,23374,8721,18755
81,50932,22962,8861,19109
82,50889,22993,8910,18986
83,51064,22995,8874,19195
84,50648,23008,8841,18799
85,50810,23076,8898,18836
86,50653,23185,8910,18558
87,50508,22822,8881,18805
88,50768,22780,8918,19070
89,50388,22963,8837,18588
90,50337,22990,8833,18514
91,49898,22916,8837,18145
92,50131,22742,8806,18583
93,50633,22661,8875,19097
94,49892,22677,8792,18423
95,50314,22824,8777,18713
96,50200,22557,8791,18852
97,50027,22544,8745,18738
98,50262,22342,8785,19135
99,50513,22383,8772,19358
100,50226,22383,8765,19078
