no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,51765,26247,9275,16243
2,52094,26462,9250,16382
3,52324,26675,9293,16356
4,52216,26769,9235,16212
5,52342,26919,9229,16194
6,52312,26474,9248,16590
7,52354,26982,9197,16175
8,52251,27021,9263,15967
9,52294,27313,9375,15606
10,52438,27013,9274,16151
11,52628,27372,9325,15931
12,52520,27362,9368,15790
13,52534,27545,9169,15820
14,52567,27473,9222,15872
15,52739,27581,9270,15888
16,52833,27458,9170,16205
17,52963,27374,9223,16366
18,52714,27437,9210,16067
19,53175,27541,9120,16514
20,53200,27395,9134,16671
21,53230,27769,9149,16312
22,53363,28128,9065,16170
23,53242,27953,9112,16177
24,53122,28162,9120,15840
25,53195,27778,9023,16394
26,53359,27912,8995,16452
27,53338,27959,8907,16472
28,53224,27959,8786,16479
29,53560,27971,9026,16563
30,53557,28035,8991,16531
31,53941,27825,8950,17166
32,53942,27798,8855,17289
33,54035,27810,8912,17313
34,53896,27986,8785,17125
35,54117,27603,8953,17561
36,53975,27976,8676,17323
37,54056,27995,8653,17408
38,53750,28145,8769,16836
39,54012,27633,8682,17697
40,54214,28307,8518,17389
41,53877,28127,8645,17105
42,53790,28154,8537,17099
43,53967,28283,8396,17288
44,53795,28145,8435,17215
45,54462,28632,8413,17417
46,54344,28457,8434,17453
47,54200,28775,8456,16969
48,54145,28429,8561,17155
49,54354,28463,8541,17350
50,54254,28635,8523,17096
51,54222,28423,8566,17233
52,54475,28258,8609,17608
53,54272,28624,8508,17140
54,54334,28470,8472,17392
55,54214,28455,8511,17248
56,54458,28594,8314,17550
57,54474,28536,8245,17693
58,54541,28640,8208,17693
59,54441,28822,8164,17455
60,54602,28942,8305,17355
61,54282,28634,8233,17415
62,54694,28720,8182,17792
63,54449,29018,8237,17194
64,54612,28725,8310,17577
65,54553,28781,8185,17587
66,54788,29158,8141,17489
67,54725,29188,8067,17470
68,54717,29318,8161,17238
69,54659,29071,8102,17486
70,54679,28883,8206,17590
71,54735,29050,8110,17575
