no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,63491,26727,16743,20021
2,63703,26951,16685,20067
3,63294,26884,16601,19809
4,63104,27208,16677,19219
5,63196,27466,16742,18988
6,63794,26870,16788,20136
7,63196,27007,16949,19240
8,63844,27154,16782,19908
9,64398,27467,16940,19991
10,64420,27010,16931,20479
11,64194,27250,16842,20102
12,64201,27306,17077,19818
13,64482,27236,17140,20106
14,64488,27450,17089,19949
15,64896,27730,17095,20071
16,64823,27916,17042,19865
17,64932,28040,17158,19734
18,65292,27692,17408,20192
19,65498,27742,17406,20350
20,65189,27672,17384,20133
21,65543,28006,17457,20080
22,65671,28177,17457,20037
23,65783,27918,17590,20275
24,65846,28388,17715,19743
25,66164,28460,17738,19966
26,67212,28341,17797,21074
27,66941,28601,17733,20607
28,66724,28539,18067,20118
29,67535,28806,18129,20600
30,67365,28457,18221,20687
31,67514,28566,18337,20611
32,67617,28797,18291,20529
33,67692,28997,18424,20271
34,68258,28899,18461,20898
35,68366,28955,18528,20883
36,68746,28899,18547,21300
37,68961,29380,18669,20912
38,68344,29223,18522,20599
39,68655,29458,18643,20554
40,68922,29719,18690,20513
41,68756,29817,18741,20198
42,69128,29920,18816,20392
43,69220,29764,18946,20510
44,69325,29787,19015,20523
45,69493,30058,18920,20515
46,69646,30036,19074,20536
47,69751,30585,19161,20005
48,70060,30145,19236,20679
49,70542,30241,19352,20949
50,70467,30560,19553,20354
51,70372,30296,19561,20515
52,70721,30602,19546,20573
53,71119,30453,19639,21027
54,70688,30749,19516,20423
55,71026,30673,19527,20826
56,70874,30486,19719,20669
57,71115,31087,19873,20155
58,71557,31347,19793,20417
59,71517,31399,20031,20087
60,71434,30897,19901,20636
61,71612,31375,19923,20314
62,71726,31123,20010,20593
63,71861,31101,20058,20702
64,71932,31567,19996,20369
65,72305,31803,20163,20339
66,72336,31520,20295,20521
67,72568,31468,20299,20801
68,72441,32278,20277,19886
69,72487,32018,20266,20203
70,72454,32264,20199,19991
71,72761,32151,20329,20281
72,72921,32267,20432,20222
73,73115,32346,20491,20278
74,73308,32118,20536,20654
75,73456,32564,20651,20241
76,73601,32660,20651,20290
77,73807,32531,20700,20576
78,73843,32679,20733,20431
79,73713,32824,20727,20162
80,73847,32688,20924,20235
81,74052,32993,20895,20164
82,74131,33298,20970,19863
83,74100,33276,21158,19666
84,74269,33489,21050,19730
85,74406,33310,21089,20007
86,74537,33334,21048,20155
87,74583,33065,21196,20322
88,74518,33338,21212,19968
89,74787,33403,21216,20168
90,74712,33327,21331,20054
91,74744,33534,21299,19911
92,74747,33281,21202,20264
93,74838,33631,21220,19987
94,74856,34015,21277,19564
95,75017,33754,21430,19833
96,75243,33799,21443,20001
97,75288,33646,21431,20211
98,75211,33428,21358,20425
99,75243,33764,21424,20055
100,75206,33754,21475,19977
101,75448,33801,21533,20114
102,75581,34063,21552,19966
103,75415,34138,21464,19813
104,75620,33983,21472,20165
105,75804,33751,21370,20683
106,75684,33947,21447,20290
107,75638,34219,21329,20090
108,75577,34222,21553,19802
109,75702,33260,21505,20937
110,75640,33584,21609,20447
111,75644,33552,21468,20624
112,75673,33669,21438,20566
113,76041,33674,21328,21039
114,75898,33657,21244,20997
115,75844,33691,21215,20938
116,75769,33386,21038,21345
117,75799,33165,21045,21589
118,75730,33288,21062,21380
119,75613,32930,21075,21608
120,75723,33095,21082,21546
121,75563,33259,20986,21318
122,75511,33210,21005,21296
123,75399,33267,21084,21048
124,75414,33495,20887,21032
125,75297,33259,20735,21303
126,75298,33689,20771,20838
127,75138,33175,20736,21227
128,74969,33272,20511,21186
129,75084,33420,20646,21018
130,74870,33209,20435,21226
131,74879,33016,20358,21505
132,74725,33130,20386,21209
133,74849,33370,20548,20931
134,74841,33215,20418,21208
135,74920,33023,20352,21545
136,74978,33203,20199,21576
137,75023,32848,20314,21861
138,74965,32773,20265,21927
139,74948,33030,20181,21737
140,74933,32923,20199,21811
141,75183,33077,20193,21913
142,75057,33084,20078,21895
143,74987,32892,20197,21898
144,74712,32786,20031,21895
145,74719,32600,20057,22062
146,74642,32659,19905,22078
147,74641,32397,19916,22328
148,74790,32433,20004,22353
149,74731,32446,19980,22305
150,74595,32480,20060,22055
