no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,54877,29383,13572,11922
2,54984,29242,13562,12180
3,54980,29319,13530,12131
4,54975,29407,13574,11994
5,55214,29570,13626,12018
6,54995,29445,13513,12037
7,55153,29391,13596,12166
8,55148,29378,13588,12182
9,55109,29473,13577,12059
10,55346,29289,13647,12410
11,55096,29417,13603,12076
12,55178,29459,13581,12138
13,55286,29664,13443,12179
14,55138,29296,13429,12413
15,55147,29616,13570,11961
16,54950,29474,13488,11988
17,55153,29327,13480,12346
18,54986,29500,13428,12058
19,55103,29192,13464,12447
20,55146,29335,13464,12347
21,55008,29364,13596,12048
22,55022,29476,13652,11894
23,54892,29169,13621,12102
24,54806,29289,13670,11847
25,54805,29140,13665,12000
26,54780,29131,13536,12113
27,54763,28723,13652,12388
28,54625,29155,13622,11848
29,54635,28841,13573,12221
30,54638,28897,13702,12039
31,54489,28461,13667,12361
32,54367,28607,13565,12195
33,54431,28695,13520,12216
34,54398,28483,13448,12467
35,54478,28717,13621,12140
36,54162,28791,13480,11891
37,54077,28408,13513,12156
38,53927,28383,13523,12021
39,53957,28461,13580,11916
40,53954,28359,13509,12086
41,54088,28465,13495,12128
42,53868,28141,13429,12298
43,53589,28078,13487,12024
44,53672,28079,13450,12143
45,53502,28267,13353,11882
46,53639,28321,13336,11982
47,53043,28229,13318,11496
48,53408,28237,13382,11789
49,53246,28082,13312,11852
50,53448,28124,13284,12040
51,53189,28202,13372,11615
52,53137,27961,13357,11819
53,53058,27867,13329,11862
54,52911,27843,13417,11651
55,52887,27863,13414,11610
56,52905,27716,13260,11929
57,52661,27434,13326,11901
58,52644,27584,13419,11641
59,52617,27552,13416,11649
60,52379,27891,13384,11104
61,52377,27590,13495,11292
62,52308,27784,13332,11192
63,52117,27360,13377,11380
64,52160,27654,13442,11064
65,52140,27662,13436,11042
66,52002,27581,13361,11060
67,51827,27393,13370,11064
68,51834,27076,13394,11364
69,51966,27192,13550,11224
70,52018,27508,13441,11069
71,51858,27351,13373,11134
72,52028,27202,13231,11595
73,51903,27344,13318,11241
74,51881,27529,13287,11065
75,51845,27305,13215,11325
76,51919,27346,13243,11330
77,51936,27781,13184,10971
78,51876,27675,13237,10964
79,51935,27789,13208,10938
80,51968,27574,13078,11316
81,51868,27533,13274,11061
82,52022,27838,13232,10952
83,51813,27571,13050,11192
84,51823,27895,13089,10839
85,51899,27664,13003,11232
86,51835,27748,13182,10905
87,51815,27802,13308,10705
88,51939,28123,13213,10603
89,51854,27644,13219,10991
90,51666,28018,13190,10458
91,51754,27795,13169,10790
92,51618,27995,13089,10534
93,51450,27856,13170,10424
94,51631,27619,13075,10937
95,51480,27636,13111,10733
96,51649,27758,13140,10751
97,51462,28455,13180,9827
98,51600,28051,13079,10470
99,51552,28139,13078,10335
100,51485,28278,13057,10150
101,51639,28069,13101,10469
102,51401,28045,13111,10245
103,51506,28346,13123,10037
104,51430,28281,12984,10165
105,51565,28060,12978,10527
106,51269,28224,12994,10051
107,51429,28343,13098,9988
108,51349,28320,13013,10016
109,51358,28192,12959,10207
110,51299,28119,13048,10132
111,51335,28137,12979,10219
112,51385,28090,13058,10237
113,51169,28061,12937,10171
114,51216,28397,12838,9981
115,51303,28109,12940,10254
116,51289,28127,12765,10397
117,51369,28247,12791,10331
118,51127,27790,12750,10587
119,51291,27839,12818,10634
120,51181,28000,12764,10417
121,51411,28082,12694,10635
122,51489,28045,12768,10676
123,51155,28351,12771,10033
124,51537,28249,12710,10578
125,51379,28126,12797,10456
126,51597,27908,12849,10840
127,51624,27764,12906,10954
128,51403,27847,12944,10612
129,51418,28088,12761,10569
130,51518,28185,12739,10594
131,51477,28070,12860,10547
132,51569,28031,12914,10624
133,51248,27715,12786,10747
134,51458,27650,12949,10859
135,51415,27899,12895,10621
136,51411,28200,13018,10193
137,51249,28160,12924,10165
138,51400,28000,12834,10566
139,51337,27642,12971,10724
140,51434,27574,12951,10909
141,51541,27659,12980,10902
142,51565,27827,13015,10723
143,51591,27695,13072,10824
144,51550,27786,13043,10721
145,51717,27897,13064,10756
146,51640,28064,13082,10494
147,51690,27819,12976,10895
148,51844,27656,13193,10995
149,51868,28118,13023,10727
150,51804,28274,13133,10397
151,51779,28166,13124,10489
152,51872,28184,13153,10535
153,52079,28333,13172,10574
154,52052,28263,13161,10628
155,52131,28356,13096,10679
156,52153,28586,13089,10478
157,52204,28446,13240,10518
158,52206,28590,13220,10396
159,52230,28510,13224,10496
160,52239,28593,13204,10442
161,52507,28407,13165,10935
162,52571,28273,13047,11251
163,52322,28369,13086,10867
164,52475,28331,13276,10868
165,52427,28513,13241,10673
166,52426,28571,13099,10756
167,52552,28926,13171,10455
168,52550,28649,13263,10638
169,52647,28600,13202,10845
170,52579,29080,13155,10344
171,52620,28761,13184,10675
172,52804,28872,13201,10731
173,52702,28716,13157,10829
174,52610,28860,13158,10592
175,52805,29023,13157,10625
176,52793,28990,13209,10594
177,52796,28897,13147,10752
178,52692,28874,13110,10708
179,52871,28547,13222,11102
180,52742,28663,13045,11034
181,52656,28754,13027,10875
182,52920,28821,13110,10989
183,52910,28709,13192,11009
184,52817,28675,13291,10851
185,52849,28648,13260,10941
186,52779,28456,13212,11111
187,52694,28810,13176,10708
188,52785,28793,13100,10892
189,52929,28819,13074,11036
190,52888,28859,13024,11005
191,52782,28978,13124,10680
192,52851,28698,13141,11012
193,52756,28753,13139,10864
194,52767,28822,13071,10874
195,52737,28566,12906,11265
196,52735,28568,12968,11199
197,52813,28440,13040,11333
198,52758,28473,13103,11182
199,52693,28062,13243,11388
200,52682,28150,13098,11434
201,52626,28219,13143,11264
202,52813,28224,12988,11601
203,52739,28095,12958,11686
204,52597,27914,13106,11577
205,52603,28094,12979,11530
206,52629,28171,12874,11584
207,52712,28207,12907,11598
208,52675,28018,12870,11787
209,52456,28219,12865,11372
210,52309,28357,12739,11213
211,52218,28130,12708,11380
212,52422,27821,12735,11866
213,52484,27961,12745,11778
214,52466,27888,12827,11751
215,52401,27574,12744,12083
216,52473,27734,12621,12118
217,52567,27922,12595,12050
