no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,59692,29378,8173,22141
2,59526,29401,8230,21895
3,59603,29441,8183,21979
4,59607,29523,8163,21921
5,59647,29502,8121,22024
6,59633,29394,8167,22072
7,59749,29315,8139,22295
8,59818,29373,8167,22278
9,59848,29364,8171,22313
10,59862,29485,8169,22208
11,59787,29527,8194,22066
12,59933,29537,8137,22259
13,59641,29498,8091,22052
14,59560,29542,8121,21897
15,59849,29472,8142,22235
16,59649,29586,8105,21958
17,59643,29480,8104,22059
18,59691,29546,8072,22073
19,59607,29337,8111,22159
20,59881,29359,8082,22440
21,59913,29265,8084,22564
22,60058,29478,8096,22484
23,60002,29476,8061,22465
24,60065,29691,8033,22341
25,59999,29525,8062,22412
26,60111,29686,8021,22404
27,60156,29757,7996,22403
28,60092,29904,8093,22095
29,60290,29712,8059,22519
30,60362,29611,8130,22621
31,60299,29711,8167,22421
32,60304,29802,8116,22386
33,60146,29629,8111,22406
34,60322,29542,8025,22755
35,60358,29563,7960,22835
36,60392,29594,7962,22836
37,60308,29698,7949,22661
38,60465,29696,7972,22797
39,60512,29932,7960,22620
40,60613,29674,7969,22970
41,60570,29752,8012,22806
42,60637,29860,7965,22812
43,60633,29877,7981,22775
44,60857,29722,8056,23079
45,60793,29605,8065,23123
46,60639,29782,7984,22873
47,60804,29674,7938,23192
48,60854,29849,7854,23151
49,60871,29844,7890,23137
50,60727,29977,7884,22866
51,60835,30083,7894,22858
52,60834,29774,7889,23171
53,60786,29761,7906,23119
54,60895,29861,7869,23165
55,60817,29760,7835,23222
56,61200,29903,7790,23507
57,61113,29995,7788,23330
58,61202,30030,7861,23311
59,61092,30119,7784,23189
60,61316,30139,7807,23370
61,61204,30150,7850,23204
62,61354,30211,7954,23189
63,61355,30284,7918,23153
64,61247,30422,7939,22886
65,61461,30345,7902,23214
66,61601,30466,7890,23245
67,61550,30603,7846,23101
68,61725,30285,7805,23635
69,61600,30489,7796,23315
70,61915,30554,7845,23516
71,61728,30667,7857,23204
72,61676,30743,7855,23078
73,61681,30791,7933,22957
74,61729,30707,7966,23056
75,61873,30614,7976,23283
76,61932,30648,8021,23263
77,61968,30639,8047,23282
78,62089,30697,8104,23288
79,62121,30774,8078,23269
80,62341,30663,8192,23486
81,62416,31076,8190,23150
82,62434,30787,8256,23391
83,62759,30804,8302,23653
84,62456,31010,8274,23172
85,62507,30883,8316,23308
86,62678,30944,8392,23342
87,62804,30854,8441,23509
88,62915,30885,8530,23500
89,62904,31065,8565,23274
90,62914,31231,8653,23030
91,63165,31301,8700,23164
92,63370,31236,8752,23382
93,63430,31271,8845,23314
94,63653,31144,8860,23649
95,63468,31068,8861,23539
96,63397,31209,9019,23169
97,63413,31200,9018,23195
98,63828,31299,9124,23405
99,63714,31165,9088,23461
100,63654,31332,9123,23199
101,63691,31215,9114,23362
102,63656,31289,9146,23221
103,63650,31143,9127,23380
104,63789,31340,9304,23145
105,64132,31392,9297,23443
106,64137,31258,9298,23581
107,63947,31156,9349,23442
108,63856,31444,9398,23014
109,63768,31296,9376,23096
110,63862,31337,9437,23088
111,63798,31383,9462,22953
112,63900,31531,9484,22885
113,63897,31317,9543,23037
114,64070,31491,9635,22944
115,64136,31579,9628,22929
116,64174,31210,9511,23453
117,64271,31249,9669,23353
118,64106,31319,9572,23215
119,64087,31463,9677,22947
120,64143,31298,9692,23153
121,64180,31208,9704,23268
122,64077,31305,9794,22978
123,64178,31330,9739,23109
124,64071,31152,9761,23158
125,64366,31302,9842,23222
126,64222,31194,9865,23163
127,64241,31097,9943,23201
128,64088,31166,10015,22907
129,64139,31299,9927,22913
130,64164,31320,9924,22920
131,64047,31387,9863,22797
132,64321,31281,9909,23131
133,64257,31251,9932,23074
134,64421,31430,10014,22977
135,64234,31415,9967,22852
136,64276,31440,10035,22801
137,64308,31395,9993,22920
138,64229,31550,10016,22663
139,64360,31357,10018,22985
140,64587,31467,10011,23109
141,64388,31584,10030,22774
142,64378,31675,10027,22676
143,64219,31940,9993,22286
144,64237,31566,10024,22647
145,64283,31683,10048,22552
146,64393,31945,10083,22365
147,64447,31652,10147,22648
148,64263,31790,10191,22282
149,64381,31916,10243,22222
150,64554,31891,10241,22422
151,64232,31965,10134,22133
152,64534,31920,10133,22481
153,64427,31926,10138,22363
154,64432,31936,10187,22309
155,64554,31983,10230,22341
156,64430,32051,10236,22143
157,64697,32093,10247,22357
158,64345,31959,10357,22029
159,64177,32114,10289,21774
160,64381,32045,10322,22014
161,64406,32231,10314,21861
162,64491,32164,10260,22067
163,64832,32187,10301,22344
164,64777,32238,10248,22291
165,64639,32107,10337,22195
166,64734,31952,10411,22371
167,64675,32128,10382,22165
168,64822,32190,10395,22237
169,65030,32290,10336,22404
170,65059,32287,10426,22346
171,64961,32276,10442,22243
172,65059,32285,10509,22265
173,65220,32295,10613,22312
174,65053,32235,10551,22267
175,65006,32409,10549,22048
176,64927,32248,10532,22147
177,65120,32279,10560,22281
178,65236,32169,10663,22404
179,65066,32243,10698,22125
180,65220,32355,10807,22058
181,65137,32469,10763,21905
182,65242,32404,10791,22047
183,65368,32336,10951,22081
184,65365,32208,10993,22164
185,65482,32676,11027,21779
186,65306,32399,11011,21896
187,65389,32615,11038,21736
188,65315,32461,11098,21756
189,65241,32369,11131,21741
190,65294,32515,11191,21588
191,65365,32461,11334,21570
192,65418,32367,11388,21663
193,65540,32414,11425,21701
194,65545,32560,11474,21511
195,65592,32577,11434,21581
196,65542,32277,11511,21754
197,65454,32491,11535,21428
198,65320,32593,11610,21117
199,65269,32242,11547,21480
200,65197,32582,11637,20978
201,65325,32538,11657,21130
202,65307,32498,11688,21121
203,65286,32416,11819,21051
204,65405,32363,11877,21165
205,65455,32327,11885,21243
206,65252,32165,11902,21185
207,65322,32313,11826,21183
208,65273,32403,11947,20923
209,65219,32317,11928,20974
210,65225,32160,12063,21002
211,65401,32584,12095,20722
212,65168,32421,12138,20609
213,65139,32104,12088,20947
214,65167,32110,12225,20832
215,65161,32098,12167,20896
216,65229,32163,12216,20850
217,65204,32216,12291,20697
218,65127,32078,12152,20897
219,65097,32107,12214,20776
220,65057,32020,12339,20698
221,64848,32062,12428,20358
222,65029,32088,12408,20533
223,64919,32231,12393,20295
224,64864,32010,12395,20459
225,64916,31996,12369,20551
226,64802,31879,12497,20426
227,64757,31903,12517,20337
228,64640,31755,12523,20362
229,64593,31841,12488,20264
230,64483,31702,12496,20285
231,64407,31781,12516,20110
232,64589,31719,12588,20282
233,64273,31817,12632,19824
234,64242,31710,12719,19813
235,64169,31607,12656,19906
236,64208,31554,12724,19930
237,64469,31534,12705,20230
