no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,52761,27390,12907,12464
2,52737,27535,12726,12476
3,52713,27453,12842,12418
4,52823,27462,12881,12480
5,52953,27719,12889,12345
6,53071,27504,12900,12667
7,53005,27261,13030,12714
8,52830,27772,12951,12107
9,52937,27734,12984,12219
10,52917,27491,12895,12531
11,52945,27798,12930,12217
12,53101,27864,12813,12424
13,52976,27749,12958,12269
14,53259,28055,12890,12314
15,53056,27711,12905,12440
16,52818,28147,12904,11767
17,52949,28254,12877,11818
18,53119,28035,12994,12090
19,53135,27923,13009,12203
20,53239,27621,13135,12483
21,53045,27816,13040,12189
22,53140,27863,13054,12223
23,53342,28242,13220,11880
24,52947,27979,13128,11840
25,53052,27960,13118,11974
26,53274,28275,13020,11979
27,52964,28233,13139,11592
28,52916,27827,12953,12136
29,53018,28234,13054,11730
30,53086,28291,13028,11767
31,52849,28111,13004,11734
32,53011,28134,12973,11904
33,52976,28078,13119,11779
34,52998,28166,12961,11871
35,52989,28424,12918,11647
36,53059,27970,12914,12175
37,52870,28161,12763,11946
38,52560,28442,12851,11267
39,52974,28193,12710,12071
40,52839,28095,12918,11826
41,52849,27855,12965,12029
42,52903,28167,12873,11863
43,52834,27942,12832,12060
44,52841,28014,12843,11984
45,52769,28129,12788,11852
46,52692,28137,12728,11827
47,52648,27882,12832,11934
48,52408,28240,12846,11322
49,52485,28270,12976,11239
50,52615,28051,12977,11587
51,52710,28061,13020,11629
52,52669,28203,13081,11385
53,52520,28335,12930,11255
54,52635,28101,12947,11587
55,52285,28192,12854,11239
56,52459,28123,12914,11422
57,52410,28160,12919,11331
58,52217,27873,12896,11448
59,52338,27748,12730,11860
60,52293,28072,12679,11542
61,52220,28169,12759,11292
62,52211,28138,12686,11387
63,52157,28387,12727,11043
64,52118,28230,12685,11203
65,52183,28125,12673,11385
66,51842,28235,12622,10985
67,52025,27882,12597,11546
68,51945,27886,12517,11542
69,51955,27776,12528,11651
70,51895,27703,12612,11580
71,51902,27982,12575,11345
72,51766,27754,12621,11391
73,51727,27815,12658,11254
74,51772,27720,12659,11393
75,51704,27489,12564,11651
76,51589,27451,12605,11533
77,51555,27151,12521,11883
78,51595,27328,12441,11826
79,51332,27236,12414,11682
80,51475,27460,12315,11700
81,51357,27266,12312,11779
82,51429,27426,12362,11641
83,51294,27149,12284,11861
84,51315,27176,12210,11929
85,51216,26844,12318,12054
86,51070,26695,12157,12218
87,51076,26812,12153,12111
88,50976,27230,12050,11696
89,50735,26738,12072,11925
90,50629,26729,12122,11778
91,50629,26726,12011,11892
92,50450,26832,11844,11774
93,50474,26722,11819,11933
94,50432,26565,11751,12116
95,50261,26570,11710,11981
96,50163,26254,11808,12101
97,50154,26253,11629,12272
98,50121,26082,11535,12504
99,50005,26003,11486,12516
100,50094,25998,11488,12608
101,50024,25890,11298,12836
102,49890,25666,11284,12940
103,50031,25723,11288,13020
104,49866,25880,11329,12657
105,49637,25960,11283,12394
106,49567,25843,11296,12428
107,49607,25934,11177,12496
108,49392,25572,11287,12533
109,49387,25437,11306,12644
110,49411,25433,11333,12645
111,49372,25361,11197,12814
112,49370,25354,11222,12794
113,48992,25315,11057,12620
114,48866,25269,11045,12552
115,49012,25111,10848,13053
116,48956,25132,10854,12970
117,49039,24932,10724,13383
118,48893,24962,10666,13265
119,48867,25111,10623,13133
120,48716,24964,10651,13101
121,48850,24956,10582,13312
122,48864,25052,10562,13250
123,48745,24999,10594,13152
124,48602,25246,10569,12787
125,48624,25029,10552,13043
126,48788,24938,10451,13399
127,48855,24706,10514,13635
128,48722,24611,10381,13730
129,48762,24847,10340,13575
130,48948,24664,10484,13800
131,48942,24795,10488,13659
132,48867,24754,10297,13816
133,48925,24786,10249,13890
134,49010,24879,10364,13767
135,49110,24878,10223,14009
136,48776,24641,10317,13818
137,48987,25127,10241,13619
138,48954,25024,10333,13597
139,48917,24917,10214,13786
140,49144,25304,10217,13623
141,48926,25465,10183,13278
142,49036,25241,10014,13781
143,48987,25095,10100,13792
144,49101,25256,10113,13732
145,49232,25078,10016,14138
146,49080,25447,10011,13622
147,49130,25253,10014,13863
148,49282,25155,10112,14015
149,49416,25434,10106,13876
150,49536,25749,10100,13687
151,49314,25518,10092,13704
152,49398,25453,9993,13952
153,49524,25355,9982,14187
154,49467,25755,9959,13753
155,49442,25573,10003,13866
156,49697,25605,10057,14035
157,49717,25688,9977,14052
158,49737,25966,9898,13873
159,49776,25735,10030,14011
160,49949,26173,10010,13766
161,50023,26365,10005,13653
162,49921,26425,9997,13499
163,49908,26490,9900,13518
164,49972,26388,9831,13753
165,50080,26481,9960,13639
166,50074,26257,9900,13917
167,50153,26329,9972,13852
168,50289,26112,9995,14182
169,50337,26270,10002,14065
170,50357,26509,10037,13811
171,50310,26620,10066,13624
172,50418,26612,10034,13772
173,50419,26649,9963,13807
174,50509,27043,10006,13460
175,50500,26765,9951,13784
176,50564,26665,9983,13916
177,50555,26903,10052,13600
178,50751,26746,9994,14011
179,50523,26655,10005,13863
180,50729,26947,9885,13897
181,50737,27085,9895,13757
182,50766,26947,9898,13921
183,50716,27233,9860,13623
184,50862,27183,9774,13905
185,50891,27282,9799,13810
186,50968,27279,9812,13877
187,51146,27105,9816,14225
188,51031,27637,9848,13546
189,51025,27199,9927,13899
190,50913,27130,9864,13919
191,51085,27378,9917,13790
192,51054,27447,9962,13645
193,51241,27364,9963,13914
194,51285,27534,10097,13654
195,51347,27839,10001,13507
196,51111,27645,10060,13406
197,51293,27852,10119,13322
198,51347,27992,10243,13112
199,51309,27692,10214,13403
200,51536,27825,10061,13650
201,51712,28134,10371,13207
202,51745,27922,10148,13675
203,51836,28273,10228,13335
204,51835,27904,10234,13697
205,51910,27924,10273,13713
206,51926,28045,10310,13571
207,51798,27996,10264,13538
208,51820,27955,10197,13668
209,51878,27963,10243,13672
210,51887,28211,10248,13428
211,52028,28264,10289,13475
212,52106,27941,10333,13832
213,52082,28097,10292,13693
214,52130,27854,10410,13866
215,52290,28216,10269,13805
216,52145,28673,10281,13191
217,52040,28134,10297,13609
218,52243,28152,10382,13709
219,52306,28283,10386,13637
220,52258,28593,10290,13375
221,52365,28583,10294,13488
222,52522,28328,10266,13928
223,52417,28474,10296,13647
224,52403,28376,10302,13725
225,52562,28686,10340,13536
226,52348,28133,10248,13967
227,52468,28386,10325,13757
228,52316,28278,10293,13745
229,52283,28218,10286,13779
230,52576,28290,10344,13942
231,52605,28158,10187,14260
232,52728,28275,10171,14282
233,52766,28402,10250,14114
234,52662,28450,10145,14067
235,52617,28380,10028,14209
236,52678,28177,10019,14482
237,52666,28618,10057,13991
238,52631,28047,10128,14456
239,52765,28242,10091,14432
240,52715,28234,10058,14423
241,52765,28011,10076,14678
242,52968,28213,10090,14665
243,52771,27952,9945,14874
244,52748,28172,10116,14460
245,52690,27954,9971,14765
246,52704,28093,9889,14722
247,52760,28261,9891,14608
248,52786,28442,9831,14513
249,52684,28323,9879,14482
250,52712,28033,9945,14734
251,52825,28255,9790,14780
252,52832,28070,9757,15005
253,52637,28364,9790,14483
254,52726,28030,9677,15019
255,52584,28256,9623,14705
256,52526,28087,9544,14895
257,52471,28280,9473,14718
258,52563,28342,9531,14690
259,52590,28160,9405,15025
260,52604,28476,9411,14717
261,52710,28077,9318,15315
262,52661,27751,9409,15501
263,52576,28075,9398,15103
264,52718,28298,9424,14996
265,52616,27973,9483,15160
266,52752,28093,9562,15097
267,52717,27926,9441,15350
268,52694,28072,9540,15082
269,52744,27990,9484,15270
270,52478,28148,9472,14858
271,52570,27958,9580,15032
272,52448,27828,9564,15056
273,52453,28029,9492,14932
274,52486,27823,9487,15176
275,52457,28004,9562,14891
276,52615,28125,9618,14872
277,52541,28169,9595,14777
278,52493,27876,9592,15025
279,52516,27713,9632,15171
280,52686,27569,9614,15503
281,52640,27853,9597,15190
282,52636,27748,9673,15215
283,52662,27954,9678,15030
284,52656,28113,9626,14917
285,52787,27781,9641,15365
286,52592,27624,9640,15328
287,52622,27865,9703,15054
288,52633,27706,9552,15375
289,52513,27909,9700,14904
290,52642,27542,9695,15405
291,52671,27466,9671,15534
292,52585,27409,9778,15398
293,52505,27272,9723,15510
294,52426,27320,9727,15379
295,52514,27391,9732,15391
296,52470,27474,9830,15166
297,52541,27402,9849,15290
298,52433,27550,9923,14960
299,52539,27406,9952,15181
300,52367,27323,9876,15168
301,52637,27315,9926,15396
302,52372,27304,9926,15142
303,52491,27418,10016,15057
304,52337,27151,9945,15241
305,52386,27439,9996,14951
306,52321,27322,10077,14922
307,52497,27119,9972,15406
308,52546,27068,10037,15441
309,52337,26945,10046,15346
310,52432,27069,10117,15246
311,52335,26856,10107,15372
312,52398,26840,10151,15407
313,52380,26860,10287,15233
314,52487,26512,10232,15743
315,52581,27097,10274,15210
316,52401,26890,10402,15109
317,52417,26589,10364,15464
318,52592,26737,10310,15545
319,52516,26959,10274,15283
320,52623,26912,10355,15356
321,52618,26921,10312,15385
322,52522,27277,10366,14879
323,52760,27154,10346,15260
324,52883,27120,10439,15324
325,52878,27008,10458,15412
326,53091,27085,10507,15499
327,53041,27074,10499,15468
328,53066,26897,10515,15654
329,53176,27042,10558,15576
330,53178,27139,10635,15404
331,53156,27366,10601,15189
332,53249,27340,10794,15115
333,53379,27328,10669,15382
334,53497,27310,10658,15529
335,53487,27225,10629,15633
336,53600,27109,10728,15763
337,53627,27328,10769,15530
338,53727,27312,10719,15696
339,53711,27427,10636,15648
340,53772,27439,10804,15529
341,53825,27423,10760,15642
342,53932,27508,10756,15668
343,54000,27412,10829,15759
344,53910,27435,10973,15502
345,54047,27844,10944,15259
346,54105,27618,11002,15485
347,54136,27244,11016,15876
348,54227,27549,10983,15695
349,54252,27737,11148,15367
350,54329,27739,11116,15474
351,54513,27956,11100,15457
352,54390,27645,11105,15640
353,54555,27656,11118,15781
354,54649,27775,11107,15767
355,54641,28026,11089,15526
356,54799,28082,11118,15599
357,54795,28158,11222,15415
358,54832,27944,11092,15796
359,54831,27897,11248,15686
360,54988,28253,11269,15466
361,54883,27934,11282,15667
362,55089,27664,11316,16109
363,55272,28217,11399,15656
364,55189,28089,11314,15786
365,55275,28038,11279,15958
366,55224,27878,11460,15886
367,55416,27885,11534,15997
368,55458,27926,11569,15963
369,55511,27710,11444,16357
370,55522,27828,11529,16165
371,55754,28125,11685,15944
372,55741,27680,11638,16423
373,55836,28011,11619,16206
374,56037,27903,11729,16405
375,56087,27762,11762,16563
376,56213,27911,11828,16474
377,56281,27756,11862,16663
378,56243,28192,11823,16228
379,56440,27952,11830,16658
380,56436,27811,11911,16714
381,56364,28075,12005,16284
382,56566,28115,12024,16427
383,56745,28434,12217,16094
384,56692,28116,12231,16345
385,56810,27762,12262,16786
386,56730,28213,12278,16239
387,56720,28077,12437,16206
388,56784,27861,12422,16501
389,56856,27981,12475,16400
390,56843,28524,12600,15719
391,56971,28472,12623,15876
392,56940,28300,12618,16022
393,57107,28234,12685,16188
394,57076,28314,12629,16133
395,57112,28014,12686,16412
396,57413,28475,12673,16265
397,57293,28286,12780,16227
398,57208,28494,12795,15919
399,57360,28107,12856,16397
400,57467,28233,12981,16253
401,57467,27837,12854,16776
402,57425,28078,12845,16502
403,57480,28021,12993,16466
404,57447,28182,13014,16251
405,57584,28097,12981,16506
406,57559,28094,13074,16391
407,57550,28191,13063,16296
408,57662,28286,12968,16408
409,57712,28083,13064,16565
410,57668,27874,12980,16814
411,57693,28152,13066,16475
412,57747,28220,13015,16512
413,57655,28271,13118,16266
414,57633,27968,13117,16548
415,57564,28020,13103,16441
416,57723,27856,13069,16798
417,57822,27929,13128,16765
418,57766,28181,13147,16438
419,57619,28136,13187,16296
420,57590,28067,13248,16275
421,57775,27987,13230,16558
422,57771,27913,13189,16669
423,57841,28104,13018,16719
424,57796,27792,13014,16990
425,57643,28261,13087,16295
426,57708,28008,13059,16641
427,57736,28032,13050,16654
428,57672,27861,13004,16807
429,57613,27845,13144,16624
430,57679,27790,12923,16966
431,57623,27829,12897,16897
432,57576,27228,13159,17189
433,57622,27541,13142,16939
434,57475,27654,13033,16788
435,57456,27163,13027,17266
436,57389,27081,12990,17318
437,57376,27795,12920,16661
438,57356,27451,12723,17182
439,57362,27252,12809,17301
440,57438,27094,12854,17490
441,57278,27066,12831,17381
442,57278,27286,12893,17099
443,57266,27024,12944,17298
444,57200,26892,12995,17313
445,57145,26885,12799,17461
446,57112,27074,12789,17249
447,56969,26635,12622,17712
448,56866,27192,12705,16969
449,56779,26710,12550,17519
450,56689,26940,12656,17093
451,56510,26888,12744,16878
452,56456,26690,12682,17084
453,56271,26613,12642,17016
454,56283,26735,12570,16978
455,56334,26670,12564,17100
456,56202,26492,12527,17183
457,56212,26436,12676,17100
458,56163,26580,12665,16918
459,56110,26246,12595,17269
460,56099,26221,12497,17381
461,55964,26011,12520,17433
462,55828,26127,12513,17188
463,55720,25757,12487,17476
464,55639,25758,12301,17580
465,55659,25724,12163,17772
466,55508,25836,12117,17555
467,55368,25646,12261,17461
468,55122,25251,12037,17834
469,55238,25491,11955,17792
470,54986,25240,11924,17822
471,54892,25111,11809,17972
472,54927,25336,11815,17776
473,54587,25279,11642,17666
474,54664,24917,11661,18086
475,54680,25084,11676,17920
476,54588,24700,11569,18319
477,54361,25293,11536,17532
478,54391,24903,11552,17936
479,54314,24827,11562,17925
480,54304,25032,11628,17644
481,54351,25017,11567,17767
482,54300,24843,11520,17937
483,54143,25027,11654,17462
484,54159,24879,11661,17619
485,54060,24538,11656,17866
486,54025,24501,11855,17669
487,54114,23989,11863,18262
488,54051,24053,11843,18155
489,54022,24023,11775,18224
490,54052,24041,11911,18100
491,54029,24138,11873,18018
492,53966,24120,11660,18186
493,53814,24202,11682,17930
494,53735,23786,11659,18290
495,53701,24100,11799,17802
496,53489,24377,11791,17321
497,53643,23635,11823,18185
498,53555,23947,11833,17775
499,53549,23651,11837,18061
500,53541,23810,11825,17906
501,53390,23832,11681,17877
502,53403,23864,11756,17783
503,53282,23539,11764,17979
504,53418,23765,11763,17890
505,53463,23727,11970,17766
506,53516,23762,11947,17807
507,53447,23898,11994,17555
508,53319,23624,11920,17775
509,53313,23976,11854,17483
510,53430,23854,11902,17674
511,53453,24212,11857,17384
512,53281,23956,11988,17337
513,53471,24065,11989,17417
514,53392,23816,12094,17482
515,53413,23516,12007,17890
516,53375,23800,12073,17502
517,53422,23284,12084,18054
518,53358,23730,12042,17586
519,53424,23966,11962,17496
520,53376,24038,12051,17287
521,53669,24108,12117,17444
522,53548,24391,12140,17017
523,53348,24210,12323,16815
524,53576,23954,12442,17180
525,53613,24026,12563,17024
526,53808,23780,12630,17398
527,54059,24333,12910,16816
528,54022,24472,12925,16625
529,53787,24462,12858,16467
530,53948,24573,12781,16594
531,53955,24548,12854,16553
532,54109,24653,12947,16509
533,54154,24444,13070,16640
534,54234,24926,12994,16314
535,54204,24580,13257,16367
536,54261,24852,13354,16055
537,54326,24877,13375,16074
538,54238,24961,13395,15882
539,54346,25103,13311,15932
540,54549,25370,13433,15746
541,54586,25353,13446,15787
542,54606,25246,13425,15935
543,54758,25701,13480,15577
544,54805,26069,13545,15191
545,54897,26002,13543,15352
546,54878,25860,13547,15471
547,55011,26085,13666,15260
548,54981,25893,13640,15448
549,55190,26476,13621,15093
550,55219,26344,13874,15001
551,55339,26469,13800,15070
552,55419,26552,13883,14984
553,55416,26828,13779,14809
554,55551,27067,13891,14593
555,55737,26977,13692,15068
556,55762,26922,13834,15006
557,55719,27004,13773,14942
558,55675,27071,13894,14710
559,55545,27071,14002,14472
560,55850,26937,14034,14879
561,55830,27045,14146,14639
562,55933,27586,14001,14346
563,55884,27215,13907,14762
564,55841,27077,13953,14811
565,55964,27632,13950,14382
566,55934,27378,13856,14700
567,55940,27558,13981,14401
568,56190,27372,14062,14756
569,56112,27380,14025,14707
570,56058,27766,14104,14188
571,56023,27604,14113,14306
572,56122,27986,14118,14018
573,56132,27671,14002,14459
574,56208,27804,14016,14388
575,56165,27816,13977,14372
576,56201,27948,13992,14261
577,56283,27684,14020,14579
578,56081,27901,14025,14155
579,56163,27522,14013,14628
580,56143,28026,13905,14212
581,56304,28104,13961,14239
582,56174,28081,13939,14154
583,56048,27861,13846,14341
584,56167,28288,13810,14069
585,56080,27993,13899,14188
586,55967,28025,13935,14007
587,55932,28141,13883,13908
588,55888,27482,13988,14418
589,55916,27749,13967,14200
590,55835,27594,13941,14300
591,56090,28084,13995,14011
592,56019,27721,14050,14248
593,55934,27578,14031,14325
594,55961,27566,13873,14522
595,56032,27496,13974,14562
596,55871,27263,14016,14592
597,55883,27744,13941,14198
598,55742,27605,13941,14196
599,55905,27297,13850,14758
600,55771,27798,13818,14155
