no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,54488,24272,10792,19424
2,54622,24357,10764,19501
3,54573,24294,10682,19597
4,54332,24319,10636,19377
5,54386,24395,10677,19314
6,54567,24261,10694,19612
7,54636,24158,10857,19621
8,54430,24360,10842,19228
9,54677,24365,10884,19428
10,54762,24533,10856,19373
11,54769,24351,10796,19622
12,54716,24369,10806,19541
13,54750,24700,10835,19215
14,55009,24722,10825,19462
15,55026,24495,10855,19676
16,54948,24581,10864,19503
17,54950,24744,11035,19171
18,55247,24779,10857,19611
19,55447,24825,11020,19602
20,55698,25043,11033,19622
21,55652,25013,11211,19428
22,55336,25128,11471,18737
23,55366,24927,11451,18988
24,55965,25046,11556,19363
25,55946,25188,11726,19032
26,56155,25192,11922,19041
27,56145,25168,12061,18916
28,56168,25344,11835,18989
29,56330,25360,12081,18889
30,56567,25275,12183,19109
31,56626,25461,12291,18874
32,56691,25461,12499,18731
33,56559,25693,12458,18408
34,56813,25965,12344,18504
35,56628,25930,12441,18257
36,56582,25997,12548,18037
37,57095,25911,12377,18807
38,56653,25990,12411,18252
39,56838,25962,12412,18464
40,56936,26202,12544,18190
41,57113,25996,12605,18512
42,56856,26210,12633,18013
43,56951,26019,12538,18394
44,57080,26482,12567,18031
45,57436,26543,12468,18425
46,57414,26586,12497,18331
47,57551,26518,12589,18444
48,57886,26662,12720,18504
49,57861,26729,12938,18194
50,58051,26991,12865,18195
51,57770,26773,12821,18176
52,57873,26866,12950,18057
53,58028,26614,13094,18320
54,58181,26897,12937,18347
55,58213,26912,12996,18305
56,58012,27053,12996,17963
57,58338,27335,12927,18076
58,58413,27228,13013,18172
59,58529,27258,12995,18276
60,58639,27489,12899,18251
61,58415,27389,12977,18049
62,58436,27731,12930,17775
63,58111,27908,13047,17156
64,58344,27958,13020,17366
65,58349,27818,13022,17509
66,58619,27890,13153,17576
67,58435,27858,13076,17501
68,58544,27871,13006,17667
69,58518,28045,13045,17428
70,58429,28254,13068,17107
71,58664,27866,13122,17676
72,58699,28217,13260,17222
73,58694,28084,13116,17494
74,58833,28097,13262,17474
75,58570,28415,13065,17090
76,58751,28445,13287,17019
77,58731,28196,13111,17424
78,58505,28190,13216,17099
79,58900,28493,13223,17184
80,59142,28503,13212,17427
81,59073,28668,13299,17106
82,59010,28427,13205,17378
83,58893,28864,13186,16843
84,58818,28662,13227,16929
85,59098,28927,13367,16804
86,59030,28554,13234,17242
87,58975,28709,13236,17030
88,58933,28699,13236,16998
89,59071,28583,13223,17265
90,58834,28777,13233,16824
91,59117,28905,13297,16915
92,59152,28940,13231,16981
93,59174,28872,13167,17135
94,59268,28854,13161,17253
95,59134,28551,13135,17448
96,59097,28538,13315,17244
97,59187,28919,13226,17042
98,59116,28912,13247,16957
99,58788,29024,13246,16518
100,58682,28786,13213,16683
101,58668,28574,13258,16836
102,58883,28653,13193,17037
103,58887,28801,13230,16856
104,58988,28482,13124,17382
105,58753,28559,13310,16884
106,58737,28628,13123,16986
107,58462,28525,13230,16707
108,58382,28586,13253,16543
109,58630,28533,13286,16811
110,58890,28286,13279,17325
111,58182,28501,13234,16447
112,58324,28597,13126,16601
113,58672,28224,13073,17375
114,58266,28358,13249,16659
115,58211,28216,13142,16853
116,57909,28123,13196,16590
117,58161,28374,13061,16726
118,58172,28111,13139,16922
119,57695,28006,13156,16533
120,57768,27874,13056,16838
121,57980,27827,12981,17172
122,57832,27914,12953,16965
123,57887,27848,13042,16997
124,57792,27867,13028,16897
125,57532,27829,12954,16749
126,57555,27963,12894,16698
127,57319,27708,12933,16678
128,57579,27591,12908,17080
129,57505,27550,12898,17057
130,57590,27448,12817,17325
131,57663,27173,12883,17607
132,57276,27206,12899,17171
133,57303,26989,12841,17473
134,57314,26608,12939,17767
135,56914,26441,12971,17502
136,56954,26590,12920,17444
137,56998,26699,12933,17366
138,56883,26321,12959,17603
139,56386,26428,12907,17051
140,56511,26411,12728,17372
141,56390,25799,12756,17835
142,56097,25854,12628,17615
143,56046,26050,12608,17388
144,55982,25907,12561,17514
145,56177,25739,12586,17852
146,56016,25645,12457,17914
147,55872,25118,12409,18345
148,55954,25137,12494,18323
149,55593,24994,12400,18199
150,55615,24932,12211,18472
151,55490,25139,12156,18195
152,55478,25109,12086,18283
153,55270,24913,11923,18434
154,55221,24613,11877,18731
155,55187,24732,11904,18551
156,55123,24816,11883,18424
157,54944,24609,11874,18461
158,55075,24439,11890,18746
159,55046,24182,11864,19000
160,55111,23975,11962,19174
161,55025,24278,11872,18875
162,54629,23860,12052,18717
163,55033,23983,11913,19137
164,55031,23567,12106,19358
165,54965,23534,11977,19454
166,54868,23478,11932,19458
167,54898,23158,11987,19753
168,54746,23182,11907,19657
169,54887,23437,12042,19408
170,54825,23565,11965,19295
171,54903,23257,12027,19619
172,54767,23173,12152,19442
173,55271,23411,12088,19772
174,54649,23310,12327,19012
175,54913,23081,12154,19678
176,54903,23037,12225,19641
177,55040,23246,12313,19481
178,54986,22947,12362,19677
179,55110,23120,12399,19591
180,55002,23275,12575,19152
181,55149,23006,12525,19618
182,55141,23070,12737,19334
183,55175,22972,12749,19454
184,55077,23058,12821,19198
185,55338,23079,12852,19407
186,55250,22981,12958,19311
187,55490,22939,12787,19764
188,55355,23164,12994,19197
189,55417,22859,13011,19547
190,55459,22854,13100,19505
191,55305,22716,13062,19527
192,55486,22738,13090,19658
193,55563,22927,13188,19448
194,55752,22720,13124,19908
195,55745,22558,13237,19950
196,55730,22671,13355,19704
197,55761,22934,13402,19425
198,56092,22916,13393,19783
199,55926,22802,13492,19632
200,55721,22836,13659,19226
201,56029,22614,13513,19902
202,55780,22943,13473,19364
203,55785,22914,13508,19363
204,55867,22694,13522,19651
205,55781,22772,13613,19396
206,55786,23021,13569,19196
207,55902,22651,13504,19747
208,56019,22800,13538,19681
209,56070,22776,13675,19619
210,56220,22895,13757,19568
211,56152,22930,13717,19505
212,56307,22888,13748,19671
213,56189,22913,13747,19529
214,56226,22804,13773,19649
215,56367,22839,13787,19741
216,56089,22764,13605,19720
217,56258,22821,13686,19751
218,56094,22778,13729,19587
219,56181,22683,13758,19740
220,56552,22565,13791,20196
221,56335,22942,13859,19534
222,56355,22769,13848,19738
223,56612,22848,13827,19937
224,56288,22642,13930,19716
225,56548,22759,13921,19868
226,56594,22460,14039,20095
227,56548,22716,13822,20010
228,56705,22644,13872,20189
229,56485,22613,13656,20216
230,56708,22644,13744,20320
231,56702,22528,13850,20324
232,56635,22870,13833,19932
233,56830,22425,13997,20408
234,56784,22777,13919,20088
235,56917,22599,13970,20348
236,56943,22699,13971,20273
237,56815,22603,14047,20165
238,56780,22757,14053,19970
239,56818,22599,14031,20188
240,56897,22792,14010,20095
241,57084,22539,14215,20330
242,57135,22489,14180,20466
243,57079,22507,14189,20383
244,57243,22685,14165,20393
245,57080,22658,14135,20287
246,57143,22325,14200,20618
247,56848,22537,14092,20219
248,56864,22304,14156,20404
249,56902,22303,14277,20322
250,57022,22318,14300,20404
251,57084,22252,14336,20496
252,57059,22053,14388,20618
253,57099,22141,14428,20530
254,56966,22040,14390,20536
255,56779,21912,14342,20525
256,56794,21932,14435,20427
257,56887,22099,14384,20404
258,56830,21997,14346,20487
259,57029,21942,14398,20689
260,56978,21973,14372,20633
261,57088,21943,14460,20685
262,56991,21855,14437,20699
263,56658,21690,14425,20543
264,56988,21548,14372,21068
265,56590,21889,14365,20336
266,56949,21456,14302,21191
267,56776,21508,14425,20843
268,56845,21365,14435,21045
269,57067,21308,14474,21285
270,56961,21225,14525,21211
271,56715,21176,14428,21111
272,56756,21120,14482,21154
273,56637,21000,14400,21237
274,56549,21234,14470,20845
275,56769,20934,14415,21420
276,56735,20848,14465,21422
277,56753,20803,14452,21498
