no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,62992,29960,15391,17641
2,62957,29910,15430,17617
3,63021,30062,15442,17517
4,63060,30048,15332,17680
5,62984,29826,15302,17856
6,62877,29950,15239,17688
7,62867,29662,15186,18019
8,62883,29733,15258,17892
9,62761,29576,15248,17937
10,62706,29563,15251,17892
11,62899,29698,15271,17930
12,62696,29737,15284,17675
13,62712,29651,15216,17845
14,62592,29573,15122,17897
15,62712,29429,15191,18092
16,62717,29667,15266,17784
17,62774,29771,15169,17834
18,62762,29495,15205,18062
19,62623,29434,15207,17982
20,62649,29589,15295,17765
21,62453,29451,15195,17807
22,62597,29501,15204,17892
23,62392,29526,15028,17838
24,62397,29506,14982,17909
25,62220,29519,15077,17624
26,62258,29652,14947,17659
27,62235,29270,14963,18002
28,62077,29415,14803,17859
29,61996,29462,14796,17738
30,61741,29421,14875,17445
31,61810,29222,14788,17800
32,61823,29079,14804,17940
33,61724,29220,14840,17664
34,61737,28864,14783,18090
35,61882,28824,14742,18316
36,61352,29299,14701,17352
37,61706,29044,14714,17948
38,61487,29182,14749,17556
39,61387,28982,14697,17708
40,61288,28811,14518,17959
41,61267,28621,14519,18127
42,61150,29001,14484,17665
43,61225,28687,14550,17988
44,60975,28622,14421,17932
45,60705,28367,14393,17945
46,60531,28231,14229,18071
47,60414,28603,14321,17490
48,60401,28595,14294,17512
49,60365,28458,14209,17698
50,60359,28408,14199,17752
51,60051,28611,14123,17317
52,59959,28418,14098,17443
53,59857,28005,13971,17881
54,59769,28181,13973,17615
55,59720,27913,13879,17928
56,59723,27895,13872,17956
57,59623,28022,13775,17826
58,59453,27925,13717,17811
59,59230,28017,13621,17592
60,59340,27941,13583,17816
61,59189,27913,13494,17782
62,58960,27937,13353,17670
63,58885,28041,13352,17492
64,58936,27884,13400,17652
65,58808,27902,13410,17496
66,58766,27688,13308,17770
67,58587,27920,13057,17610
68,58460,27950,13012,17498
69,58502,27679,12968,17855
70,58111,27427,12932,17752
71,58292,27449,12912,17931
72,58068,27593,12783,17692
73,57972,27338,12747,17887
74,57891,27467,12668,17756
75,57735,27410,12584,17741
76,57775,27268,12569,17938
77,57695,27315,12538,17842
78,57691,27579,12438,17674
79,57779,27454,12447,17878
80,57906,27717,12446,17743
81,57653,27624,12387,17642
82,57791,27650,12316,17825
83,57887,27529,12265,18093
84,57831,27845,12247,17739
85,57850,27738,12217,17895
86,57838,27483,12223,18132
87,57837,27841,12169,17827
88,57942,27991,12219,17732
89,58062,28160,12230,17672
90,57930,28078,12356,17496
91,57946,27985,12379,17582
92,58084,28054,12328,17702
93,58018,28487,12385,17146
94,58389,28105,12373,17911
95,58253,28214,12355,17684
96,58258,28318,12466,17474
97,58404,28487,12502,17415
98,58554,28321,12616,17617
99,58360,28431,12663,17266
100,58578,28629,12888,17061
101,58709,28574,12901,17234
102,58855,28791,13034,17030
103,58825,29181,13058,16586
104,58954,29289,13238,16427
105,59000,29057,13172,16771
106,59100,29115,13290,16695
107,58959,29106,13381,16472
108,59143,29115,13437,16591
109,59214,29203,13461,16550
110,59272,29189,13428,16655
111,59227,29054,13474,16699
112,59355,29235,13535,16585
113,59635,29353,13586,16696
114,59767,29148,13695,16924
115,59792,29356,13894,16542
116,59882,29228,13874,16780
117,59886,29593,14059,16234
