no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,46832,17060,9093,20679
2,46935,16882,9072,20981
3,46963,16955,9089,20919
4,46558,16610,9098,20850
5,46917,16837,9022,21058
6,46919,16618,9003,21298
7,46718,16652,9020,21046
8,47017,16334,8960,21723
9,46841,16246,9032,21563
10,47025,16312,8806,21907
11,46667,16273,8850,21544
12,46633,16120,8852,21661
13,46756,16312,8772,21672
14,46625,15944,8813,21868
15,46766,15799,8661,22306
16,46838,15706,8666,22466
17,47034,15653,8740,22641
18,46928,15452,8669,22807
19,47000,15447,8666,22887
20,46958,15237,8652,23069
21,46986,15326,8615,23045
22,47001,15257,8732,23012
23,46798,15254,8657,22887
24,46810,15177,8761,22872
25,46576,15040,8726,22810
26,46545,14719,8721,23105
27,46765,14730,8718,23317
28,46670,14780,8681,23209
29,46802,14555,8755,23492
30,46641,14549,8786,23306
31,46452,14295,8777,23380
32,46062,14626,8776,22660
33,46197,14449,8748,23000
34,46354,14014,8753,23587
35,46302,14093,8706,23503
36,46283,14012,8765,23506
37,45945,13972,8763,23210
38,45854,13811,8806,23237
39,46002,13799,8868,23335
40,45629,13660,8918,23051
41,46114,13809,8805,23500
42,46004,13450,8876,23678
43,46197,13417,9007,23773
44,46099,13211,8968,23920
45,45909,13136,9133,23640
46,46004,13207,9098,23699
47,45884,12972,9137,23775
48,46019,12836,9063,24120
49,45700,12573,9103,24024
50,45911,12548,9056,24307
51,45621,12440,9051,24130
52,45870,12689,9081,24100
53,45680,12329,9204,24147
54,45067,12450,9158,23459
55,44990,12283,9203,23504
56,44852,12215,9302,23335
57,45218,12025,9324,23869
58,45077,11967,9256,23854
59,44935,11754,9234,23947
60,44892,11608,9155,24129
61,45063,11635,9211,24217
62,45216,11572,9294,24350
63,44990,11590,9314,24086
64,44729,11209,9361,24159
65,44818,11182,9389,24247
66,44846,11314,9344,24188
67,44519,10914,9367,24238
68,44471,10869,9241,24361
69,44712,10830,9296,24586
70,44270,10661,9235,24374
71,44245,10836,9258,24151
72,44537,10826,9295,24416
73,44626,10511,9223,24892
74,44543,10452,9343,24748
75,44618,10399,9307,24912
76,44601,10169,9309,25123
77,44452,10256,9263,24933
78,44673,10138,9295,25240
79,44132,10106,9352,24674
80,44370,10071,9326,24973
81,44126,10174,9290,24662
82,44176,9943,9288,24945
83,44730,10103,9245,25382
84,44600,10171,9273,25156
85,44436,10243,9300,24893
86,44471,9971,9377,25123
87,44528,10008,9411,25109
88,44789,9840,9394,25555
89,44805,9665,9433,25707
90,44707,9678,9395,25634
91,44644,9797,9327,25520
92,44826,9775,9395,25656
93,44544,10109,9470,24965
94,44695,9960,9438,25297
95,44733,10073,9416,25244
96,45026,9935,9406,25685
97,44673,10089,9460,25124
98,44929,10204,9439,25286
99,44976,9919,9478,25579
100,44719,10016,9537,25166
101,44837,9878,9535,25424
102,44834,9975,9488,25371
103,44836,9803,9503,25530
104,45064,9770,9598,25696
105,45197,9824,9533,25840
106,45129,9942,9558,25629
107,45187,9920,9440,25827
108,45274,10091,9599,25584
109,44984,9927,9650,25407
110,45204,9969,9629,25606
111,45060,10013,9627,25420
112,45265,9974,9749,25542
113,45375,9912,9658,25805
114,44685,10402,9755,24528
115,45125,10039,9664,25422
116,45054,10094,9635,25325
117,45166,10060,9631,25475
118,45196,10146,9709,25341
119,45529,10480,9699,25350
120,45290,9952,9761,25577
121,45199,10153,9818,25228
122,45484,10433,9744,25307
123,45630,10207,9712,25711
124,45535,10291,9768,25476
125,45850,10197,9877,25776
126,45918,10318,9889,25711
127,45797,10448,9909,25440
128,45708,10873,9923,24912
129,45711,10744,9820,25147
130,45842,10520,9974,25348
131,46143,10604,9987,25552
132,46016,10663,9974,25379
133,46219,10770,10070,25379
134,46156,10688,10037,25431
135,46074,10659,9996,25419
136,46187,10852,9964,25371
137,46138,10834,10045,25259
138,46215,11065,10114,25036
139,46344,11118,10216,25010
140,46188,11285,10167,24736
141,46518,10934,10167,25417
142,46410,11138,10183,25089
143,46662,11351,10177,25134
144,46395,11339,10112,24944
145,46385,11349,10236,24800
146,46516,11537,10195,24784
147,46458,11618,10232,24608
148,46505,11783,10176,24546
149,46220,11715,10146,24359
150,46654,11729,10209,24716
151,46629,11883,10218,24528
152,46767,11914,10240,24613
153,46955,11949,10189,24817
154,46604,11844,10206,24554
155,46655,12072,10292,24291
156,46800,12059,10274,24467
157,46981,12247,10270,24464
158,46524,12346,10241,23937
159,46647,12498,10348,23801
160,46448,12393,10380,23675
161,46491,12545,10374,23572
162,46765,12636,10385,23744
163,46737,12749,10309,23679
164,47021,12635,10349,24037
165,46866,12806,10332,23728
166,46676,13064,10353,23259
167,46646,12943,10396,23307
168,46595,12856,10338,23401
169,46597,13026,10295,23276
170,46882,13161,10287,23434
171,46921,13134,10268,23519
172,46739,13041,10388,23310
173,46478,13046,10385,23047
174,46570,13138,10352,23080
175,46271,13500,10241,22530
176,46667,13482,10350,22835
177,46561,13272,10247,23042
178,46576,13372,10328,22876
179,46541,13599,10358,22584
180,46031,13765,10362,21904
181,46399,13394,10292,22713
182,46657,13564,10318,22775
183,46355,13494,10266,22595
184,46276,13575,10261,22440
185,45756,13739,10221,21796
186,45961,14076,10358,21527
187,45948,13960,10391,21597
188,45774,14019,10293,21462
189,45925,14338,10283,21304
190,45709,13985,10236,21488
191,45841,14026,10341,21474
192,45760,14215,10324,21221
193,45677,14149,10342,21186
194,45817,14220,10270,21327
195,45325,14521,10272,20532
196,45672,14567,10298,20807
197,45625,14419,10310,20896
198,45547,14250,10290,21007
199,45456,14292,10315,20849
200,45741,14456,10374,20911
201,45786,14468,10417,20901
202,45162,14415,10411,20336
203,45180,14290,10313,20577
204,45422,14560,10268,20594
205,45426,14580,10284,20562
206,45198,14523,10239,20436
207,44878,14693,10303,19882
208,44645,14733,10374,19538
209,44962,14671,10265,20026
210,44955,14517,10293,20145
211,45027,14606,10322,20099
212,45136,14622,10371,20143
213,45171,14677,10462,20032
214,45040,14795,10454,19791
215,44966,14536,10326,20104
216,45154,14743,10411,20000
217,45119,14604,10410,20105
218,44752,14683,10541,19528
219,45131,14679,10385,20067
220,45267,14700,10481,20086
221,45221,14738,10489,19994
222,44923,14784,10345,19794
223,44957,14827,10423,19707
224,45266,14786,10493,19987
225,45314,14532,10390,20392
226,45002,15172,10481,19349
227,45142,15024,10509,19609
228,45251,14688,10607,19956
229,44767,14628,10671,19468
