no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,49203,23611,11399,14193
2,49367,23445,11397,14525
3,49319,23216,11305,14798
4,49254,23666,11244,14344
5,49052,23577,11345,14130
6,49262,23609,11307,14346
7,49162,23268,11348,14546
8,49115,23212,11273,14630
9,49331,23280,11203,14848
10,49107,23425,11092,14590
11,49198,23299,11294,14605
12,49278,23353,11110,14815
13,49386,23236,11074,15076
14,49186,23246,10893,15047
15,49329,23247,11049,15033
16,48888,23324,10986,14578
17,49042,23455,10865,14722
18,49093,23144,10938,15011
19,48925,23235,10849,14841
20,48840,23240,10712,14888
21,48931,23276,10768,14887
22,48896,23358,10583,14955
23,48986,23087,10554,15345
24,48916,23261,10538,15117
25,48926,23220,10568,15138
26,48887,23329,10469,15089
27,48987,23386,10333,15268
28,48956,23463,10336,15157
29,49020,23142,10383,15495
30,49052,23279,10324,15449
31,49051,23224,10354,15473
32,49047,23189,10406,15452
33,49127,23054,10443,15630
34,49120,23424,10349,15347
35,49128,23447,10332,15349
36,49237,23300,10368,15569
37,49120,23051,10345,15724
38,49141,23434,10320,15387
39,49162,23186,10398,15578
40,49088,23514,10411,15163
41,49231,23306,10410,15515
42,49225,23317,10324,15584
43,49336,23492,10296,15548
44,49277,23721,10309,15247
45,49415,23468,10318,15629
46,49151,23340,10306,15505
47,49246,23429,10334,15483
48,49230,23660,10303,15267
49,49201,23766,10335,15100
50,49287,23734,10383,15170
51,49299,23692,10297,15310
52,49479,23605,10369,15505
53,49513,23430,10398,15685
54,49684,23414,10389,15881
55,49518,23522,10562,15434
56,49575,23702,10487,15386
57,49424,23605,10515,15304
58,49499,23667,10579,15253
59,49690,23627,10657,15406
60,49841,23836,10693,15312
61,49786,23771,10710,15305
62,49728,23665,10666,15397
63,49737,23815,10653,15269
64,49849,24079,10690,15080
65,49745,24004,10756,14985
66,49792,24155,10713,14924
67,50020,23967,10765,15288
68,49670,23888,10760,15022
69,50199,24082,10825,15292
70,50291,24147,10743,15401
71,50224,23903,10841,15480
72,50174,24111,10916,15147
73,50293,24041,10856,15396
74,50297,24093,10845,15359
75,50295,23994,10856,15445
76,50214,24266,10867,15081
77,50347,24393,10976,14978
78,50519,24309,10971,15239
79,50517,24073,11067,15377
80,50492,24263,11100,15129
81,50368,24578,11038,14752
82,50498,24445,11090,14963
83,50378,24749,11081,14548
84,50681,24647,11094,14940
85,50607,24625,11118,14864
86,50710,24542,11133,15035
87,50758,24715,11083,14960
88,50698,24683,11096,14919
89,50663,24632,11125,14906
90,50659,24765,11111,14783
91,50680,24713,11042,14925
92,50630,24660,11065,14905
93,50574,25001,11090,14483
94,50389,24661,11151,14577
95,50592,24751,11128,14713
96,50670,24806,11095,14769
97,50803,24789,11153,14861
98,50758,24841,11218,14699
99,50801,24770,11205,14826
100,50818,24790,11158,14870
101,50808,24976,11315,14517
102,50732,24750,11282,14700
103,50650,24805,11309,14536
104,50644,24922,11316,14406
105,50802,24754,11364,14684
106,50758,24815,11207,14736
107,50823,24832,11363,14628
108,50843,24937,11293,14613
109,50981,25217,11312,14452
110,50823,24977,11389,14457
111,50826,25254,11330,14242
112,50792,24948,11320,14524
113,50859,24981,11365,14513
114,50750,25214,11367,14169
115,50872,24952,11423,14497
116,50752,25169,11469,14114
117,50892,24972,11381,14539
118,50893,24848,11429,14616
119,50798,25047,11516,14235
120,50822,25066,11482,14274
121,50752,25233,11464,14055
122,50750,25162,11475,14113
123,50841,25388,11553,13900
124,50804,25305,11434,14065
125,50833,25317,11431,14085
126,50725,25481,11368,13876
127,50766,25437,11350,13979
128,50790,25287,11463,14040
129,50734,25205,11507,14022
130,50840,25354,11524,13962
131,50712,25352,11538,13822
132,50752,25225,11550,13977
133,50670,25236,11531,13903
134,50741,25134,11511,14096
135,50673,25176,11450,14047
136,50567,25060,11403,14104
137,50673,25206,11381,14086
138,50607,25292,11461,13854
139,50539,25130,11412,13997
140,50490,25150,11419,13921
141,50537,25071,11404,14062
142,50458,25144,11455,13859
143,50339,25265,11495,13579
144,50388,24831,11469,14088
145,50395,25098,11453,13844
146,50511,24952,11548,14011
147,50438,25198,11482,13758
148,50136,24963,11375,13798
149,50369,25143,11351,13875
150,50259,25265,11273,13721
151,50139,25268,11185,13686
152,50011,25335,11178,13498
153,50150,25182,11200,13768
154,50017,25097,11165,13755
155,50033,25127,11092,13814
156,50164,25237,11187,13740
157,49920,25190,11223,13507
158,49920,25183,11175,13562
159,49990,24838,11167,13985
160,49981,24952,11155,13874
161,50027,25014,11111,13902
162,50014,25188,11041,13785
163,49839,25077,10986,13776
164,50020,25203,10980,13837
