no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,44589,28379,15871,339
2,44476,28162,15806,508
3,44537,28380,15914,243
4,44572,28414,15810,348
5,44534,28608,15788,138
6,44459,28198,15669,592
7,44533,28505,15723,305
8,44586,28465,15723,398
9,44774,28493,15888,393
10,45069,28605,16046,418
11,44992,28582,16040,370
12,45028,28537,15886,605
13,45178,28642,15783,753
14,45135,28566,15784,785
15,45218,28407,15991,820
16,44941,28301,15924,716
17,45014,27977,15958,1079
18,45087,28270,15871,946
19,44999,28475,15852,672
20,45127,28660,15794,673
21,45088,28553,15941,594
22,45166,28632,15954,580
23,45062,28457,15960,645
24,45146,28768,15870,508
25,45207,28588,15918,701
26,45148,28833,15928,387
27,45134,28894,15881,359
28,45051,28807,15824,420
29,44952,28880,15766,306
30,44643,28196,15559,888
31,44622,28261,15578,783
32,44500,28127,15410,963
33,44975,28414,15540,1021
34,44721,28557,15667,497
35,44938,28604,15685,649
36,44938,28933,15839,166
37,45134,29052,15702,380
38,45022,29018,15706,298
39,44897,28701,15754,442
40,45224,28654,15811,759
41,45030,28357,15667,1006
42,45063,28383,15842,838
43,45230,28546,15686,998
44,45276,28511,15746,1019
45,45231,28432,15665,1134
46,44888,28509,15661,718
47,44906,28412,15696,798
48,45008,28377,15799,832
49,44973,28404,15754,815
50,45026,28518,15767,741
51,45055,28452,15685,918
52,44838,28593,15624,621
53,44914,28669,15584,661
54,44974,28377,15562,1035
55,44733,28023,15533,1177
56,44772,28018,15534,1220
57,44722,28181,15419,1122
58,44844,27930,15416,1498
59,44941,27995,15576,1370
60,44819,27841,15546,1432
61,45030,28006,15593,1431
62,45058,27968,15548,1542
63,45178,28031,15537,1610
64,45292,27958,15546,1788
65,45244,27882,15630,1732
66,45272,27794,15360,2118
67,45338,27588,15550,2200
68,45378,27549,15407,2422
69,45296,27277,15414,2605
70,45353,27387,15453,2513
71,45393,27379,15468,2546
72,45340,27683,15390,2267
73,45363,27603,15308,2452
74,45316,27432,15226,2658
75,45369,27493,15191,2685
76,45238,27481,15275,2482
77,45351,27405,15369,2577
78,45352,27127,15242,2983
79,45401,27223,15197,2981
80,45432,27450,15037,2945
81,45203,27314,15067,2822
82,45320,27271,14974,3075
83,45372,27355,14942,3075
84,45407,27236,15112,3059
85,45370,27271,14806,3293
86,45462,26774,14840,3848
87,45488,27190,14843,3455
88,45497,27221,14917,3359
89,45461,27141,14833,3487
90,45324,27549,14750,3025
91,45346,27517,14675,3154
92,45297,27476,14721,3100
93,45351,27353,14711,3287
94,45251,27096,14697,3458
95,45358,26926,14699,3733
96,45322,27151,14590,3581
97,45297,27317,14629,3351
98,45277,27183,14562,3532
99,45280,27258,14581,3441
100,45245,26983,14510,3752
101,45291,27205,14577,3509
102,45212,26915,14491,3806
103,45281,27222,14511,3548
104,45288,27171,14562,3555
105,45304,27478,14393,3433
106,45246,26971,14434,3841
107,45438,27282,14408,3748
108,45318,27142,14461,3715
109,45343,27363,14355,3625
110,45344,27429,14263,3652
111,45372,27403,14186,3783
112,45425,27170,14276,3979
113,45417,26841,14258,4318
114,45443,27472,14249,3722
115,45516,27135,14091,4290
116,45444,26896,14111,4437
117,45450,27019,14114,4317
118,45487,27105,14023,4359
119,45666,27672,13981,4013
120,45579,27449,13945,4185
121,45566,27483,13995,4088
122,45550,27434,13772,4344
123,45668,27536,13743,4389
124,45575,27510,13749,4316
125,45665,26981,13728,4956
126,45535,27522,13668,4345
127,45583,27462,13703,4418
128,45697,27125,13534,5038
129,45655,27378,13628,4649
130,45706,27341,13602,4763
131,45841,27161,13538,5142
132,45877,27239,13490,5148
133,45863,27351,13487,5025
134,45814,26674,13296,5844
135,45888,27002,13352,5534
136,45767,26804,13174,5789
137,45597,27027,13151,5419
138,45719,27145,13224,5350
139,45814,27141,13154,5519
140,45592,26994,13093,5505
141,45776,26859,13146,5771
142,45736,26862,13105,5769
143,45772,26935,12832,6005
144,45825,26739,12988,6098
145,45843,27039,12748,6056
146,46044,27157,12736,6151
147,45943,27076,12714,6153
148,45985,26897,12701,6387
149,46106,26836,12576,6694
150,46168,26874,12494,6800
151,46125,26927,12440,6758
152,46221,26724,12488,7009
153,46201,26652,12369,7180
154,46431,26624,12610,7197
155,46177,26620,12385,7172
156,46363,26373,12400,7590
157,46424,26367,12429,7628
158,46507,26507,12170,7830
159,46420,26518,12203,7699
160,46593,26556,12067,7970
161,46491,26802,12040,7649
162,46560,26423,12040,8097
163,46636,26498,12076,8062
164,46600,26140,12158,8302
165,46551,26067,12145,8339
166,46668,25881,12029,8758
167,46713,25941,11941,8831
168,46684,25759,11903,9022
169,46677,26091,11826,8760
170,46648,25949,11897,8802
171,46665,25855,11896,8914
172,46742,25787,11826,9129
173,46729,25303,11746,9680
174,46846,26064,11676,9106
175,46626,25835,11650,9141
176,46768,25647,11592,9529
177,46649,25562,11521,9566
178,46706,25713,11491,9502
179,46629,25527,11350,9752
180,46794,25804,11242,9748
181,46801,25499,11351,9951
182,46820,25712,11293,9815
183,46816,25649,11342,9825
184,46761,25329,11254,10178
185,46712,25197,11229,10286
186,46644,25125,11153,10366
187,46720,24900,10947,10873
188,46645,24889,11016,10740
189,46649,25005,10855,10789
190,46661,24510,10806,11345
191,46621,24889,10850,10882
192,46623,24834,10886,10903
193,46507,24753,10763,10991
194,46486,24718,10772,10996
195,46562,24724,10570,11268
196,46462,24196,10429,11837
197,46490,23979,10436,12075
198,46367,23765,10474,12128
199,46248,23731,10359,12158
200,46321,23772,10434,12115
201,46212,23705,10339,12168
202,46195,23617,10222,12356
203,46075,23465,10178,12432
204,46126,23802,9934,12390
205,45906,23010,9941,12955
206,46166,22962,9850,13354
207,45877,23201,9733,12943
208,45705,23488,9811,12406
209,45822,23108,9606,13108
210,45773,22630,9704,13439
211,45705,22909,9629,13167
212,45704,23146,9545,13013
213,45563,22963,9501,13099
214,45677,22923,9416,13338
215,45622,22585,9460,13577
216,45580,22893,9360,13327
217,45634,22735,9307,13592
218,45595,22591,9225,13779
219,45468,23008,9214,13246
220,45451,22430,9195,13826
221,45500,22066,9314,14120
222,45451,22275,9291,13885
223,45403,22006,9180,14217
224,45311,22159,9233,13919
225,45427,22068,9201,14158
226,45366,22259,9066,14041
227,45214,22232,9070,13912
228,45244,22251,9056,13937
229,45265,22198,9042,14025
230,45254,21939,8945,14370
231,45083,21593,8847,14643
232,45101,22053,8917,14131
233,45121,21766,8898,14457
234,44992,21816,8765,14411
235,45134,21365,8869,14900
236,45019,21438,8887,14694
237,44944,21603,8847,14494
238,44956,21205,8875,14876
239,44853,21078,8748,15027
240,44825,21518,8658,14649
241,44777,20986,8642,15149
242,44668,20812,8667,15189
243,44841,20962,8684,15195
244,44773,20633,8613,15527
245,44629,19692,8682,16255
246,44581,20200,8611,15770
247,44656,20546,8552,15558
248,44687,20514,8519,15654
249,44626,20552,8517,15557
250,44571,20887,8516,15168
251,44568,21071,8463,15034
252,44473,20427,8478,15568
253,44437,20687,8454,15296
254,44386,20653,8333,15400
255,44474,20496,8377,15601
256,44351,20349,8330,15672
257,44296,20190,8289,15817
258,44272,20475,8274,15523
259,44198,20524,8216,15458
260,44404,20575,8295,15534
261,44262,20286,8252,15724
262,44003,20174,8148,15681
263,44170,20310,8052,15808
264,44030,20324,8206,15500
265,44066,20078,8072,15916
266,43914,20311,8068,15535
267,44180,20240,8033,15907
268,44052,19904,8107,16041
269,43987,20063,7987,15937
270,44120,20535,7922,15663
271,43924,20238,7878,15808
272,43990,20343,7838,15809
273,43969,19947,7795,16227
274,43915,19955,7935,16025
275,43944,20091,7907,15946
276,43845,19766,7965,16114
277,43836,19611,8013,16212
278,43804,19543,7931,16330
279,43813,19868,7983,15962
280,43910,20234,7786,15890
281,43857,19988,7788,16081
282,43717,20120,7591,16006
283,43792,20374,7569,15849
284,43715,19949,7632,16134
285,43791,20118,7543,16130
286,43720,19824,7566,16330
287,43718,19698,7432,16588
288,43617,20370,7416,15831
289,43671,20037,7402,16232
290,43732,20722,7323,15687
291,43616,20062,7422,16132
292,43685,20200,7397,16088
293,43757,20252,7402,16103
294,43765,20368,7447,15950
295,43721,20423,7321,15977
296,43625,20764,7339,15522
297,43516,20591,7376,15549
298,43683,20723,7261,15699
299,43700,20846,7317,15537
300,43521,20933,7193,15395
301,43529,20590,7215,15724
302,43533,21197,7114,15222
303,43640,20928,7128,15584
304,43682,20937,7074,15671
305,43736,20920,7002,15814
306,43635,21302,7028,15305
307,43716,21084,7117,15515
308,43748,21503,7033,15212
309,43811,21211,7110,15490
310,43792,21245,7075,15472
311,43704,21381,6994,15329
312,43814,21724,7027,15063
313,43866,21705,6962,15199
314,43906,21635,6893,15378
315,43892,21520,6853,15519
316,43946,21539,6873,15534
317,44041,21712,6879,15450
318,43979,21934,6974,15071
319,43899,22271,6801,14827
320,43925,21592,6795,15538
321,44049,22215,6827,15007
322,44123,21882,6809,15432
323,44107,22221,6817,15069
324,44114,22076,6806,15232
325,44215,22394,6828,14993
326,44121,22499,6787,14835
327,44139,22527,6770,14842
328,44106,22927,6706,14473
329,44161,22598,6691,14872
330,44227,22734,6748,14745
331,44169,23204,6700,14265
332,44211,23150,6600,14461
333,44133,23314,6622,14197
334,44165,23747,6607,13811
335,44062,23261,6623,14178
336,44125,23755,6564,13806
337,44099,23743,6518,13838
338,43968,24018,6498,13452
339,44064,24061,6523,13480
340,43940,24172,6435,13333
341,43857,24168,6227,13462
342,44016,24212,6394,13410
343,43998,24228,6292,13478
344,43992,24396,6369,13227
345,44110,24551,6403,13156
346,43920,24377,6388,13155
347,44053,24657,6439,12957
348,43901,25058,6375,12468
349,43931,24709,6498,12724
350,44118,24780,6626,12712
351,44063,24985,6545,12533
352,44085,25176,6527,12382
353,43965,25406,6608,11951
354,44033,25588,6501,11944
355,44112,25603,6535,11974
356,44245,25930,6594,11721
357,44164,25899,6604,11661
358,44115,25904,6696,11515
359,44186,25793,6603,11790
360,44102,26406,6627,11069
361,44155,26052,6651,11452
362,44041,26259,6696,11086
363,44079,26556,6622,10901
364,44057,26619,6650,10788
365,44085,26639,6744,10702
366,44232,26634,6742,10856
367,44135,26790,6694,10651
368,44079,26940,6746,10393
369,44213,27247,6793,10173
370,44147,27062,6735,10350
371,44261,27418,6790,10053
372,44074,27642,6719,9713
373,44131,27514,6776,9841
374,44223,27843,6874,9506
375,44159,27613,6785,9761
376,44142,27395,6854,9893
377,44104,27491,6894,9719
378,44096,27864,6961,9271
379,44075,28145,6917,9013
380,44173,28201,7015,8957
381,43994,28091,6995,8908
382,44195,28334,7160,8701
383,44132,28652,7093,8387
384,44021,28314,7117,8590
385,43993,28681,7095,8217
386,44060,28742,7178,8140
387,44005,28628,7224,8153
388,43984,28591,7198,8195
389,44136,28799,7198,8139
390,43943,28934,7321,7688
391,44080,28880,7322,7878
392,44057,28987,7347,7723
393,43990,28998,7481,7511
394,43926,29159,7572,7195
395,43936,29028,7513,7395
396,43948,29213,7536,7199
397,43967,29271,7563,7133
398,43953,29076,7593,7284
399,44030,29356,7635,7039
400,43950,29480,7658,6812
401,43818,29850,7618,6350
402,43895,29597,7643,6655
403,43771,29871,7674,6226
404,43853,29835,7646,6372
405,43763,29904,7820,6039
406,43690,29832,7760,6098
407,43784,29885,7834,6065
408,43749,30103,7905,5741
409,43833,30199,7892,5742
410,43805,30020,8030,5755
411,43559,30293,7991,5275
412,43709,29935,8016,5758
413,43663,29861,8087,5715
414,43744,29820,8164,5760
415,43678,29924,8109,5645
416,43729,30199,8217,5313
417,43760,30223,8180,5357
418,43712,29849,8220,5643
419,43634,30150,8195,5289
420,43478,30326,8308,4844
421,43654,30276,8358,5020
422,43584,30248,8425,4911
423,43676,30454,8429,4793
424,43533,30459,8279,4795
425,43505,30192,8433,4880
426,43574,30384,8474,4716
427,43584,30336,8513,4735
428,43548,30143,8581,4824
429,43567,30351,8638,4578
430,43534,30429,8631,4474
431,43369,30389,8658,4322
432,43477,30296,8709,4472
433,43331,30370,8665,4296
434,43537,30181,8815,4541
435,43676,30148,8875,4653
436,43466,30574,8839,4053
437,43470,30319,8898,4253
438,43355,30451,8891,4013
439,43415,30495,8965,3955
440,43442,30438,8964,4040
441,43529,30337,8912,4280
442,43549,30078,8961,4510
443,43449,30320,9032,4097
444,43379,30053,9056,4270
445,43373,30278,9115,3980
446,43086,30169,9213,3704
447,43339,30443,9213,3683
448,43251,30264,9287,3700
449,43510,30394,9377,3739
450,43524,30150,9242,4132
451,43484,30384,9413,3687
452,43530,30320,9443,3767
453,43651,30087,9397,4167
454,43648,30037,9478,4133
455,43784,30178,9590,4016
456,43878,30068,9513,4297
457,43795,30160,9571,4064
458,43985,30317,9612,4056
459,43932,29860,9602,4470
460,43857,30172,9569,4116
461,44107,30308,9673,4126
462,44059,30026,9655,4378
463,44136,30606,9740,3790
464,43884,30618,9813,3453
465,43978,30327,9850,3801
466,44062,30293,9804,3965
467,44108,30360,9799,3949
468,44229,30194,9913,4122
469,44242,29998,9906,4338
470,44165,29861,10023,4281
471,44285,30040,10101,4144
472,44298,30076,10060,4162
473,44314,30410,10024,3880
474,44353,30198,10133,4022
475,44214,30419,9951,3844
476,44351,30393,10087,3871
477,44410,30519,10133,3758
478,44387,30529,10195,3663
479,44552,30290,10316,3946
480,44574,30098,10211,4265
481,44661,30280,10246,4135
482,44710,30298,10258,4154
483,44714,30010,10360,4344
484,44774,30032,10511,4231
485,44776,30064,10558,4154
486,44732,30068,10404,4260
487,44636,30197,10406,4033
488,44811,29996,10356,4459
489,44834,30048,10397,4389
490,44848,30234,10440,4174
491,44867,30225,10625,4017
492,44731,30384,10710,3637
493,44830,30186,10686,3958
494,44764,30030,10755,3979
495,44867,30322,10705,3840
496,44781,29847,10629,4305
497,44649,30021,10583,4045
498,44558,30134,10560,3864
499,44722,30009,10745,3968
500,44667,30076,10722,3869
501,44781,29932,10748,4101
502,44825,30135,10894,3796
503,44810,29821,10768,4221
504,44747,30101,10790,3856
505,45033,30105,10804,4124
506,44758,29989,10883,3886
507,44861,30003,10926,3932
508,45028,30090,11012,3926
509,45220,30419,11195,3606
510,45302,30415,11638,3249
511,45448,30084,11604,3760
512,45520,30144,11730,3646
513,45582,30258,11789,3535
514,45485,30102,11874,3509
515,45517,29934,11855,3728
516,45525,30105,11936,3484
517,45580,30098,11986,3496
518,45456,29818,11990,3648
519,45554,30227,12122,3205
520,45562,29955,12216,3391
521,45677,29910,12284,3483
522,45639,30108,12303,3228
523,45592,30233,12328,3031
524,45525,30294,12296,2935
525,45356,29993,12311,3052
526,45178,29425,12063,3690
527,44979,29882,12136,2961
528,44868,29426,11894,3548
529,45159,29605,12140,3414
530,45020,29554,12077,3389
531,45109,29524,12229,3356
532,45132,29588,12333,3211
533,45083,29345,12490,3248
534,45025,29387,12564,3074
535,45295,29356,12688,3251
536,45257,29519,12729,3009
537,45227,29442,12887,2898
538,45106,29122,12684,3300
539,45189,29458,12785,2946
540,45190,29654,13026,2510
541,45443,29793,13165,2485
542,45266,29768,13212,2286
543,45281,29723,13170,2388
544,45109,29598,13162,2349
545,45118,29441,13143,2534
546,45048,29506,13228,2314
547,44955,29564,13295,2096
548,44975,29397,13404,2174
549,44795,29482,13461,1852
550,44647,29168,13177,2302
551,44623,29132,13256,2235
552,44537,29004,13134,2399
553,44752,29337,13292,2123
554,44684,29076,13297,2311
555,44787,29284,13451,2052
556,44542,29228,13576,1738
557,44633,29203,13721,1709
558,44650,29012,13663,1975
559,44562,29266,13706,1590
560,44481,29024,13702,1755
561,44478,29073,13800,1605
562,44411,28844,13797,1770
563,44349,28839,13902,1608
564,44436,28882,13906,1648
565,44456,28752,13929,1775
566,44422,28670,13995,1757
567,44393,28678,14035,1680
568,44443,28704,14094,1645
569,44473,28485,14130,1858
570,44388,28425,14071,1892
571,44468,28176,14168,2124
572,44398,28412,14293,1693
573,44488,28363,14230,1895
574,44540,28141,14438,1961
575,44608,28428,14457,1723
576,44524,28189,14377,1958
577,44464,28260,14374,1830
578,44576,28141,14417,2018
579,44614,28163,14463,1988
580,44667,28065,14476,2126
581,44797,27993,14545,2259
582,44690,28084,14712,1894
583,44702,28043,14683,1976
584,44597,27970,14783,1844
585,44616,27896,14827,1893
586,44441,27800,14887,1754
587,44624,28114,14826,1684
588,44568,28189,14864,1515
589,44494,27935,14901,1658
590,44476,27950,14888,1638
