no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,47798,5097,10227,32474
2,47845,5214,10248,32383
3,48040,5244,10328,32468
4,47853,5032,10337,32484
5,47993,5030,10330,32633
6,48366,5012,10314,33040
7,48259,5054,10284,32921
8,48259,4951,10288,33020
9,48165,5035,10234,32896
10,48370,4892,10293,33185
11,48119,5008,10227,32884
12,48469,4799,10176,33494
13,48344,4748,10157,33439
14,48280,4791,10132,33357
15,48627,4733,10200,33694
16,48738,4719,10147,33872
17,48731,4760,10136,33835
18,48855,4707,10010,34138
19,48988,4724,10053,34211
20,48953,4617,10050,34286
21,48913,4725,10072,34116
22,49052,4577,10045,34430
23,48889,4370,10078,34441
24,49002,4533,10001,34468
25,48831,4679,9848,34304
26,48899,4685,9833,34381
27,48866,4615,9780,34471
28,49035,4326,9826,34883
29,49013,4344,9780,34889
30,48894,4206,9767,34921
31,49057,4113,9826,35118
32,48984,4131,9691,35162
33,48992,4019,9718,35255
34,49175,4071,9625,35479
35,49184,3936,9699,35549
36,49050,3988,9690,35372
37,49262,4141,9629,35492
38,49236,3871,9533,35832
39,49081,3844,9468,35769
40,49010,3753,9399,35858
41,48978,3809,9494,35675
42,48937,3871,9362,35704
43,48851,3700,9387,35764
44,48636,3537,9416,35683
45,48858,3795,9511,35552
46,48626,3491,9489,35646
47,48700,3696,9356,35648
48,48608,3698,9290,35620
49,48641,3351,9267,36023
50,48672,3488,9244,35940
51,48715,3494,9204,36017
52,48630,3416,9227,35987
53,48683,3267,9240,36176
54,48631,3219,9158,36254
55,48873,3243,9144,36486
56,48876,3192,9055,36629
57,48696,3278,9057,36361
58,48838,3234,9095,36509
59,49108,3422,9083,36603
60,48348,3248,9079,36021
61,48651,3314,9050,36287
62,48740,3162,9065,36513
63,48841,3038,8872,36931
64,48987,3106,8968,36913
65,48754,3226,8945,36583
66,48894,3188,8890,36816
67,48975,3343,8933,36699
68,48829,3232,8866,36731
69,48947,3214,8891,36842
70,48725,3019,8850,36856
71,49057,2912,8892,37253
72,48723,3058,8780,36885
73,48731,3062,8847,36822
74,48554,3076,8694,36784
75,48828,3103,8678,37047
76,48883,3026,8680,37177
77,48905,2934,8642,37329
78,49019,3021,8584,37414
79,48711,2716,8617,37378
80,48730,2775,8510,37445
81,48891,2653,8582,37656
82,48676,2645,8555,37476
83,48818,2787,8570,37461
84,48680,2867,8513,37300
85,48582,2664,8438,37480
86,48507,2609,8425,37473
87,48510,2519,8412,37579
88,48524,2546,8403,37575
89,48301,2617,8384,37300
90,48208,2553,8274,37381
91,48230,2500,8311,37419
92,48141,2480,8422,37239
93,48132,2453,8390,37289
94,48086,2495,8320,37271
95,48135,2479,8376,37280
96,47996,2595,8344,37057
97,47909,2479,8318,37112
98,47810,2640,8348,36822
99,47790,2244,8202,37344
100,47938,2326,8239,37373
101,47708,2345,8279,37084
102,47789,2364,8216,37209
103,47719,2212,8244,37263
104,47620,2364,8277,36979
105,47581,2173,8293,37115
106,47368,2296,8327,36745
107,47357,2061,8350,36946
108,47405,2136,8279,36990
109,47424,2342,8284,36798
110,47237,2208,8236,36793
111,47276,2287,8253,36736
112,47222,2321,8194,36707
113,47125,2306,8261,36558
114,46925,2474,8252,36199
115,46918,2576,8247,36095
116,46778,2417,8212,36149
117,46864,2355,8221,36288
118,46773,2317,8266,36190
119,46829,2154,8254,36421
120,46344,2218,8187,35939
121,46141,2377,8121,35643
122,46298,2170,8200,35928
123,46261,2222,8183,35856
124,46408,2108,8126,36174
125,46331,2032,8093,36206
126,46437,1991,8059,36387
127,46542,2272,8117,36153
128,46245,2192,8096,35957
129,46311,2081,8133,36097
130,46348,2120,8176,36052
131,46176,2155,8138,35883
132,46106,2120,8145,35841
133,46166,1894,8265,36007
134,46064,1927,8153,35984
135,46216,2146,8211,35859
136,45981,2381,8186,35414
137,45963,2113,8229,35621
138,45941,2198,8145,35598
139,45974,2192,8173,35609
140,45999,2105,8049,35845
141,45819,2211,8058,35550
142,45909,2075,8101,35733
143,45932,2122,8070,35740
144,46040,2299,8114,35627
145,45956,2068,8148,35740
146,45929,2062,8120,35747
147,46089,1965,8087,36037
148,45947,2056,8042,35849
149,46008,2066,8078,35864
150,46046,1807,7900,36339
151,46121,1936,7866,36319
152,46069,1870,7969,36230
153,46049,2079,7988,35982
154,45917,1887,7982,36048
155,45800,1882,7953,35965
156,45746,1669,8010,36067
157,45596,1654,7955,35987
158,45569,1846,7835,35888
159,45694,1739,7786,36169
160,45637,1765,7799,36073
161,45792,1752,7789,36251
162,45595,1706,7753,36136
163,45616,1819,7760,36037
164,45358,1983,7720,35655
165,45468,2149,7652,35667
166,45457,2151,7619,35687
167,45412,2295,7659,35458
168,45327,2203,7622,35502
169,45318,2183,7561,35574
170,45394,2077,7581,35736
171,45318,2154,7553,35611
172,45177,2215,7506,35456
173,45096,2366,7474,35256
174,45195,2086,7474,35635
175,45070,2174,7455,35441
176,44887,2183,7400,35304
177,44871,2044,7346,35481
178,44654,2199,7396,35059
179,44469,2200,7324,34945
180,44463,2181,7327,34955
181,44548,2155,7286,35107
182,44569,2424,7311,34834
183,44371,2553,7332,34486
184,44482,2350,7293,34839
185,44379,2180,7296,34903
186,44436,2227,7199,35010
187,44244,2306,7241,34697
188,44198,2625,7320,34253
189,44197,2472,7352,34373
190,44095,2501,7338,34256
191,44171,2624,7269,34278
192,44214,2615,7320,34279
193,44180,2501,7302,34377
194,44160,2791,7272,34097
195,44206,2777,7254,34175
196,44064,2770,7270,34024
197,43857,2613,7198,34046
198,43978,2677,7217,34084
199,43858,2684,7349,33825
200,43745,2771,7249,33725
201,43843,2782,7211,33850
202,43724,2686,7187,33851
203,43745,2912,7131,33702
204,43740,2628,7131,33981
205,43574,2678,7150,33746
206,43414,3003,7204,33207
207,43458,2729,7196,33533
