no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,49485,20723,16451,12311
2,49873,20725,16529,12619
3,50315,20942,16419,12954
4,49988,21243,16512,12233
5,49883,20939,16451,12493
6,50726,20959,16431,13336
7,50202,21210,16419,12573
8,51044,21298,16420,13326
9,50787,21309,16477,13001
10,50885,21027,16322,13536
11,50934,21258,16356,13320
12,51116,21254,16404,13458
13,51088,21263,16496,13329
14,50946,21811,16362,12773
15,51220,21572,16415,13233
16,51011,21726,16393,12892
17,51375,21843,16336,13196
18,51682,21579,16526,13577
19,51266,21792,16551,12923
20,51883,21704,16427,13752
21,51697,22124,16491,13082
22,51599,21876,16417,13306
23,51623,21820,16277,13526
24,51708,22074,16302,13332
25,51695,22080,16374,13241
26,51711,22013,16542,13156
27,51709,21926,16436,13347
28,51719,22074,16454,13191
29,51594,21968,16476,13150
30,52189,22347,16298,13544
31,52439,22375,16433,13631
32,51879,22447,16420,13012
33,52386,22246,16302,13838
34,52469,22703,16288,13478
35,52402,22938,16202,13262
36,52544,22641,16361,13542
37,52313,22655,16462,13196
38,52474,22710,16442,13322
39,52552,22533,16524,13495
40,53182,22959,16373,13850
41,53039,23058,16419,13562
42,52246,22880,16445,12921
43,53098,22960,16392,13746
44,53024,23031,16477,13516
45,52853,22802,16440,13611
46,53018,22995,16599,13424
47,52776,23354,16566,12856
48,52800,23501,16504,12795
49,52679,23135,16631,12913
50,53504,23138,16587,13779
51,53449,23338,16582,13529
52,52820,23839,16744,12237
53,53445,23107,16803,13535
54,53628,23250,16793,13585
55,53616,23170,16757,13689
56,53823,23587,16665,13571
57,53238,23236,16716,13286
58,53622,23462,16700,13460
59,53336,23529,16684,13123
60,53498,23724,16657,13117
61,53374,23742,16791,12841
62,53342,23317,16718,13307
63,53305,23806,16791,12708
64,53127,23605,16853,12669
65,53098,23576,16802,12720
66,53198,23346,16839,13013
67,53331,23698,16778,12855
68,53324,23695,16874,12755
69,53535,23679,16858,12998
70,53290,23827,16766,12697
71,53234,23476,16817,12941
72,53547,23880,16855,12812
73,53474,23763,16811,12900
74,53772,23913,16924,12935
75,53706,23706,16928,13072
76,53846,23885,16791,13170
77,54159,24078,16638,13443
78,54224,24156,16764,13304
