no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,54995,30127,9642,15226
2,54865,29942,9606,15317
3,54956,30441,9598,14917
4,54995,30209,9589,15197
5,55151,30409,9618,15124
6,54983,30349,9689,14945
7,54942,30039,9606,15297
8,54725,30087,9574,15064
9,55016,29938,9587,15491
10,54865,30475,9574,14816
11,54854,30288,9521,15045
12,54871,30120,9451,15300
13,54568,30227,9400,14941
14,54721,30251,9404,15066
15,54824,30024,9330,15470
16,54674,30052,9372,15250
17,54723,29974,9339,15410
18,54379,29913,9459,15007
19,54696,30032,9442,15222
20,54749,30079,9336,15334
21,54462,30200,9351,14911
22,54677,29980,9332,15365
23,54750,29733,9295,15722
24,54621,29889,9366,15366
25,54544,29826,9278,15440
26,54613,29762,9349,15502
27,54616,29524,9297,15795
28,54511,29997,9307,15207
29,54330,29973,9287,15070
30,54644,30120,9248,15276
31,54532,29915,9228,15389
32,54776,29819,9168,15789
33,54611,29819,9128,15664
34,54716,29365,9194,16157
35,54587,29461,9116,16010
36,54604,29532,9136,15936
37,54667,29465,9110,16092
38,54582,29298,9090,16194
39,54364,29463,9004,15897
40,54482,29214,8979,16289
41,54425,29396,9042,15987
42,54303,29338,9010,15955
43,54262,29247,8928,16087
44,54165,29013,9002,16150
45,54187,29086,8971,16130
46,54086,28976,8874,16236
47,54117,29189,8944,15984
48,54054,28770,8864,16420
49,54251,28929,8873,16449
50,54133,28738,8912,16483
51,54042,28778,8820,16444
52,53977,28807,8885,16285
53,53795,28974,8841,15980
54,53923,29150,8836,15937
55,53741,28929,8808,16004
56,53874,28808,8819,16247
57,53922,28702,8734,16486
58,54099,28577,8720,16802
59,54143,28592,8720,16831
60,54094,28407,8673,17014
61,54200,28757,8633,16810
62,54071,28675,8642,16754
63,54207,28530,8689,16988
64,54083,28687,8672,16724
65,54156,28433,8660,17063
66,54121,28289,8583,17249
67,54251,28416,8612,17223
68,54418,28415,8625,17378
69,54141,28465,8592,17084
70,54290,28339,8608,17343
71,54214,28310,8539,17365
72,54356,28392,8516,17448
73,54378,28596,8509,17273
74,54293,28818,8657,16818
