no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,59420,28519,15940,14961
2,59460,28739,15813,14908
3,59333,28489,15892,14952
4,59420,28793,15796,14831
5,59271,28429,15840,15002
6,59245,28107,15902,15236
7,59205,28289,15742,15174
8,59361,27952,15937,15472
9,59314,27965,15864,15485
10,59139,28223,15876,15040
11,59075,27986,15723,15366
12,59219,27952,15648,15619
13,59299,28218,15811,15270
14,59100,27944,15802,15354
15,59035,28044,15706,15285
16,58958,28096,15636,15226
17,59045,27830,15546,15669
18,59020,27687,15557,15776
19,58958,27906,15659,15393
20,58964,27452,15594,15918
21,59155,27594,15584,15977
22,58980,28088,15407,15485
23,58919,27717,15479,15723
24,58837,27659,15532,15646
25,58820,27642,15476,15702
26,59013,27845,15456,15712
27,58927,27471,15437,16019
28,58961,27600,15357,16004
29,58826,27287,15284,16255
30,58758,27608,15156,15994
31,58831,27825,15203,15803
32,58720,27632,15227,15861
33,58858,27261,15188,16409
34,58938,27079,15157,16702
35,58876,27364,15250,16262
36,58747,27679,15167,15901
37,58782,27417,15167,16198
38,58629,27573,15083,15973
39,58673,27238,15098,16337
40,58481,27215,15000,16266
41,58562,27291,15073,16198
42,58321,27074,15014,16233
43,58502,27128,14946,16428
44,58498,26469,14961,17068
45,58577,26744,14862,16971
46,58551,26789,14977,16785
47,58585,26682,14816,17087
48,58455,26692,14635,17128
49,58508,27016,14631,16861
50,58449,26998,14704,16747
51,58413,26995,14653,16765
52,58622,26879,14718,17025
53,58397,26727,14576,17094
54,58472,26753,14475,17244
55,58496,26532,14480,17484
56,58246,26396,14316,17534
57,58215,26556,14318,17341
58,58191,26404,14254,17533
59,58266,26386,14233,17647
60,58107,26502,14111,17494
61,58332,26684,14124,17524
62,58202,26306,14077,17819
63,58106,26257,14126,17723
64,58068,26759,14041,17268
65,58084,26632,14061,17391
66,57986,26755,14103,17128
67,58069,26676,14036,17357
68,57943,26540,13892,17511
69,58054,26550,13818,17686
70,57865,26129,13788,17948
71,57973,26681,13760,17532
72,58032,26839,13667,17526
73,57935,26482,13564,17889
74,58022,26415,13462,18145
75,58071,26455,13455,18161
76,57968,26972,13530,17466
77,58181,26826,13509,17846
78,58173,26660,13434,18079
79,58018,26588,13481,17949
80,58123,26765,13484,17874
81,58314,26361,13372,18581
82,58092,26628,13280,18184
83,58075,26925,13216,17934
84,58149,27104,13250,17795
85,58115,27278,13249,17588
86,58224,27191,13215,17818
87,58275,27203,13195,17877
88,58287,27404,13149,17734
89,58352,27356,13257,17739
90,58563,27658,13345,17560
91,58579,27497,13398,17684
92,58701,27269,13370,18062
93,58700,27374,13475,17851
94,58949,27169,13625,18155
95,59013,27255,13642,18116
96,59132,27392,13653,18087
97,59206,27590,13616,18000
98,59234,27241,13715,18278
