no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,67049,31320,12232,23497
2,66541,30984,12166,23391
3,66845,31069,12038,23738
4,66812,30463,11877,24472
5,66731,31109,12156,23466
6,66806,31265,11961,23580
7,66612,30829,12127,23656
8,66741,30830,11818,24093
9,66957,31178,11825,23954
10,66783,30843,11903,24037
11,67229,31401,12189,23639
12,66986,31055,12257,23674
13,66926,30719,12295,23912
14,66899,31502,12044,23353
15,67205,31157,12514,23534
16,67151,31170,12257,23724
17,67124,31243,11996,23885
18,66911,30635,12369,23907
19,66895,31501,12261,23133
20,67067,31015,12436,23616
21,66917,31298,12559,23060
22,67320,31055,12439,23826
23,67155,31129,12268,23758
24,67207,30995,12402,23810
25,67486,31408,12335,23743
26,66935,31033,12678,23224
27,66833,31204,12266,23363
28,66704,31377,12159,23168
29,67033,31682,12187,23164
30,67030,31535,12121,23374
31,67267,31398,12095,23774
32,67070,31215,12145,23710
33,67067,31438,12226,23403
34,66973,31402,12196,23375
35,67043,31147,12328,23568
36,67280,30716,12632,23932
37,67136,31206,12354,23576
38,66882,30832,12132,23918
39,66784,30891,12248,23645
40,67120,30919,12138,24063
41,67108,31141,12129,23838
42,66857,31332,12270,23255
43,66929,30916,12468,23545
44,66628,30731,12191,23706
45,66854,31171,12427,23256
46,66875,30984,12438,23453
47,67185,31099,12381,23705
48,67191,30878,12332,23981
49,66610,30716,12407,23487
50,66538,31141,12466,22931
51,66770,31155,12373,23242
52,66946,31442,12311,23193
53,66027,31779,12386,21862
54,66274,31126,12518,22630
55,66356,30852,12370,23134
56,66936,30992,12434,23510
57,66247,30706,12438,23103
58,66457,31040,12745,22672
59,66210,31050,12680,22480
60,66226,31021,12650,22555
61,66272,30980,12708,22584
62,66486,31158,12533,22795
63,66307,31187,12374,22746
64,66195,30856,12711,22628
65,66362,31113,12511,22738
66,66079,31181,12616,22282
67,65947,31308,12615,22024
68,66033,31005,12509,22519
69,65845,30954,12605,22286
70,65911,31064,12543,22304
71,65763,30829,12612,22322
72,65752,30968,12814,21970
73,65572,30889,12617,22066
74,65656,31044,12661,21951
75,65806,31106,12561,22139
76,65344,30896,12432,22016
77,65737,31123,12451,22163
78,65709,30799,12702,22208
79,65922,31082,12594,22246
80,65789,30894,12874,22021
81,65762,31037,12629,22096
82,65678,31210,12627,21841
83,65664,30700,12622,22342
84,65970,30777,12834,22359
85,65638,30865,12672,22101
86,65815,30609,12720,22486
87,66089,31090,12651,22348
88,65796,30785,12642,22369
89,65979,30429,12661,22889
90,65943,30711,12755,22477
91,65561,30782,12549,22230
92,65472,30730,12625,22117
93,65549,30663,12664,22222
94,65772,30842,12802,22128
95,65918,30494,12750,22674
96,65687,30811,12771,22105
97,65658,30665,12455,22538
98,66150,30538,12618,22994
99,66019,30705,12722,22592
100,66156,30370,12666,23120
101,65932,30246,12601,23085
102,65898,30729,12546,22623
103,65692,30208,12797,22687
104,65823,30681,12873,22269
105,65665,30043,12665,22957
106,65780,30249,12781,22750
107,65804,30778,13047,21979
108,65801,30460,12912,22429
109,65838,30081,12956,22801
110,65871,30223,12896,22752
111,66215,30557,12934,22724
112,66210,30407,12812,22991
113,65898,30761,12783,22354
114,65315,30250,13002,22063
115,65739,30459,13018,22262
116,66094,30570,12900,22624
117,66310,30447,13246,22617
118,66363,30528,13053,22782
119,65817,30146,13068,22603
120,65884,30761,12929,22194
121,66102,30303,12813,22986
122,66468,30940,13256,22272
123,66296,30453,12922,22921
124,66371,30582,12839,22950
125,66406,30679,12897,22830
126,66783,30611,13067,23105
127,66584,30779,13083,22722
128,66483,31024,13013,22446
129,66575,30356,12924,23295
130,66643,30205,13071,23367
131,66436,30477,12811,23148
132,66432,30587,13049,22796
133,66488,30254,12918,23316
134,66488,30530,12939,23019
135,66335,30383,12979,22973
136,66112,29649,12823,23640
137,66036,30013,12685,23338
138,66245,30198,12799,23248
139,66158,29959,12827,23372
140,66068,29694,12841,23533
141,66159,30100,12808,23251
142,66210,29948,12717,23545
143,66093,29859,12706,23528
144,65721,29909,12726,23086
145,65559,29767,12800,22992
146,65889,29769,12855,23265
147,65645,29739,12665,23241
148,65853,29478,12526,23849
149,65817,29407,12442,23968
150,65911,29398,12333,24180
151,65812,29524,12362,23926
152,65747,29848,12265,23634
153,65649,29738,12269,23642
154,65961,29648,12066,24247
155,65788,30101,12178,23509
156,65709,30385,12062,23262
157,65564,30109,12005,23450
158,65782,29590,11865,24327
159,65388,29640,11763,23985
160,65708,30002,11649,24057
161,65508,30044,11797,23667
162,65479,29797,11605,24077
163,65324,29722,11680,23922
164,65280,29487,11712,24081
165,65710,29515,11691,24504
166,65676,29479,11852,24345
167,65470,29658,11537,24275
168,65897,29655,11671,24571
169,65729,29895,11628,24206
170,65642,30110,11606,23926
171,65243,29937,11433,23873
172,65755,29875,11612,24268
173,65508,29993,11478,24037
174,65567,29705,11608,24254
175,65505,29993,11457,24055
