no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,63335,33422,8365,21548
2,63606,33753,8392,21461
3,63568,33683,8444,21441
4,63464,33401,8417,21646
5,63536,33716,8400,21420
6,63288,33690,8449,21149
7,63375,33664,8439,21272
8,63488,33653,8495,21340
9,63273,33814,8486,20973
10,63727,33770,8515,21442
11,63643,33564,8472,21607
12,63259,33756,8496,21007
13,63598,33710,8472,21416
14,63328,33385,8479,21464
15,63010,33842,8396,20772
16,63435,33910,8454,21071
17,63438,33761,8420,21257
18,63337,33808,8404,21125
19,63660,33851,8413,21396
20,63524,33458,8425,21641
21,63664,33771,8456,21437
22,63457,33694,8474,21289
23,63395,33604,8432,21359
24,63333,33410,8434,21489
25,63771,33582,8393,21796
26,63413,33530,8461,21422
27,63539,33394,8411,21734
28,63782,33568,8390,21824
29,63731,33388,8439,21904
30,63363,33641,8425,21297
31,63203,33465,8440,21298
32,63455,33071,8431,21953
33,63176,33310,8450,21416
34,63811,33290,8461,22060
35,63344,33171,8418,21755
36,63429,33149,8472,21808
37,63557,33161,8446,21950
38,63373,33356,8470,21547
39,63754,33314,8470,21970
40,63352,32973,8504,21875
41,63486,33159,8505,21822
42,63297,33154,8486,21657
43,63469,33038,8541,21890
44,63371,33274,8496,21601
45,63103,33110,8495,21498
46,62882,32627,8448,21807
47,63168,32832,8459,21877
48,62307,32436,8382,21489
49,63072,32609,8358,22105
50,62864,32548,8393,21923
51,62927,32572,8420,21935
52,62780,32642,8392,21746
53,62628,32657,8398,21573
54,62971,32447,8359,22165
55,62580,32814,8361,21405
56,62665,32521,8396,21748
57,62869,32485,8379,22005
58,63139,32630,8364,22145
59,62859,32178,8364,22317
60,63012,32527,8398,22087
61,62135,32534,8429,21172
62,62916,32337,8420,22159
63,62794,32059,8386,22349
64,62688,32177,8387,22124
65,63223,32369,8399,22455
66,62658,32487,8417,21754
67,62969,32047,8396,22526
68,63151,32235,8412,22504
69,63318,32272,8394,22652
70,62930,32064,8388,22478
71,63127,32031,8395,22701
72,62418,32067,8360,21991
73,62528,32292,8384,21852
74,62198,31950,8460,21788
75,62477,31979,8348,22150
76,62497,32011,8371,22115
77,62742,31644,8401,22697
78,62877,31689,8436,22752
79,62752,32013,8365,22374
80,63270,31910,8351,23009
81,63031,31648,8353,23030
82,62889,31701,8314,22874
83,62836,31643,8354,22839
84,62871,31750,8347,22774
85,62743,31381,8284,23078
86,62936,31517,8223,23196
87,62638,31460,8295,22883
88,62646,31440,8301,22905
89,62758,31234,8312,23212
90,62831,31471,8342,23018
91,62606,31302,8325,22979
92,62182,31449,8337,22396
93,62458,31591,8319,22548
94,62504,31392,8309,22803
95,62372,31336,8299,22737
96,62975,31346,8288,23341
97,62799,31170,8264,23365
98,62924,31460,8306,23158
99,62927,31387,8321,23219
100,62546,31051,8232,23263
101,62659,31093,8242,23324
102,62653,31325,8271,23057
103,63059,31443,8224,23392
104,62183,31252,8181,22750
105,62081,30970,8174,22937
106,62538,31193,8157,23188
107,62377,31331,8152,22894
108,62155,31295,8151,22709
109,61870,31182,8122,22566
110,62363,31193,8166,23004
111,62988,31395,8138,23455
112,62761,31194,8104,23463
113,62636,31565,8195,22876
114,62474,31225,8188,23061
115,62640,31104,8132,23404
116,62933,31363,8182,23388
117,62564,30859,8165,23540
118,62644,31329,8125,23190
119,62725,31303,8156,23266
120,62790,31200,8159,23431
121,62045,30880,8102,23063
122,62509,30875,8041,23593
123,62143,30748,8024,23371
124,62500,30958,8077,23465
125,62250,30915,8058,23277
126,62307,31259,8068,22980
127,62452,30855,8000,23597
128,62273,30915,7921,23437
129,62130,30804,7878,23448
130,62329,30827,7887,23615
131,62106,31197,7866,23043
132,62269,31112,7860,23297
133,62241,31144,7873,23224
134,62381,31166,7848,23367
