no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,56285,23391,14056,18838
2,56021,23451,13854,18716
3,55879,23531,13900,18448
4,56029,23489,14041,18499
5,55716,23615,13929,18172
6,55820,23508,13778,18534
7,55640,23510,13757,18373
8,55235,23403,13773,18059
9,55039,23414,13829,17796
10,55384,23336,13697,18351
11,55394,23218,13635,18541
12,55295,23335,13539,18421
13,54992,23063,13408,18521
14,55082,23188,13451,18443
15,55194,23042,13380,18772
16,55161,23080,13465,18616
17,54922,22953,13408,18561
18,54689,23149,13324,18216
19,54704,23185,13278,18241
20,54705,22951,13388,18366
21,54632,23234,13238,18160
22,54618,22937,13249,18432
23,54669,22826,13286,18557
24,54439,22897,13338,18204
25,54295,23031,13191,18073
26,54264,22965,13207,18092
27,54152,22746,13133,18273
28,54289,22965,13137,18187
29,54246,22970,13040,18236
30,54018,23190,13094,17734
31,53962,22975,12975,18012
32,54013,23087,13107,17819
33,53915,22681,13090,18144
34,53697,22600,13109,17988
35,53828,22360,13101,18367
36,53735,22586,13269,17880
37,53857,22391,13260,18206
38,53551,22508,13310,17733
39,53397,22434,13323,17640
40,53501,22391,13347,17763
41,53546,22266,13417,17863
42,53401,22573,13348,17480
43,53497,22216,13259,18022
44,53298,22150,13261,17887
45,53060,22077,13264,17719
46,53221,22494,13304,17423
47,53188,22213,13373,17602
48,53022,21912,13247,17863
49,52872,22087,13373,17412
50,52864,22077,13195,17592
51,52798,22067,13271,17460
52,52738,21936,13341,17461
53,52642,21948,13195,17499
54,52537,22501,13228,16808
55,52466,22186,13322,16958
56,52307,22250,13513,16544
57,52558,22005,13362,17191
58,52381,21897,13418,17066
59,52351,21849,13397,17105
60,52552,21953,13262,17337
61,52456,22038,13328,17090
62,52341,22024,13265,17052
63,52281,21784,13343,17154
64,52170,21733,13420,17017
65,52204,21654,13265,17285
66,52142,21708,13231,17203
67,51979,21633,13401,16945
68,51469,21627,13356,16486
69,51639,21419,13473,16747
70,51637,21313,13417,16907
71,51573,21576,13439,16558
72,51566,21401,13411,16754
73,51714,21499,13363,16852
74,51643,21545,13327,16771
75,51639,21504,13363,16772
76,51560,21266,13317,16977
77,51520,21340,13235,16945
78,51595,21303,13229,17063
79,51441,21307,13290,16844
80,51578,21409,13356,16813
81,51464,21442,13130,16892
82,51463,21286,13158,17019
83,51496,21187,13114,17195
84,51056,21324,13160,16572
85,51272,21047,13224,17001
86,51346,21013,13037,17296
87,51108,20966,13083,17059
88,51031,21012,13073,16946
89,51273,20685,12989,17599
90,51393,20812,12979,17602
91,51379,20769,12933,17677
92,51233,20673,12882,17678
93,51136,20541,12921,17674
94,51415,20484,12983,17948
95,51404,20501,12913,17990
96,51358,20471,12917,17970
97,51293,20776,12922,17595
98,51228,21079,12766,17383
99,51295,20852,12668,17775
100,51419,20928,12793,17698
101,51547,21281,12787,17479
102,51592,21066,12817,17709
103,51752,21223,12901,17628
104,51883,21277,12828,17778
105,52008,21218,12864,17926
106,52205,21586,12946,17673
107,52195,21714,12767,17714
108,52030,21834,12697,17499
109,52186,21735,12743,17708
110,52244,21741,12760,17743
111,52597,21997,12783,17817
112,52520,21844,12736,17940
113,52801,21987,12723,18091
114,52951,22183,12732,18036
115,52847,22344,12696,17807
116,53096,22283,12994,17819
117,53244,22452,12773,18019
118,53335,22700,12861,17774
119,53628,22512,12682,18434
120,53415,22828,12840,17747
121,53372,22813,12873,17686
122,53691,22859,12913,17919
123,53574,22841,12955,17778
124,53906,22864,13005,18037
125,53948,22912,12869,18167
126,53874,23148,12915,17811
127,53924,23297,12864,17763
128,54151,23433,12954,17764
129,54101,23388,12919,17794
130,54278,23386,12806,18086
131,54401,23330,12844,18227
132,54270,23501,12929,17840
133,54513,23568,12971,17974
134,54630,23546,12992,18092
135,54646,23701,12880,18065
136,54965,23861,12979,18125
137,55177,24027,12996,18154
138,55091,23986,13089,18016
139,55368,23907,13104,18357
140,55216,24085,13094,18037
141,55314,24251,12987,18076
142,55472,24356,12962,18154
143,55828,24352,13075,18401
144,55953,24579,13101,18273
145,55754,24648,13029,18077
146,56231,24701,13122,18408
147,55936,24808,13047,18081
148,55975,24872,13016,18087
149,55943,25024,12986,17933
150,56201,25035,13091,18075
151,56119,25034,13043,18042
152,56453,25049,13103,18301
