no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,56004,29314,17156,9534
2,55669,29105,17115,9449
3,55951,29293,17215,9443
4,55554,28945,17289,9320
5,55934,29619,17397,8918
6,55899,29123,17394,9382
7,56151,29507,17375,9269
8,55743,28922,17429,9392
9,55636,28707,17335,9594
10,55471,28741,17279,9451
11,55586,28394,17350,9842
12,55699,28671,17363,9665
13,55658,28083,17370,10205
14,55508,28076,17462,9970
15,55766,28369,17341,10056
16,55584,28596,17375,9613
17,55416,28541,17402,9473
18,55486,28085,17433,9968
19,55575,28023,17435,10117
20,55583,28273,17394,9916
21,55622,27869,17414,10339
22,55426,28261,17331,9834
23,55590,28399,17358,9833
24,55638,28247,17417,9974
25,55743,27992,17593,10158
26,55446,27542,17530,10374
27,55613,27631,17545,10437
28,55674,27800,17591,10283
29,55641,28036,17541,10064
30,55749,28082,17374,10293
31,55756,27936,17397,10423
32,55718,28039,17447,10232
33,55791,28176,17486,10129
34,55976,27979,17448,10549
35,55994,28039,17518,10437
36,55835,27635,17452,10748
37,55713,27316,17416,10981
38,55656,27719,17436,10501
39,56026,27801,17471,10754
40,55943,27309,17429,11205
41,55917,27507,17451,10959
42,55681,27270,17458,10953
43,56085,27436,17549,11100
44,55906,27753,17562,10591
45,56023,27283,17576,11164
46,56033,28216,17566,10251
47,56408,27778,17561,11069
48,56149,27284,17636,11229
49,56391,27251,17654,11486
50,56343,27689,17670,10984
51,56176,27579,17582,11015
52,56254,27714,17700,10840
53,56106,27810,17622,10674
54,56191,27440,17581,11170
55,56162,27350,17611,11201
56,56036,27426,17681,10929
57,56051,27319,17622,11110
58,56130,27313,17578,11239
59,56047,27283,17644,11120
60,56406,26972,17532,11902
61,56360,27186,17644,11530
62,56546,27235,17622,11689
63,56355,27522,17635,11198
64,56268,27147,17550,11571
65,56581,27044,17653,11884
66,56589,27239,17670,11680
67,56641,27574,17668,11399
68,56224,27454,17648,11122
69,56403,27216,17635,11552
70,56538,27032,17581,11925
71,56608,27544,17724,11340
72,56453,26881,17622,11950
73,56097,27397,17581,11119
74,56934,27349,17506,12079
75,56629,27135,17445,12049
76,56623,27446,17453,11724
77,56572,27253,17662,11657
78,56726,26793,17512,12421
79,56919,26996,17544,12379
80,56599,27288,17795,11516
81,56714,27563,17653,11498
82,56775,27019,17709,12047
83,56740,27124,17707,11909
84,56699,27160,17523,12016
85,56837,27384,17567,11886
86,57013,27630,17647,11736
87,56848,27200,17639,12009
88,57024,26792,17606,12626
89,56912,27227,17547,12138
90,56685,27074,17569,12042
91,56666,27130,17616,11920
92,56758,27195,17590,11973
93,56569,27131,17619,11819
94,56629,27148,17541,11940
95,56522,27425,17541,11556
96,56835,27377,17516,11942
97,56764,27212,17534,12018
98,56729,27090,17512,12127
99,56605,26832,17473,12300
100,56564,26679,17370,12515
101,56659,27601,17411,11647
102,56930,27100,17383,12447
103,56861,27093,17359,12409
104,56881,26866,17317,12698
105,56520,26984,17340,12196
106,56326,26909,17279,12138
107,56914,27088,17203,12623
108,56658,26958,17211,12489
109,56459,26885,17190,12384
110,56365,26623,17153,12589
111,56669,26726,17204,12739
112,56316,26850,17020,12446
113,56736,26909,17083,12744
114,56786,26649,17205,12932
115,56790,26491,17069,13230
116,56700,26427,17137,13136
117,56401,26414,17019,12968
118,56880,26432,16911,13537
119,56627,26709,16955,12963
120,56707,26964,16904,12839
121,56230,26811,16802,12617
122,56581,26973,16899,12709
123,56650,26874,16949,12827
124,56391,26555,16716,13120
125,56798,26381,16762,13655
126,56805,26491,16626,13688
127,56991,26523,16556,13912
128,56863,26573,16681,13609
129,57095,26238,16665,14192
130,56917,26349,16566,14002
131,56754,26448,16624,13682
