no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,66315,25174,23529,17612
2,65972,24881,23027,18064
3,66262,24896,23225,18141
4,66075,24818,23135,18122
5,65950,24830,23091,18029
6,65900,24869,23412,17619
7,65835,24883,23014,17938
8,65695,25191,23051,17453
9,65651,24686,23227,17738
10,65619,24847,22692,18080
11,65705,24836,23325,17544
12,65692,25074,22969,17649
13,65611,25111,22970,17530
14,65775,24454,22726,18595
15,65718,24924,22372,18422
16,65697,24696,22369,18632
17,65713,24952,22330,18431
18,65425,24650,22358,18417
19,65193,24760,22493,17940
20,65233,24733,22214,18286
21,65314,24811,22186,18317
22,64883,24464,21899,18520
23,64938,24731,22054,18153
24,64708,24882,21954,17872
25,64573,24913,21884,17776
26,64490,24336,21969,18185
27,64359,24637,21919,17803
28,64189,24403,21827,17959
29,64068,24383,22116,17569
30,63931,24457,21990,17484
31,63729,24697,21697,17335
32,63707,24327,21860,17520
33,63422,24364,21240,17818
34,63583,24430,21316,17837
35,63404,24249,21157,17998
36,63381,24240,21362,17779
37,63300,24154,21289,17857
38,63109,24009,21449,17651
39,63039,23965,21251,17823
40,63017,23879,21226,17912
41,62849,24096,21065,17688
42,62693,24268,21007,17418
43,62753,24058,21140,17555
44,62537,23938,20806,17793
45,62626,23529,20783,18314
46,62491,23898,20768,17825
47,62113,24039,20512,17562
48,62205,24040,20435,17730
49,61975,23643,20675,17657
50,62043,23818,20508,17717
51,61792,23530,20520,17742
52,61913,23699,20150,18064
53,61756,23678,20227,17851
54,61630,23631,20293,17706
55,61652,23426,20258,17968
56,61780,23696,20413,17671
57,61534,23583,20150,17801
58,61633,23473,20493,17667
59,61747,23339,20174,18234
60,61604,23607,20256,17741
61,61554,23659,20355,17540
62,61566,23334,20298,17934
63,61618,23385,20181,18052
64,61594,23285,20112,18197
65,61464,23148,20283,18033
66,61157,23136,19900,18121
67,61305,23081,20110,18114
68,61089,23443,19731,17915
69,61134,23275,19938,17921
70,60979,23118,19999,17862
71,61068,22973,19970,18125
72,60851,23168,19825,17858
73,60919,23064,20172,17683
74,60524,22982,19911,17631
75,60451,22979,19554,17918
76,60337,22910,19773,17654
77,60505,22835,19681,17989
78,60593,22960,19716,17917
79,60311,22870,19548,17893
80,60272,22774,19673,17825
81,60337,22665,19725,17947
82,60259,22812,19366,18081
83,60291,22574,19280,18437
84,60045,22592,19534,17919
85,60063,22727,19448,17888
86,59985,22720,19176,18089
87,60096,22473,19466,18157
88,60050,22543,19336,18171
89,59859,22602,19221,18036
90,59677,22259,19380,18038
91,59766,22284,19043,18439
92,59681,22483,19046,18152
93,59532,22285,19074,18173
94,59449,21953,18993,18503
95,59349,22487,19128,17734
96,59338,22329,18941,18068
97,59173,22066,18994,18113
98,59169,22096,18979,18094
99,59226,22305,18809,18112
100,59019,22323,19030,17666
101,58875,22168,18916,17791
102,58857,22353,18701,17803
103,58845,22211,18801,17833
104,58740,22076,18649,18015
105,58622,22062,18715,17845
106,58463,22168,18525,17770
107,58517,21991,18810,17716
108,58683,22270,18512,17901
109,58662,21816,18436,18410
110,58572,21824,18385,18363
111,58282,21689,18423,18170
112,58221,21986,18458,17777
113,57971,21691,18084,18196
114,57638,21687,18031,17920
115,57844,21807,18099,17938
116,57749,21720,17954,18075
117,57355,21398,17968,17989
118,57460,21682,17978,17800
119,57470,21743,17887,17840
120,57230,21483,17803,17944
121,57233,21451,17770,18012
122,57346,21330,17660,18356
123,56938,21735,17527,17676
124,56998,21503,17496,17999
125,56942,21490,17512,17940
126,57039,21504,17334,18201
127,56572,21761,17377,17434
128,56680,21505,17280,17895
129,56754,21482,17384,17888
130,56677,21186,17187,18304
131,56862,21398,17285,18179
132,56757,21199,17278,18280
133,56431,21388,17182,17861
134,56305,21355,17197,17753
135,56491,21613,17053,17825
136,56539,21720,16839,17980
137,56456,21302,16947,18207
138,56280,21335,16956,17989
139,56285,21518,16997,17770
140,56228,21361,16750,18117
141,56100,21414,16805,17881
142,55988,21187,16657,18144
143,56159,21334,16598,18227
144,55963,21295,16553,18115
145,55965,21454,16653,17858
146,55931,21336,16526,18069
147,55722,21213,16448,18061
148,55587,21191,16368,18028
149,55568,21165,16271,18132
150,55618,21016,16351,18251
151,55606,21108,16392,18106
152,55565,20760,16257,18548
153,55346,20932,16253,18161
154,55260,21045,16207,18008
155,55239,20885,16133,18221
156,55062,20898,16045,18119
157,55175,20823,16058,18294
158,55175,20707,16070,18398
159,55147,20704,16031,18412
160,55017,20764,15940,18313
161,54949,20666,15791,18492
162,54681,20743,15755,18183
163,54808,21027,15767,18014
164,54568,20711,15662,18195
165,54369,20483,15649,18237
166,54481,20583,15587,18311
167,54329,20442,15575,18312
168,54356,20160,15592,18604
169,54332,20329,15459,18544
170,54299,20237,15397,18665
171,54320,20007,15349,18964
172,54342,20123,15372,18847
173,54341,20192,15320,18829
174,54252,20068,15272,18912
175,54255,20371,15273,18611
176,54262,20144,15281,18837
177,53999,19935,15266,18798
178,53811,20187,15149,18475
179,53930,19783,15135,19012
180,53687,19835,15033,18819
181,53668,19872,15007,18789
182,53767,19910,14951,18906
183,53532,19587,14855,19090
184,53677,19693,14829,19155
185,53528,19459,14842,19227
186,53292,19407,14862,19023
187,53390,19414,14743,19233
188,53220,19189,14827,19204
189,53132,19303,14786,19043
190,53047,19679,14679,18689
191,52975,19583,14624,18768
192,52929,19505,14579,18845
193,52831,19515,14495,18821
194,52579,19375,14509,18695
195,52691,19455,14405,18831
196,52611,19473,14407,18731
197,52638,19322,14339,18977
198,52415,19123,14282,19010
199,52491,18871,14291,19329
