no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,56112,26936,9595,19581
2,55794,26978,9550,19266
3,56194,26707,9673,19814
4,56094,27022,9739,19333
5,56163,26900,9859,19404
6,56187,27077,9787,19323
7,55803,27062,9895,18846
8,55737,26836,9792,19109
9,56239,27007,9914,19318
10,56208,27225,9992,18991
11,56265,27151,9961,19153
12,56385,27285,9949,19151
13,56324,27398,9998,18928
14,56298,27109,10015,19174
15,56328,27368,10011,18949
16,56442,27448,10011,18983
17,56505,27295,10036,19174
18,56180,27488,10158,18534
19,56501,27157,10195,19149
20,56667,27175,10147,19345
21,56703,27252,10314,19137
22,56766,27324,10337,19105
23,56598,27498,10399,18701
24,56752,27747,10394,18611
25,56677,27721,10450,18506
26,56688,27646,10357,18685
27,57106,27604,10383,19119
28,56894,27738,10427,18729
29,56784,27653,10472,18659
30,56975,27749,10590,18636
31,57154,27678,10583,18893
32,56927,27580,10497,18850
33,56857,27696,10551,18610
34,57253,27819,10729,18705
35,56806,27887,10665,18254
36,57051,27981,10708,18362
37,57371,27862,10729,18780
38,56902,27915,10720,18267
39,57076,27903,10777,18396
40,57212,27982,10722,18508
41,57101,28072,10801,18228
42,57074,27859,10751,18464
43,57324,28118,10756,18450
44,57438,28063,10814,18561
45,57181,27846,10825,18510
46,57343,28181,10829,18333
47,57256,28247,10841,18168
48,57111,28228,10919,17964
49,57530,28198,10910,18422
50,57502,28351,10912,18239
51,57468,28305,10924,18239
52,57278,28457,10865,17956
53,57284,28344,10891,18049
54,57621,28167,10937,18517
55,57312,28124,10926,18262
56,57357,28626,11023,17708
57,57405,28311,10936,18158
58,57293,28699,10966,17628
59,57661,28467,10923,18271
60,57674,28671,11018,17985
61,57448,28877,11019,17552
62,57481,28513,11130,17838
63,57754,28324,11168,18262
64,57904,28403,11116,18385
65,57666,28731,11049,17886
66,57891,28593,11031,18267
67,57915,28611,11003,18301
68,57917,28939,11050,17928
69,57824,29067,11047,17710
70,57928,28840,11027,18061
71,57934,28973,11173,17788
72,57813,28993,11158,17662
73,57909,28921,11167,17821
74,58199,29156,11124,17919
75,58218,29310,11134,17774
76,57862,28973,11199,17690
77,57989,29103,11199,17687
78,58252,29124,11180,17948
79,58059,29212,11163,17684
80,58084,29303,11102,17679
81,58081,29409,11178,17494
82,58293,29454,11180,17659
83,58093,29290,11151,17652
84,58220,29530,11144,17546
85,58299,29362,11161,17776
86,58262,29629,11057,17576
87,58411,29620,10964,17827
88,58378,29626,10982,17770
89,58634,29596,11040,17998
90,58641,29774,11048,17819
91,58529,29743,11167,17619
92,58580,29832,11102,17646
93,58508,30018,11051,17439
94,58587,30006,11123,17458
95,58686,30088,11001,17597
96,58911,30340,11015,17556
97,58681,30308,11032,17341
98,58857,30299,11040,17518
99,58854,30152,11018,17684
100,58980,30198,10958,17824
101,59120,30460,10935,17725
102,59057,30387,10933,17737
103,59100,30571,10968,17561
104,59111,30582,10961,17568
105,59211,30859,11028,17324
106,59144,30732,11059,17353
107,59073,30929,11070,17074
108,59431,30735,11097,17599
109,59398,30853,11068,17477
110,59245,30736,11025,17484
111,59431,31023,11000,17408
112,59313,31035,11025,17253
113,59251,31127,10880,17244
114,59218,30936,10938,17344
115,59289,30763,10849,17677
116,59220,30804,10765,17651
117,59305,30801,10846,17658
118,59300,30969,10945,17386
119,59678,30942,10964,17772
120,59551,30952,10871,17728
121,59528,30915,10835,17778
122,59378,31019,10843,17516
123,59363,31013,10868,17482
124,59533,31144,10797,17592
125,59403,31346,10697,17360
126,59345,30929,10793,17623
127,59490,31208,10801,17481
128,59519,31285,10758,17476
129,59507,31255,10780,17472
130,59330,31269,10735,17326
131,59269,31550,10756,16963
132,59259,31189,10713,17357
133,59496,31366,10790,17340
134,59558,31068,10780,17710
135,59539,31235,10737,17567
136,59617,31145,10788,17684
137,59640,31331,10717,17592
138,59556,31254,10748,17554
139,59750,30845,10955,17950
140,59626,31153,11025,17448
141,59806,30852,11011,17943
142,59806,30623,11005,18178
143,59837,31014,11017,17806
144,59701,31226,10967,17508
145,59728,31120,11037,17571
146,59975,30973,11091,17911
